Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Республика Алтай, все устройства
декабрь 2017;17 400;0,300;
январь 2018;15 411;0,279;
февраль 2018;15 062;0,252;
март 2018;13 760;0,235;
апрель 2018;13 733;0,222;
май 2018;10 546;0,197;
июнь 2018;13 755;0,243;
июль 2018;13 936;0,255;
август 2018;13 824;0,237;
сентябрь 2018;17 203;0,244;
октябрь 2018;16 430;0,247;
ноябрь 2018;13 509;0,202;
декабрь 2018;17 881;0,277;
январь 2019;16 679;0,253;
февраль 2019;18 013;0,265;
март 2019;16 185;0,241;
апрель 2019;13 606;0,213;
май 2019;12 893;0,229;
июнь 2019;13 557;0,241;
июль 2019;13 055;0,235;
август 2019;13 216;0,224;
сентябрь 2019;16 402;0,234;
октябрь 2019;17 202;0,234;
ноябрь 2019;16 500;0,204;
декабрь 2019;22 563;0,271;
январь 2020;19 490;0,247;
февраль 2020;17 960;0,204;
март 2020;10 589;0,093;
апрель 2020;12 750;0,142;
май 2020;15 230;0,180;
июнь 2020;15 232;0,190;
июль 2020;16 271;0,209;
август 2020;17 135;0,195;
сентябрь 2020;19 952;0,189;
октябрь 2020;20 409;0,176;
ноябрь 2020;16 893;0,158;
декабрь 2020;21 868;0,228;
январь 2021;19 656;0,219;
февраль 2021;20 030;0,206;
март 2021;18 285;0,185;
апрель 2021;16 820;0,170;
май 2021;19 719;0,204;
июнь 2021;18 972;0,212;
июль 2021;18 184;0,206;
август 2021;19 333;0,198;
сентябрь 2021;22 011;0,193;
октябрь 2021;23 541;0,203;
ноябрь 2021;20 749;0,170;
декабрь 2021;26 059;0,216;
январь 2022;21 421;0,176;
февраль 2022;21 779;0,170;
март 2022;19 223;0,160;
апрель 2022;16 493;0,141;
май 2022;18 901;0,170;
июнь 2022;19 852;0,177;
июль 2022;35 388;0,186;
август 2022;18 003;0,138;
сентябрь 2022;17 282;0,136;
октябрь 2022;19 501;0,143;
ноябрь 2022;15 889;0,117;
декабрь 2022;20 581;0,155;
январь 2023;16 872;0,136;
февраль 2023;18 468;0,136;
март 2023;17 025;0,129;
апрель 2023;15 634;0,123;
май 2023;15 793;0,140;
июнь 2023;17 030;0,145;
июль 2023;17 326;0,146;
август 2023;15 549;0,132;
сентябрь 2023;17 689;0,138;
октябрь 2023;18 072;0,142;
ноябрь 2023;15 495;0,116;
декабрь 2023;19 728;0,151;
январь 2024;15 510;0,125;
февраль 2024;15 271;0,123;
март 2024;13 432;0,113;
апрель 2024;13 484;0,116;
май 2024;13 443;0,130;
июнь 2024;15 887;0,146;
июль 2024;15 118;0,141;
август 2024;14 382;0,134;
сентябрь 2024;15 815;0,131;
октябрь 2024;16 133;0,128;
ноябрь 2024;13 605;0,102;
декабрь 2024;18 006;0,141;
