Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Оренбургская область, все устройства
декабрь 2017;201 954;0,28;
январь 2018;183 055;0,26;
февраль 2018;195 770;0,26;
март 2018;158 065;0,23;
апрель 2018;143 661;0,22;
май 2018;139 902;0,23;
июнь 2018;156 459;0,27;
июль 2018;166 891;0,28;
август 2018;175 406;0,25;
сентябрь 2018;201 688;0,25;
октябрь 2018;181 679;0,25;
ноябрь 2018;145 113;0,20;
декабрь 2018;197 218;0,26;
январь 2019;195 862;0,27;
февраль 2019;199 171;0,26;
март 2019;171 241;0,24;
апрель 2019;145 862;0,22;
май 2019;148 661;0,24;
июнь 2019;167 780;0,28;
июль 2019;166 991;0,27;
август 2019;166 066;0,25;
сентябрь 2019;193 579;0,25;
октябрь 2019;193 362;0,25;
ноябрь 2019;168 088;0,20;
декабрь 2019;234 478;0,27;
январь 2020;219 780;0,26;
февраль 2020;198 494;0,22;
март 2020;141 833;0,11;
апрель 2020;162 271;0,15;
май 2020;189 441;0,22;
июнь 2020;199 582;0,26;
июль 2020;198 525;0,25;
август 2020;198 106;0,21;
сентябрь 2020;201 361;0,19;
октябрь 2020;218 575;0,17;
ноябрь 2020;190 215;0,17;
декабрь 2020;260 525;0,26;
январь 2021;254 970;0,26;
февраль 2021;269 582;0,26;
март 2021;240 018;0,23;
апрель 2021;209 408;0,21;
май 2021;237 098;0,25;
июнь 2021;232 547;0,26;
июль 2021;228 288;0,26;
август 2021;224 476;0,21;
сентябрь 2021;225 647;0,18;
октябрь 2021;243 459;0,20;
ноябрь 2021;218 000;0,17;
декабрь 2021;296 403;0,24;
январь 2022;263 086;0,21;
февраль 2022;290 451;0,22;
март 2022;253 407;0,21;
апрель 2022;239 726;0,19;
май 2022;233 443;0,22;
июнь 2022;232 101;0,23;
июль 2022;230 676;0,23;
август 2022;202 076;0,17;
сентябрь 2022;195 919;0,15;
октябрь 2022;206 674;0,16;
ноябрь 2022;168 438;0,12;
декабрь 2022;220 065;0,17;
январь 2023;197 779;0,16;
февраль 2023;215 542;0,16;
март 2023;171 500;0,14;
апрель 2023;164 459;0,14;
май 2023;169 629;0,16;
июнь 2023;192 168;0,19;
июль 2023;201 858;0,20;
август 2023;181 748;0,16;
сентябрь 2023;192 049;0,15;
октябрь 2023;198 230;0,15;
ноябрь 2023;150 667;0,11;
декабрь 2023;196 817;0,15;
январь 2024;175 421;0,14;
февраль 2024;172 529;0,14;
март 2024;136 955;0,12;
апрель 2024;146 682;0,13;
май 2024;144 001;0,15;
июнь 2024;166 376;0,18;
июль 2024;155 435;0,17;
август 2024;149 301;0,15;
сентябрь 2024;164 727;0,14;
октябрь 2024;168 521;0,14;
ноябрь 2024;140 261;0,11;
декабрь 2024;187 769;0,15;
