Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Забайкальский край, все устройства
декабрь 2017;95 077;0,299;
январь 2018;91 656;0,295;
февраль 2018;93 538;0,286;
март 2018;79 304;0,262;
апрель 2018;72 789;0,243;
май 2018;66 718;0,252;
июнь 2018;72 072;0,267;
июль 2018;78 994;0,292;
август 2018;84 382;0,267;
сентябрь 2018;99 078;0,268;
октябрь 2018;94 710;0,271;
ноябрь 2018;72 644;0,213;
декабрь 2018;102 885;0,291;
январь 2019;104 718;0,301;
февраль 2019;102 889;0,284;
март 2019;98 225;0,280;
апрель 2019;78 968;0,241;
май 2019;73 857;0,262;
июнь 2019;83 019;0,295;
июль 2019;82 366;0,288;
август 2019;86 425;0,258;
сентябрь 2019;99 230;0,245;
октябрь 2019;98 363;0,240;
ноябрь 2019;84 317;0,196;
декабрь 2019;122 701;0,288;
январь 2020;119 391;0,273;
февраль 2020;117 787;0,247;
март 2020;78 285;0,131;
апрель 2020;85 807;0,163;
май 2020;82 303;0,210;
июнь 2020;89 576;0,246;
июль 2020;88 450;0,241;
август 2020;87 028;0,199;
сентябрь 2020;99 451;0,182;
октябрь 2020;100 790;0,163;
ноябрь 2020;86 445;0,152;
декабрь 2020;120 789;0,240;
январь 2021;120 669;0,246;
февраль 2021;116 419;0,240;
март 2021;107 074;0,212;
апрель 2021;92 117;0,191;
май 2021;90 124;0,211;
июнь 2021;91 555;0,230;
июль 2021;90 688;0,227;
август 2021;90 435;0,193;
сентябрь 2021;99 979;0,190;
октябрь 2021;99 276;0,167;
ноябрь 2021;89 476;0,159;
декабрь 2021;128 565;0,233;
январь 2022;115 371;0,209;
февраль 2022;116 549;0,200;
март 2022;110 885;0,196;
апрель 2022;93 169;0,174;
май 2022;93 977;0,203;
июнь 2022;94 161;0,212;
июль 2022;96 373;0,215;
август 2022;83 690;0,159;
сентябрь 2022;89 774;0,153;
октябрь 2022;96 885;0,155;
ноябрь 2022;76 039;0,123;
декабрь 2022;99 288;0,160;
январь 2023;87 985;0,155;
февраль 2023;96 083;0,155;
март 2023;81 561;0,135;
апрель 2023;70 951;0,125;
май 2023;67 437;0,141;
июнь 2023;69 851;0,154;
июль 2023;73 901;0,162;
август 2023;67 976;0,132;
сентябрь 2023;76 548;0,131;
октябрь 2023;74 203;0,129;
ноябрь 2023;58 568;0,097;
декабрь 2023;83 632;0,142;
январь 2024;73 769;0,131;
февраль 2024;68 512;0,125;
март 2024;62 620;0,119;
апрель 2024;56 562;0,117;
май 2024;53 918;0,132;
июнь 2024;60 803;0,155;
июль 2024;60 066;0,152;
август 2024;55 241;0,124;
сентябрь 2024;62 847;0,119;
октябрь 2024;62 993;0,113;
ноябрь 2024;54 125;0,092;
декабрь 2024;73 840;0,129;
