Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Курская область, все устройства
декабрь 2017;126 770;0,268;
январь 2018;125 828;0,267;
февраль 2018;130 689;0,255;
март 2018;108 714;0,244;
апрель 2018;100 250;0,227;
май 2018;94 969;0,231;
июнь 2018;111 290;0,262;
июль 2018;108 916;0,269;
август 2018;121 329;0,251;
сентябрь 2018;143 001;0,255;
октябрь 2018;129 990;0,256;
ноябрь 2018;103 201;0,204;
декабрь 2018;141 900;0,271;
январь 2019;149 274;0,296;
февраль 2019;141 772;0,267;
март 2019;117 931;0,243;
апрель 2019;103 778;0,220;
май 2019;100 643;0,239;
июнь 2019;115 697;0,270;
июль 2019;111 440;0,266;
август 2019;120 713;0,263;
сентябрь 2019;134 910;0,260;
октябрь 2019;126 361;0,238;
ноябрь 2019;109 588;0,194;
декабрь 2019;146 075;0,254;
январь 2020;141 816;0,258;
февраль 2020;130 682;0,222;
март 2020;97 776;0,131;
апрель 2020;124 781;0,175;
май 2020;128 257;0,234;
июнь 2020;133 662;0,260;
июль 2020;128 220;0,255;
август 2020;128 282;0,226;
сентябрь 2020;133 142;0,200;
октябрь 2020;136 990;0,177;
ноябрь 2020;117 117;0,154;
декабрь 2020;157 645;0,234;
январь 2021;164 265;0,251;
февраль 2021;175 560;0,243;
март 2021;154 198;0,212;
апрель 2021;136 194;0,190;
май 2021;147 968;0,220;
июнь 2021;141 818;0,229;
июль 2021;147 173;0,233;
август 2021;143 423;0,200;
сентябрь 2021;135 624;0,174;
октябрь 2021;143 073;0,165;
ноябрь 2021;127 948;0,154;
декабрь 2021;181 432;0,218;
январь 2022;156 712;0,183;
февраль 2022;173 837;0,195;
март 2022;158 879;0,188;
апрель 2022;149 132;0,183;
май 2022;147 051;0,205;
июнь 2022;154 225;0,219;
июль 2022;151 095;0,215;
август 2022;131 407;0,162;
сентябрь 2022;130 850;0,149;
октябрь 2022;133 023;0,152;
ноябрь 2022;107 256;0,123;
декабрь 2022;142 280;0,163;
январь 2023;127 156;0,157;
февраль 2023;138 584;0,157;
март 2023;110 549;0,135;
апрель 2023;102 519;0,130;
май 2023;104 633;0,144;
июнь 2023;114 169;0,163;
июль 2023;123 229;0,181;
август 2023;113 673;0,154;
сентябрь 2023;122 527;0,146;
октябрь 2023;116 150;0,139;
ноябрь 2023;91 408;0,110;
декабрь 2023;119 730;0,141;
январь 2024;113 197;0,142;
февраль 2024;101 889;0,126;
март 2024;90 704;0,120;
апрель 2024;88 189;0,120;
май 2024;91 800;0,142;
июнь 2024;102 026;0,162;
июль 2024;94 996;0,158;
август 2024;97 132;0,130;
сентябрь 2024;103 419;0,127;
октябрь 2024;97 937;0,117;
ноябрь 2024;83 986;0,096;
декабрь 2024;107 907;0,126;
