Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Псковская область, все устройства
декабрь 2017;73 848;0,33;
январь 2018;74 996;0,34;
февраль 2018;75 726;0,30;
март 2018;61 116;0,27;
апрель 2018;50 986;0,23;
май 2018;52 464;0,24;
июнь 2018;56 419;0,27;
июль 2018;62 869;0,29;
август 2018;68 109;0,28;
сентябрь 2018;79 478;0,29;
октябрь 2018;68 000;0,27;
ноябрь 2018;51 735;0,21;
декабрь 2018;73 929;0,28;
январь 2019;73 445;0,30;
февраль 2019;71 220;0,27;
март 2019;59 394;0,25;
апрель 2019;52 400;0,22;
май 2019;53 620;0,26;
июнь 2019;61 900;0,28;
июль 2019;60 839;0,28;
август 2019;63 208;0,28;
сентябрь 2019;70 678;0,27;
октябрь 2019;67 553;0,26;
ноябрь 2019;58 881;0,21;
декабрь 2019;78 661;0,28;
январь 2020;73 460;0,28;
февраль 2020;67 907;0,22;
март 2020;53 375;0,14;
апрель 2020;59 672;0,17;
май 2020;63 665;0,23;
июнь 2020;69 730;0,27;
июль 2020;65 066;0,26;
август 2020;69 614;0,25;
сентябрь 2020;72 119;0,23;
октябрь 2020;69 111;0,21;
ноябрь 2020;57 000;0,18;
декабрь 2020;77 331;0,25;
январь 2021;78 536;0,27;
февраль 2021;83 711;0,26;
март 2021;80 039;0,23;
апрель 2021;77 041;0,21;
май 2021;74 518;0,23;
июнь 2021;68 945;0,24;
июль 2021;73 914;0,24;
август 2021;77 853;0,22;
сентябрь 2021;77 500;0,20;
октябрь 2021;82 711;0,21;
ноябрь 2021;71 163;0,17;
декабрь 2021;98 211;0,24;
январь 2022;88 964;0,22;
февраль 2022;95 098;0,22;
март 2022;91 239;0,22;
апрель 2022;79 354;0,20;
май 2022;76 557;0,21;
июнь 2022;77 089;0,21;
июль 2022;78 402;0,21;
август 2022;72 665;0,18;
сентябрь 2022;70 621;0,16;
октябрь 2022;72 889;0,17;
ноябрь 2022;59 716;0,14;
декабрь 2022;79 057;0,18;
январь 2023;68 502;0,17;
февраль 2023;75 224;0,17;
март 2023;57 626;0,14;
апрель 2023;53 381;0,13;
май 2023;54 479;0,15;
июнь 2023;57 361;0,16;
июль 2023;62 828;0,17;
август 2023;57 051;0,15;
сентябрь 2023;61 639;0,15;
октябрь 2023;59 036;0,14;
ноябрь 2023;47 742;0,12;
декабрь 2023;63 968;0,15;
январь 2024;59 754;0,15;
февраль 2024;57 472;0,14;
март 2024;52 701;0,14;
апрель 2024;46 730;0,13;
май 2024;48 052;0,14;
июнь 2024;57 026;0,17;
июль 2024;54 537;0,16;
август 2024;56 227;0,16;
сентябрь 2024;60 016;0,15;
октябрь 2024;57 221;0,14;
ноябрь 2024;48 283;0,12;
декабрь 2024;63 995;0,15;
