Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Саратовская область, все устройства
декабрь 2017;341 939;0,34;
январь 2018;321 570;0,32;
февраль 2018;321 773;0,30;
март 2018;269 539;0,28;
апрель 2018;241 568;0,25;
май 2018;244 128;0,27;
июнь 2018;281 307;0,31;
июль 2018;289 596;0,32;
август 2018;305 287;0,29;
сентябрь 2018;337 740;0,28;
октябрь 2018;307 306;0,28;
ноябрь 2018;246 059;0,22;
декабрь 2018;331 410;0,29;
январь 2019;329 663;0,29;
февраль 2019;344 836;0,29;
март 2019;305 611;0,29;
апрель 2019;255 821;0,25;
май 2019;261 600;0,28;
июнь 2019;294 771;0,32;
июль 2019;291 532;0,31;
август 2019;292 404;0,28;
сентябрь 2019;322 937;0,27;
октябрь 2019;313 789;0,26;
ноябрь 2019;256 725;0,21;
декабрь 2019;364 745;0,30;
январь 2020;356 313;0,29;
февраль 2020;312 615;0,24;
март 2020;230 146;0,14;
апрель 2020;269 904;0,19;
май 2020;297 420;0,26;
июнь 2020;291 715;0,28;
июль 2020;286 339;0,26;
август 2020;291 952;0,24;
сентябрь 2020;290 985;0,21;
октябрь 2020;312 116;0,20;
ноябрь 2020;272 251;0,18;
декабрь 2020;391 375;0,26;
январь 2021;390 447;0,27;
февраль 2021;419 946;0,26;
март 2021;356 112;0,23;
апрель 2021;300 272;0,21;
май 2021;339 620;0,24;
июнь 2021;335 000;0,25;
июль 2021;342 168;0,25;
август 2021;320 299;0,22;
сентябрь 2021;298 187;0,18;
октябрь 2021;322 699;0,20;
ноябрь 2021;288 159;0,17;
декабрь 2021;396 579;0,24;
январь 2022;360 486;0,23;
февраль 2022;399 817;0,23;
март 2022;357 139;0,22;
апрель 2022;335 557;0,21;
май 2022;333 913;0,23;
июнь 2022;338 565;0,24;
июль 2022;330 389;0,24;
август 2022;295 257;0,19;
сентябрь 2022;278 382;0,16;
октябрь 2022;293 232;0,17;
ноябрь 2022;228 466;0,13;
декабрь 2022;302 952;0,17;
январь 2023;273 042;0,17;
февраль 2023;287 588;0,17;
март 2023;230 856;0,15;
апрель 2023;229 265;0,14;
май 2023;231 533;0,16;
июнь 2023;247 408;0,18;
июль 2023;255 549;0,19;
август 2023;239 369;0,16;
сентябрь 2023;249 255;0,15;
октябрь 2023;243 114;0,14;
ноябрь 2023;192 716;0,11;
декабрь 2023;250 476;0,15;
январь 2024;231 073;0,15;
февраль 2024;227 651;0,14;
март 2024;197 348;0,13;
апрель 2024;196 801;0,14;
май 2024;195 984;0,15;
июнь 2024;223 599;0,18;
июль 2024;214 918;0,17;
август 2024;213 230;0,16;
сентябрь 2024;230 745;0,15;
октябрь 2024;229 776;0,14;
ноябрь 2024;198 463;0,12;
декабрь 2024;257 672;0,16;
