Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Архангельская область, все устройства
декабрь 2017;125 517;0,30;
январь 2018;120 292;0,29;
февраль 2018;124 658;0,28;
март 2018;111 675;0,26;
апрель 2018;91 882;0,22;
май 2018;87 272;0,24;
июнь 2018;91 822;0,27;
июль 2018;106 581;0,30;
август 2018;117 367;0,27;
сентябрь 2018;145 950;0,29;
октябрь 2018;120 922;0,27;
ноябрь 2018;93 997;0,21;
декабрь 2018;125 125;0,27;
январь 2019;118 168;0,27;
февраль 2019;118 801;0,25;
март 2019;113 189;0,25;
апрель 2019;89 716;0,21;
май 2019;87 264;0,23;
июнь 2019;94 791;0,26;
июль 2019;98 219;0,27;
август 2019;107 544;0,27;
сентябрь 2019;126 897;0,27;
октябрь 2019;116 624;0,25;
ноябрь 2019;101 978;0,21;
декабрь 2019;128 579;0,26;
январь 2020;118 529;0,25;
февраль 2020;110 618;0,21;
март 2020;87 601;0,12;
апрель 2020;94 306;0,15;
май 2020;94 969;0,20;
июнь 2020;100 994;0,24;
июль 2020;99 999;0,24;
август 2020;106 522;0,22;
сентябрь 2020;124 003;0,22;
октябрь 2020;123 414;0,21;
ноябрь 2020;99 731;0,17;
декабрь 2020;125 170;0,22;
январь 2021;127 811;0,24;
февраль 2021;125 718;0,22;
март 2021;121 771;0,20;
апрель 2021;111 583;0,18;
май 2021;109 283;0,20;
июнь 2021;102 681;0,22;
июль 2021;107 405;0,22;
август 2021;126 284;0,21;
сентябрь 2021;132 585;0,19;
октябрь 2021;134 690;0,19;
ноябрь 2021;119 669;0,16;
декабрь 2021;151 130;0,21;
январь 2022;129 309;0,18;
февраль 2022;137 172;0,18;
март 2022;137 835;0,18;
апрель 2022;120 080;0,17;
май 2022;114 673;0,19;
июнь 2022;109 983;0,19;
июль 2022;116 884;0,21;
август 2022;113 157;0,16;
сентябрь 2022;114 629;0,15;
октябрь 2022;118 338;0,16;
ноябрь 2022;94 785;0,12;
декабрь 2022;119 055;0,16;
январь 2023;106 377;0,15;
февраль 2023;115 450;0,15;
март 2023;101 163;0,14;
апрель 2023;85 871;0,12;
май 2023;86 883;0,14;
июнь 2023;92 341;0,16;
июль 2023;97 358;0,18;
август 2023;98 425;0,15;
сентябрь 2023;109 303;0,15;
октябрь 2023;104 264;0,14;
ноябрь 2023;85 895;0,12;
декабрь 2023;110 719;0,15;
январь 2024;99 144;0,14;
февраль 2024;92 993;0,13;
март 2024;89 629;0,13;
апрель 2024;81 622;0,12;
май 2024;76 089;0,14;
июнь 2024;82 540;0,16;
июль 2024;84 429;0,16;
август 2024;95 293;0,16;
сентябрь 2024;106 529;0,16;
октябрь 2024;101 948;0,14;
ноябрь 2024;88 222;0,12;
декабрь 2024;108 818;0,15;
