Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Ханты-Мансийский автономный округ - Югра, все устройства
декабрь 2017;235 029;0,32;
январь 2018;223 400;0,30;
февраль 2018;220 046;0,28;
март 2018;189 774;0,26;
апрель 2018;183 995;0,25;
май 2018;156 581;0,26;
июнь 2018;172 764;0,31;
июль 2018;197 235;0,35;
август 2018;224 577;0,32;
сентябрь 2018;267 028;0,33;
октябрь 2018;234 323;0,30;
ноябрь 2018;182 483;0,24;
декабрь 2018;238 408;0,30;
январь 2019;236 425;0,29;
февраль 2019;231 559;0,29;
март 2019;208 584;0,27;
апрель 2019;179 137;0,25;
май 2019;166 003;0,28;
июнь 2019;176 306;0,33;
июль 2019;186 776;0,34;
август 2019;217 370;0,32;
сентябрь 2019;253 206;0,32;
октябрь 2019;232 283;0,29;
ноябрь 2019;196 342;0,23;
декабрь 2019;260 394;0,30;
январь 2020;234 936;0,27;
февраль 2020;214 866;0,23;
март 2020;150 750;0,12;
апрель 2020;174 713;0,16;
май 2020;198 046;0,23;
июнь 2020;197 459;0,27;
июль 2020;208 343;0,30;
август 2020;230 328;0,26;
сентябрь 2020;246 235;0,23;
октябрь 2020;239 339;0,20;
ноябрь 2020;194 896;0,18;
декабрь 2020;255 150;0,24;
январь 2021;245 686;0,25;
февраль 2021;252 870;0,26;
март 2021;240 567;0,24;
апрель 2021;212 264;0,21;
май 2021;215 324;0,24;
июнь 2021;202 701;0,26;
июль 2021;213 539;0,27;
август 2021;242 317;0,25;
сентябрь 2021;243 215;0,22;
октябрь 2021;243 034;0,21;
ноябрь 2021;216 957;0,18;
декабрь 2021;282 015;0,24;
январь 2022;247 384;0,21;
февраль 2022;259 614;0,21;
март 2022;245 279;0,21;
апрель 2022;206 889;0,18;
май 2022;200 319;0,20;
июнь 2022;195 285;0,22;
июль 2022;214 941;0,23;
август 2022;200 997;0,18;
сентябрь 2022;198 858;0,16;
октябрь 2022;195 084;0,15;
ноябрь 2022;160 164;0,12;
декабрь 2022;194 020;0,15;
январь 2023;176 031;0,15;
февраль 2023;192 397;0,15;
март 2023;173 457;0,14;
апрель 2023;152 411;0,13;
май 2023;144 607;0,15;
июнь 2023;151 263;0,17;
июль 2023;172 562;0,20;
август 2023;172 720;0,17;
сентябрь 2023;184 842;0,16;
октябрь 2023;175 510;0,15;
ноябрь 2023;137 134;0,11;
декабрь 2023;175 175;0,14;
январь 2024;154 938;0,13;
февраль 2024;157 431;0,13;
март 2024;150 384;0,13;
апрель 2024;146 438;0,13;
май 2024;128 220;0,15;
июнь 2024;140 806;0,18;
июль 2024;143 512;0,18;
август 2024;154 411;0,16;
сентябрь 2024;170 350;0,15;
октябрь 2024;160 257;0,14;
ноябрь 2024;133 713;0,11;
декабрь 2024;172 103;0,15;
