Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Томская область, все устройства
декабрь 2017;148 006;0,36;
январь 2018;141 660;0,36;
февраль 2018;141 158;0,33;
март 2018;124 493;0,31;
апрель 2018;120 076;0,28;
май 2018;98 398;0,28;
июнь 2018;112 892;0,34;
июль 2018;122 524;0,35;
август 2018;129 805;0,32;
сентябрь 2018;155 951;0,33;
октябрь 2018;137 833;0,32;
ноябрь 2018;112 293;0,25;
декабрь 2018;149 826;0,35;
январь 2019;142 700;0,33;
февраль 2019;134 249;0,30;
март 2019;129 786;0,29;
апрель 2019;112 090;0,27;
май 2019;106 464;0,29;
июнь 2019;107 730;0,33;
июль 2019;107 833;0,33;
август 2019;112 362;0,30;
сентябрь 2019;132 845;0,31;
октябрь 2019;128 132;0,29;
ноябрь 2019;113 944;0,24;
декабрь 2019;153 141;0,32;
январь 2020;137 507;0,30;
февраль 2020;129 918;0,26;
март 2020;103 564;0,16;
апрель 2020;111 894;0,21;
май 2020;118 605;0,26;
июнь 2020;116 697;0,29;
июль 2020;117 296;0,29;
август 2020;121 858;0,26;
сентябрь 2020;136 986;0,25;
октябрь 2020;135 758;0,23;
ноябрь 2020;115 336;0,21;
декабрь 2020;150 849;0,28;
январь 2021;147 069;0,29;
февраль 2021;158 286;0,29;
март 2021;149 656;0,26;
апрель 2021;128 251;0,23;
май 2021;139 160;0,26;
июнь 2021;127 326;0,27;
июль 2021;132 052;0,28;
август 2021;131 401;0,24;
сентябрь 2021;139 876;0,23;
октябрь 2021;139 399;0,23;
ноябрь 2021;123 249;0,19;
декабрь 2021;166 381;0,27;
январь 2022;149 998;0,24;
февраль 2022;160 111;0,23;
март 2022;148 347;0,23;
апрель 2022;129 253;0,21;
май 2022;136 565;0,23;
июнь 2022;125 939;0,24;
июль 2022;125 306;0,24;
август 2022;117 199;0,19;
сентябрь 2022;121 575;0,18;
октябрь 2022;124 327;0,18;
ноябрь 2022;102 975;0,14;
декабрь 2022;132 043;0,20;
январь 2023;118 138;0,19;
февраль 2023;127 207;0,18;
март 2023;115 477;0,17;
апрель 2023;98 471;0,15;
май 2023;95 773;0,17;
июнь 2023;102 379;0,20;
июль 2023;110 960;0,21;
август 2023;106 398;0,18;
сентябрь 2023;114 634;0,17;
октябрь 2023;109 514;0,17;
ноябрь 2023;87 913;0,13;
декабрь 2023;116 322;0,18;
январь 2024;105 973;0,17;
февраль 2024;101 914;0,16;
март 2024;95 340;0,15;
апрель 2024;88 606;0,15;
май 2024;82 366;0,16;
июнь 2024;96 030;0,20;
июль 2024;93 382;0,20;
август 2024;95 255;0,18;
сентябрь 2024;111 874;0,18;
октябрь 2024;106 423;0,17;
ноябрь 2024;89 568;0,13;
декабрь 2024;117 163;0,19;
