Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Воронежская область, все устройства
декабрь 2017;333 066;0,30;
январь 2018;322 364;0,29;
февраль 2018;332 381;0,27;
март 2018;267 255;0,25;
апрель 2018;242 230;0,23;
май 2018;227 156;0,23;
июнь 2018;251 816;0,26;
июль 2018;260 916;0,26;
август 2018;299 708;0,26;
сентябрь 2018;336 306;0,26;
октябрь 2018;303 253;0,25;
ноябрь 2018;242 034;0,20;
декабрь 2018;344 813;0,28;
январь 2019;339 689;0,28;
февраль 2019;325 826;0,26;
март 2019;269 792;0,24;
апрель 2019;238 992;0,22;
май 2019;237 937;0,24;
июнь 2019;264 467;0,26;
июль 2019;256 619;0,25;
август 2019;278 279;0,25;
сентябрь 2019;333 787;0,25;
октябрь 2019;323 630;0,24;
ноябрь 2019;278 068;0,20;
декабрь 2019;373 785;0,27;
январь 2020;372 781;0,28;
февраль 2020;326 000;0,23;
март 2020;254 509;0,14;
апрель 2020;300 912;0,20;
май 2020;306 850;0,24;
июнь 2020;313 888;0,26;
июль 2020;290 861;0,25;
август 2020;308 187;0,22;
сентябрь 2020;316 551;0,20;
октябрь 2020;330 507;0,19;
ноябрь 2020;282 372;0,17;
декабрь 2020;392 516;0,25;
январь 2021;400 599;0,27;
февраль 2021;417 979;0,25;
март 2021;353 623;0,22;
апрель 2021;322 081;0,20;
май 2021;348 052;0,23;
июнь 2021;340 182;0,24;
июль 2021;338 967;0,23;
август 2021;355 239;0,22;
сентябрь 2021;328 873;0,18;
октябрь 2021;352 658;0,19;
ноябрь 2021;309 456;0,16;
декабрь 2021;426 823;0,23;
январь 2022;386 392;0,21;
февраль 2022;419 695;0,21;
март 2022;370 609;0,20;
апрель 2022;356 639;0,19;
май 2022;347 447;0,21;
июнь 2022;345 746;0,21;
июль 2022;348 660;0,21;
август 2022;322 393;0,17;
сентябрь 2022;312 679;0,16;
октябрь 2022;394 975;0,20;
ноябрь 2022;254 240;0,13;
декабрь 2022;327 438;0,17;
январь 2023;296 051;0,16;
февраль 2023;314 984;0,16;
март 2023;255 947;0,14;
апрель 2023;239 758;0,13;
май 2023;238 224;0,14;
июнь 2023;250 383;0,15;
июль 2023;260 884;0,17;
август 2023;246 918;0,14;
сентябрь 2023;263 990;0,14;
октябрь 2023;254 408;0,13;
ноябрь 2023;201 256;0,10;
декабрь 2023;268 511;0,14;
январь 2024;250 273;0,14;
февраль 2024;236 679;0,13;
март 2024;209 964;0,12;
апрель 2024;209 241;0,12;
май 2024;212 798;0,14;
июнь 2024;236 875;0,16;
июль 2024;228 741;0,16;
август 2024;239 079;0,15;
сентябрь 2024;250 567;0,14;
октябрь 2024;243 469;0,13;
ноябрь 2024;202 336;0,10;
декабрь 2024;269 910;0,14;
