Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Республика Калмыкия, все устройства
декабрь 2017;12 616;0,194;
январь 2018;12 012;0,189;
февраль 2018;11 750;0,169;
март 2018;9 190;0,150;
апрель 2018;9 898;0,163;
май 2018;9 803;0,165;
июнь 2018;12 392;0,201;
июль 2018;11 857;0,207;
август 2018;10 266;0,170;
сентябрь 2018;10 977;0,154;
октябрь 2018;9 609;0,143;
ноябрь 2018;7 881;0,114;
декабрь 2018;11 146;0,155;
январь 2019;10 343;0,153;
февраль 2019;9 749;0,137;
март 2019;8 810;0,130;
апрель 2019;8 984;0,136;
май 2019;8 464;0,139;
июнь 2019;10 059;0,165;
июль 2019;9 543;0,159;
август 2019;8 944;0,144;
сентябрь 2019;8 647;0,126;
октябрь 2019;9 314;0,132;
ноябрь 2019;8 442;0,113;
декабрь 2019;10 418;0,132;
январь 2020;9 241;0,123;
февраль 2020;7 993;0,098;
март 2020;6 094;0,054;
апрель 2020;8 857;0,083;
май 2020;9 806;0,114;
июнь 2020;10 744;0,138;
июль 2020;11 305;0,147;
август 2020;9 421;0,112;
сентябрь 2020;9 810;0,101;
октябрь 2020;9 378;0,092;
ноябрь 2020;8 393;0,085;
декабрь 2020;12 071;0,124;
январь 2021;10 692;0,122;
февраль 2021;11 961;0,124;
март 2021;10 808;0,112;
апрель 2021;11 595;0,118;
май 2021;14 048;0,148;
июнь 2021;13 337;0,151;
июль 2021;12 779;0,144;
август 2021;11 559;0,119;
сентябрь 2021;10 976;0,104;
октябрь 2021;11 017;0,099;
ноябрь 2021;10 294;0,085;
декабрь 2021;14 581;0,119;
январь 2022;14 990;0,124;
февраль 2022;14 559;0,120;
март 2022;12 430;0,109;
апрель 2022;12 409;0,108;
май 2022;12 856;0,124;
июнь 2022;13 774;0,132;
июль 2022;14 135;0,137;
август 2022;11 026;0,100;
сентябрь 2022;9 724;0,082;
октябрь 2022;9 496;0,077;
ноябрь 2022;8 056;0,060;
декабрь 2022;11 632;0,095;
январь 2023;9 510;0,086;
февраль 2023;10 252;0,086;
март 2023;8 996;0,079;
апрель 2023;9 243;0,080;
май 2023;9 156;0,090;
июнь 2023;10 895;0,106;
июль 2023;11 179;0,109;
август 2023;9 968;0,095;
сентябрь 2023;9 478;0,082;
октябрь 2023;8 270;0,071;
ноябрь 2023;6 701;0,057;
декабрь 2023;9 404;0,078;
январь 2024;8 293;0,075;
февраль 2024;8 734;0,077;
март 2024;7 119;0,068;
апрель 2024;7 535;0,071;
май 2024;8 152;0,088;
июнь 2024;9 232;0,097;
июль 2024;9 616;0,104;
август 2024;8 261;0,085;
сентябрь 2024;7 854;0,073;
октябрь 2024;8 233;0,073;
ноябрь 2024;6 674;0,056;
декабрь 2024;9 550;0,079;
