Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Краснодарский край, все устройства
декабрь 2017;666 899;0,27;
январь 2018;652 941;0,26;
февраль 2018;651 558;0,25;
март 2018;509 477;0,23;
апрель 2018;532 953;0,23;
май 2018;504 579;0,22;
июнь 2018;587 130;0,23;
июль 2018;622 107;0,24;
август 2018;635 963;0,24;
сентябрь 2018;688 245;0,24;
октябрь 2018;636 587;0,24;
ноябрь 2018;553 227;0,21;
декабрь 2018;724 934;0,26;
январь 2019;695 917;0,27;
февраль 2019;694 822;0,25;
март 2019;627 564;0,24;
апрель 2019;584 996;0,23;
май 2019;586 846;0,23;
июнь 2019;658 143;0,24;
июль 2019;643 051;0,23;
август 2019;663 179;0,24;
сентябрь 2019;702 428;0,24;
октябрь 2019;687 128;0,24;
ноябрь 2019;635 786;0,21;
декабрь 2019;857 212;0,27;
январь 2020;810 799;0,26;
февраль 2020;719 737;0,22;
март 2020;518 337;0,13;
апрель 2020;655 239;0,18;
май 2020;739 801;0,24;
июнь 2020;749 932;0,23;
июль 2020;726 751;0,22;
август 2020;717 113;0,21;
сентябрь 2020;718 421;0,19;
октябрь 2020;717 584;0,19;
ноябрь 2020;608 947;0,17;
декабрь 2020;824 724;0,23;
январь 2021;801 535;0,23;
февраль 2021;849 058;0,22;
март 2021;753 128;0,21;
апрель 2021;661 778;0,20;
май 2021;722 297;0,20;
июнь 2021;764 561;0,19;
июль 2021;775 613;0,18;
август 2021;711 294;0,19;
сентябрь 2021;660 718;0,18;
октябрь 2021;682 558;0,19;
ноябрь 2021;604 641;0,16;
декабрь 2021;792 323;0,21;
январь 2022;726 779;0,20;
февраль 2022;803 396;0,19;
март 2022;744 146;0,19;
апрель 2022;735 797;0,19;
май 2022;738 314;0,19;
июнь 2022;742 769;0,18;
июль 2022;740 965;0,18;
август 2022;667 665;0,16;
сентябрь 2022;628 140;0,15;
октябрь 2022;626 476;0,15;
ноябрь 2022;506 520;0,12;
декабрь 2022;635 967;0,15;
январь 2023;567 303;0,14;
февраль 2023;610 777;0,14;
март 2023;510 507;0,12;
апрель 2023;494 800;0,12;
май 2023;495 467;0,13;
июнь 2023;551 815;0,13;
июль 2023;581 072;0,14;
август 2023;520 836;0,13;
сентябрь 2023;516 819;0,12;
октябрь 2023;500 389;0,12;
ноябрь 2023;422 794;0,10;
декабрь 2023;526 399;0,12;
январь 2024;470 583;0,12;
февраль 2024;464 073;0,11;
март 2024;424 072;0,11;
апрель 2024;425 678;0,11;
май 2024;428 765;0,12;
июнь 2024;506 341;0,13;
июль 2024;501 192;0,12;
август 2024;482 557;0,12;
сентябрь 2024;492 721;0,12;
октябрь 2024;480 296;0,11;
ноябрь 2024;420 445;0,10;
декабрь 2024;551 623;0,13;
