Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Санкт-Петербург, все устройства
декабрь 2017;1 650 119;0,35;
январь 2018;1 660 153;0,34;
февраль 2018;1 695 931;0,33;
март 2018;1 443 811;0,30;
апрель 2018;1 246 618;0,27;
май 2018;1 202 828;0,27;
июнь 2018;1 263 521;0,29;
июль 2018;1 429 051;0,32;
август 2018;1 591 976;0,32;
сентябрь 2018;1 834 262;0,32;
октябрь 2018;1 604 528;0,30;
ноябрь 2018;1 245 231;0,24;
декабрь 2018;1 619 268;0,31;
январь 2019;1 622 248;0,32;
февраль 2019;1 598 330;0,29;
март 2019;1 382 981;0,27;
апрель 2019;1 210 085;0,24;
май 2019;1 155 933;0,26;
июнь 2019;1 233 559;0,28;
июль 2019;1 272 253;0,29;
август 2019;1 436 450;0,29;
сентябрь 2019;1 631 853;0,29;
октябрь 2019;1 516 902;0,27;
ноябрь 2019;1 273 710;0,23;
декабрь 2019;1 695 238;0,30;
январь 2020;1 675 793;0,30;
февраль 2020;1 465 369;0,25;
март 2020;1 174 126;0,18;
апрель 2020;1 277 679;0,21;
май 2020;1 384 302;0,26;
июнь 2020;1 466 484;0,29;
июль 2020;1 402 062;0,27;
август 2020;1 484 405;0,26;
сентябрь 2020;1 593 299;0,25;
октябрь 2020;1 536 065;0,22;
ноябрь 2020;1 235 391;0,19;
декабрь 2020;1 609 610;0,25;
январь 2021;1 645 396;0,27;
февраль 2021;1 772 035;0,26;
март 2021;1 591 089;0,24;
апрель 2021;1 317 991;0,23;
май 2021;1 304 622;0,23;
июнь 2021;1 446 131;0,24;
июль 2021;1 627 405;0,25;
август 2021;1 514 712;0,24;
сентябрь 2021;1 411 523;0,23;
октябрь 2021;1 418 206;0,22;
ноябрь 2021;1 251 830;0,19;
декабрь 2021;1 617 228;0,24;
январь 2022;1 575 969;0,23;
февраль 2022;1 712 055;0,23;
март 2022;1 600 510;0,23;
апрель 2022;1 543 175;0,21;
май 2022;1 383 263;0,21;
июнь 2022;1 291 405;0,22;
июль 2022;1 335 065;0,22;
август 2022;1 324 784;0,21;
сентябрь 2022;1 257 856;0,19;
октябрь 2022;1 244 961;0,18;
ноябрь 2022;940 726;0,14;
декабрь 2022;1 154 814;0,19;
январь 2023;1 048 203;0,18;
февраль 2023;1 177 363;0,18;
март 2023;982 995;0,16;
апрель 2023;903 822;0,15;
май 2023;857 140;0,16;
июнь 2023;895 224;0,17;
июль 2023;982 060;0,19;
август 2023;986 060;0,17;
сентябрь 2023;1 038 950;0,17;
октябрь 2023;988 709;0,16;
ноябрь 2023;772 295;0,12;
декабрь 2023;981 286;0,16;
январь 2024;940 196;0,16;
февраль 2024;900 264;0,15;
март 2024;849 791;0,14;
апрель 2024;779 795;0,14;
май 2024;768 593;0,16;
июнь 2024;815 786;0,17;
июль 2024;838 718;0,17;
август 2024;905 459;0,17;
сентябрь 2024;986 459;0,16;
октябрь 2024;948 563;0,15;
ноябрь 2024;790 013;0,12;
декабрь 2024;983 310;0,16;
