Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Новосибирская область, все устройства
декабрь 2017;530 183;0,28;
январь 2018;522 985;0,28;
февраль 2018;552 318;0,27;
март 2018;463 375;0,25;
апрель 2018;419 481;0,22;
май 2018;357 180;0,22;
июнь 2018;409 050;0,25;
июль 2018;436 950;0,26;
август 2018;462 493;0,24;
сентябрь 2018;553 308;0,25;
октябрь 2018;489 425;0,24;
ноябрь 2018;411 347;0,19;
декабрь 2018;626 704;0,27;
январь 2019;564 641;0,26;
февраль 2019;567 177;0,26;
март 2019;498 610;0,24;
апрель 2019;431 246;0,21;
май 2019;424 249;0,23;
июнь 2019;459 391;0,25;
июль 2019;475 793;0,26;
август 2019;464 929;0,24;
сентябрь 2019;516 947;0,24;
октябрь 2019;485 789;0,23;
ноябрь 2019;423 592;0,19;
декабрь 2019;595 749;0,26;
январь 2020;550 062;0,25;
февраль 2020;509 876;0,21;
март 2020;392 430;0,14;
апрель 2020;408 358;0,16;
май 2020;427 934;0,21;
июнь 2020;447 561;0,22;
июль 2020;451 396;0,22;
август 2020;467 748;0,20;
сентябрь 2020;519 723;0,20;
октябрь 2020;525 144;0,19;
ноябрь 2020;447 086;0,16;
декабрь 2020;621 908;0,24;
январь 2021;600 471;0,25;
февраль 2021;624 576;0,24;
март 2021;575 085;0,23;
апрель 2021;454 412;0,20;
май 2021;494 571;0,22;
июнь 2021;506 801;0,22;
июль 2021;548 243;0,24;
август 2021;514 791;0,21;
сентябрь 2021;508 575;0,20;
октябрь 2021;503 851;0,20;
ноябрь 2021;425 958;0,17;
декабрь 2021;588 638;0,23;
январь 2022;538 289;0,21;
февраль 2022;602 845;0,22;
март 2022;549 637;0,21;
апрель 2022;487 905;0,19;
май 2022;514 292;0,22;
июнь 2022;503 895;0,22;
июль 2022;520 979;0,22;
август 2022;477 055;0,19;
сентябрь 2022;475 557;0,17;
октябрь 2022;486 882;0,17;
ноябрь 2022;377 494;0,13;
декабрь 2022;481 619;0,17;
январь 2023;436 775;0,16;
февраль 2023;473 617;0,16;
март 2023;399 725;0,15;
апрель 2023;351 868;0,14;
май 2023;348 489;0,15;
июнь 2023;384 976;0,17;
июль 2023;397 717;0,18;
август 2023;371 476;0,15;
сентябрь 2023;409 430;0,15;
октябрь 2023;390 622;0,15;
ноябрь 2023;298 498;0,11;
декабрь 2023;426 324;0,16;
январь 2024;385 401;0,15;
февраль 2024;375 633;0,15;
март 2024;349 750;0,14;
апрель 2024;329 592;0,14;
май 2024;315 442;0,15;
июнь 2024;371 270;0,18;
июль 2024;370 500;0,18;
август 2024;363 484;0,16;
сентябрь 2024;426 542;0,16;
октябрь 2024;404 972;0,15;
ноябрь 2024;338 966;0,12;
декабрь 2024;460 386;0,17;
