Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Алтайский край, все устройства
декабрь 2017;221 719;0,26;
январь 2018;215 061;0,26;
февраль 2018;221 156;0,25;
март 2018;182 245;0,23;
апрель 2018;178 178;0,21;
май 2018;151 341;0,21;
июнь 2018;173 866;0,24;
июль 2018;184 641;0,25;
август 2018;188 171;0,23;
сентябрь 2018;227 771;0,23;
октябрь 2018;214 026;0,23;
ноябрь 2018;171 072;0,19;
декабрь 2018;242 123;0,27;
январь 2019;238 339;0,27;
февраль 2019;233 001;0,25;
март 2019;205 239;0,23;
апрель 2019;173 600;0,21;
май 2019;176 502;0,24;
июнь 2019;190 491;0,27;
июль 2019;192 552;0,27;
август 2019;190 118;0,24;
сентябрь 2019;223 611;0,24;
октябрь 2019;232 797;0,25;
ноябрь 2019;209 940;0,21;
декабрь 2019;281 167;0,27;
январь 2020;263 589;0,27;
февраль 2020;258 486;0,24;
март 2020;181 519;0,14;
апрель 2020;195 867;0,17;
май 2020;217 717;0,22;
июнь 2020;223 652;0,24;
июль 2020;216 261;0,24;
август 2020;221 171;0,21;
сентябрь 2020;245 711;0,20;
октябрь 2020;262 727;0,21;
ноябрь 2020;222 229;0,18;
декабрь 2020;307 776;0,26;
январь 2021;298 390;0,26;
февраль 2021;309 597;0,25;
март 2021;278 665;0,23;
апрель 2021;229 984;0,20;
май 2021;255 727;0,23;
июнь 2021;256 471;0,24;
июль 2021;258 019;0,24;
август 2021;247 697;0,21;
сентябрь 2021;259 892;0,20;
октябрь 2021;270 817;0,20;
ноябрь 2021;234 822;0,17;
декабрь 2021;321 200;0,24;
январь 2022;286 961;0,21;
февраль 2022;305 835;0,21;
март 2022;270 347;0,20;
апрель 2022;239 956;0,18;
май 2022;256 377;0,21;
июнь 2022;250 347;0,22;
июль 2022;248 375;0,21;
август 2022;227 421;0,18;
сентябрь 2022;241 730;0,17;
октябрь 2022;250 067;0,16;
ноябрь 2022;195 399;0,13;
декабрь 2022;263 267;0,18;
январь 2023;227 289;0,16;
февраль 2023;247 560;0,16;
март 2023;212 008;0,15;
апрель 2023;185 778;0,14;
май 2023;184 784;0,15;
июнь 2023;205 448;0,17;
июль 2023;216 416;0,18;
август 2023;195 139;0,15;
сентябрь 2023;213 899;0,15;
октябрь 2023;210 982;0,15;
ноябрь 2023;168 561;0,11;
декабрь 2023;232 570;0,16;
январь 2024;205 524;0,15;
февраль 2024;205 520;0,15;
март 2024;186 229;0,14;
апрель 2024;172 403;0,14;
май 2024;163 792;0,15;
июнь 2024;193 385;0,18;
июль 2024;185 418;0,17;
август 2024;179 861;0,16;
сентябрь 2024;207 631;0,16;
октябрь 2024;205 340;0,15;
ноябрь 2024;171 974;0,12;
декабрь 2024;231 769;0,17;
