Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Ростовская область, все устройства
декабрь 2017;447 820;0,249;
январь 2018;472 998;0,252;
февраль 2018;485 844;0,241;
март 2018;372 946;0,221;
апрель 2018;369 989;0,213;
май 2018;344 021;0,210;
июнь 2018;395 379;0,231;
июль 2018;419 210;0,243;
август 2018;443 684;0,233;
сентябрь 2018;492 719;0,220;
октябрь 2018;426 449;0,213;
ноябрь 2018;381 474;0,179;
декабрь 2018;533 043;0,240;
январь 2019;525 282;0,251;
февраль 2019;523 736;0,239;
март 2019;454 346;0,222;
апрель 2019;430 764;0,214;
май 2019;425 412;0,228;
июнь 2019;467 668;0,245;
июль 2019;450 904;0,238;
август 2019;457 585;0,235;
сентябрь 2019;468 022;0,228;
октябрь 2019;466 023;0,224;
ноябрь 2019;421 333;0,193;
декабрь 2019;576 151;0,253;
январь 2020;543 608;0,248;
февраль 2020;482 390;0,213;
март 2020;376 398;0,133;
апрель 2020;485 933;0,176;
май 2020;499 435;0,231;
июнь 2020;495 941;0,244;
июль 2020;485 085;0,229;
август 2020;460 898;0,208;
сентябрь 2020;456 808;0,185;
октябрь 2020;483 118;0,188;
ноябрь 2020;409 241;0,159;
декабрь 2020;562 944;0,224;
январь 2021;559 958;0,236;
февраль 2021;586 202;0,225;
март 2021;524 363;0,205;
апрель 2021;492 586;0,196;
май 2021;520 685;0,207;
июнь 2021;500 233;0,206;
июль 2021;492 277;0,202;
август 2021;477 189;0,188;
сентябрь 2021;456 410;0,169;
октябрь 2021;485 813;0,177;
ноябрь 2021;425 883;0,150;
декабрь 2021;584 397;0,203;
январь 2022;522 896;0,188;
февраль 2022;582 415;0,187;
март 2022;531 078;0,186;
апрель 2022;529 301;0,184;
май 2022;509 802;0,193;
июнь 2022;515 369;0,195;
июль 2022;530 081;0,197;
август 2022;468 700;0,164;
сентябрь 2022;425 799;0,140;
октябрь 2022;417 709;0,134;
ноябрь 2022;333 825;0,106;
декабрь 2022;434 053;0,140;
январь 2023;393 449;0,136;
февраль 2023;417 863;0,134;
март 2023;352 361;0,117;
апрель 2023;339 652;0,114;
май 2023;333 600;0,124;
июнь 2023;357 937;0,134;
июль 2023;374 837;0,141;
август 2023;343 045;0,122;
сентябрь 2023;344 838;0,114;
октябрь 2023;341 888;0,112;
ноябрь 2023;282 936;0,092;
декабрь 2023;373 338;0,119;
январь 2024;342 779;0,117;
февраль 2024;332 253;0,112;
март 2024;293 445;0,107;
апрель 2024;298 550;0,108;
май 2024;297 614;0,119;
июнь 2024;338 086;0,136;
июль 2024;333 128;0,132;
август 2024;327 499;0,124;
сентябрь 2024;338 722;0,117;
октябрь 2024;339 828;0,112;
ноябрь 2024;294 621;0,094;
декабрь 2024;392 516;0,128;
