Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Костромская область, все устройства
декабрь 2017;85 804;0,32;
январь 2018;82 486;0,32;
февраль 2018;87 432;0,31;
март 2018;71 429;0,28;
апрель 2018;60 498;0,24;
май 2018;60 358;0,25;
июнь 2018;66 029;0,28;
июль 2018;69 952;0,29;
август 2018;79 224;0,29;
сентябрь 2018;94 844;0,30;
октябрь 2018;85 807;0,30;
ноябрь 2018;64 738;0,23;
декабрь 2018;89 165;0,30;
январь 2019;87 857;0,32;
февраль 2019;85 585;0,29;
март 2019;73 597;0,27;
апрель 2019;59 648;0,23;
май 2019;61 311;0,25;
июнь 2019;69 597;0,28;
июль 2019;67 503;0,28;
август 2019;69 349;0,27;
сентябрь 2019;80 741;0,27;
октябрь 2019;78 554;0,26;
ноябрь 2019;65 343;0,21;
декабрь 2019;88 791;0,28;
январь 2020;82 696;0,27;
февраль 2020;77 432;0,23;
март 2020;69 580;0,15;
апрель 2020;75 091;0,18;
май 2020;77 050;0,25;
июнь 2020;78 013;0,27;
июль 2020;68 120;0,24;
август 2020;71 368;0,22;
сентябрь 2020;77 959;0,21;
октябрь 2020;77 834;0,20;
ноябрь 2020;68 157;0,18;
декабрь 2020;88 042;0,25;
январь 2021;89 313;0,26;
февраль 2021;95 749;0,25;
март 2021;88 231;0,23;
апрель 2021;76 622;0,20;
май 2021;78 762;0,22;
июнь 2021;79 327;0,23;
июль 2021;79 191;0,23;
август 2021;81 756;0,21;
сентябрь 2021;83 261;0,20;
октябрь 2021;84 009;0,19;
ноябрь 2021;72 487;0,16;
декабрь 2021;99 270;0,22;
январь 2022;88 609;0,20;
февраль 2022;97 337;0,20;
март 2022;89 090;0,20;
апрель 2022;81 328;0,18;
май 2022;78 923;0,20;
июнь 2022;79 548;0,20;
июль 2022;82 199;0,21;
август 2022;74 303;0,17;
сентябрь 2022;71 782;0,15;
октябрь 2022;72 380;0,15;
ноябрь 2022;57 258;0,12;
декабрь 2022;73 004;0,15;
январь 2023;67 193;0,15;
февраль 2023;75 650;0,16;
март 2023;60 712;0,14;
апрель 2023;54 549;0,12;
май 2023;58 109;0,15;
июнь 2023;60 972;0,15;
июль 2023;62 726;0,16;
август 2023;58 125;0,14;
сентябрь 2023;63 529;0,14;
октябрь 2023;61 585;0,14;
ноябрь 2023;48 425;0,11;
декабрь 2023;61 727;0,13;
январь 2024;58 243;0,14;
февраль 2024;56 750;0,13;
март 2024;52 297;0,12;
апрель 2024;49 620;0,12;
май 2024;48 361;0,13;
июнь 2024;55 117;0,15;
июль 2024;55 547;0,15;
август 2024;59 441;0,16;
сентябрь 2024;63 168;0,15;
октябрь 2024;61 504;0,14;
ноябрь 2024;52 831;0,12;
декабрь 2024;67 562;0,15;
