Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Мурманская область, все устройства
декабрь 2017;80 996;0,22;
январь 2018;78 075;0,22;
февраль 2018;83 225;0,21;
март 2018;73 890;0,20;
апрель 2018;68 325;0,19;
май 2018;63 728;0,21;
июнь 2018;63 528;0,23;
июль 2018;76 629;0,26;
август 2018;93 360;0,26;
сентябрь 2018;108 726;0,27;
октябрь 2018;90 389;0,24;
ноябрь 2018;71 398;0,20;
декабрь 2018;89 388;0,24;
январь 2019;85 649;0,24;
февраль 2019;82 707;0,22;
март 2019;77 112;0,22;
апрель 2019;67 753;0,20;
май 2019;69 653;0,24;
июнь 2019;73 165;0,26;
июль 2019;79 187;0,28;
август 2019;92 870;0,28;
сентябрь 2019;101 559;0,27;
октябрь 2019;92 554;0,24;
ноябрь 2019;79 162;0,20;
декабрь 2019;98 338;0,23;
январь 2020;93 083;0,23;
февраль 2020;87 266;0,19;
март 2020;74 510;0,12;
апрель 2020;88 145;0,17;
май 2020;84 611;0,22;
июнь 2020;81 184;0,24;
июль 2020;83 430;0,25;
август 2020;98 218;0,25;
сентябрь 2020;109 447;0,24;
октябрь 2020;103 637;0,22;
ноябрь 2020;82 865;0,18;
декабрь 2020;102 409;0,22;
январь 2021;97 112;0,23;
февраль 2021;103 664;0,22;
март 2021;106 239;0,21;
апрель 2021;99 767;0,19;
май 2021;95 049;0,22;
июнь 2021;80 821;0,22;
июль 2021;87 443;0,23;
август 2021;109 253;0,23;
сентябрь 2021;114 266;0,21;
октябрь 2021;110 406;0,20;
ноябрь 2021;97 000;0,17;
декабрь 2021;117 383;0,20;
январь 2022;105 519;0,19;
февраль 2022;109 422;0,18;
март 2022;109 094;0,19;
апрель 2022;100 088;0,18;
май 2022;90 442;0,19;
июнь 2022;88 651;0,20;
июль 2022;90 217;0,21;
август 2022;96 000;0,18;
сентябрь 2022;90 965;0,15;
октябрь 2022;91 393;0,15;
ноябрь 2022;68 958;0,11;
декабрь 2022;83 707;0,14;
январь 2023;75 457;0,14;
февраль 2023;82 992;0,14;
март 2023;76 530;0,13;
апрель 2023;71 251;0,13;
май 2023;63 148;0,14;
июнь 2023;65 949;0,16;
июль 2023;72 138;0,17;
август 2023;78 574;0,16;
сентябрь 2023;86 970;0,16;
октябрь 2023;79 062;0,14;
ноябрь 2023;62 627;0,11;
декабрь 2023;77 772;0,14;
январь 2024;72 109;0,13;
февраль 2024;69 966;0,12;
март 2024;67 814;0,13;
апрель 2024;62 998;0,12;
май 2024;54 921;0,13;
июнь 2024;61 101;0,16;
июль 2024;63 385;0,16;
август 2024;70 587;0,16;
сентябрь 2024;79 449;0,15;
октябрь 2024;75 757;0,14;
ноябрь 2024;63 104;0,11;
декабрь 2024;75 822;0,14;
