Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Ставропольский край, все устройства
декабрь 2017;240 703;0,271;
январь 2018;230 722;0,265;
февраль 2018;237 382;0,252;
март 2018;189 035;0,234;
апрель 2018;190 290;0,226;
май 2018;171 673;0,219;
июнь 2018;200 149;0,244;
июль 2018;207 926;0,253;
август 2018;213 389;0,237;
сентябрь 2018;232 635;0,233;
октябрь 2018;217 596;0,229;
ноябрь 2018;188 560;0,191;
декабрь 2018;260 501;0,251;
январь 2019;252 711;0,261;
февраль 2019;252 494;0,246;
март 2019;225 895;0,233;
апрель 2019;204 409;0,222;
май 2019;204 049;0,237;
июнь 2019;229 949;0,260;
июль 2019;212 776;0,246;
август 2019;212 872;0,232;
сентябрь 2019;231 402;0,231;
октябрь 2019;229 446;0,220;
ноябрь 2019;208 627;0,190;
декабрь 2019;284 850;0,248;
январь 2020;267 730;0,245;
февраль 2020;236 358;0,197;
март 2020;181 713;0,120;
апрель 2020;230 071;0,161;
май 2020;252 736;0,223;
июнь 2020;252 573;0,237;
июль 2020;234 472;0,223;
август 2020;228 808;0,197;
сентябрь 2020;227 554;0,174;
октябрь 2020;235 969;0,171;
ноябрь 2020;203 544;0,146;
декабрь 2020;280 624;0,217;
январь 2021;276 539;0,229;
февраль 2021;289 787;0,219;
март 2021;257 892;0,199;
апрель 2021;235 307;0,191;
май 2021;250 302;0,204;
июнь 2021;240 982;0,200;
июль 2021;234 679;0,191;
август 2021;227 602;0,178;
сентябрь 2021;221 541;0,164;
октябрь 2021;228 729;0,161;
ноябрь 2021;209 740;0,148;
декабрь 2021;286 371;0,197;
январь 2022;257 197;0,185;
февраль 2022;280 020;0,181;
март 2022;249 727;0,175;
апрель 2022;245 346;0,167;
май 2022;243 945;0,181;
июнь 2022;239 421;0,178;
июль 2022;236 433;0,174;
август 2022;206 258;0,142;
сентябрь 2022;199 233;0,128;
октябрь 2022;200 282;0,126;
ноябрь 2022;166 780;0,104;
декабрь 2022;220 478;0,138;
январь 2023;190 832;0,131;
февраль 2023;208 457;0,132;
март 2023;175 535;0,118;
апрель 2023;173 947;0,117;
май 2023;164 682;0,122;
июнь 2023;180 084;0,135;
июль 2023;184 435;0,140;
август 2023;170 187;0,124;
сентябрь 2023;176 536;0,119;
октябрь 2023;169 592;0,114;
ноябрь 2023;137 945;0,092;
декабрь 2023;183 210;0,120;
январь 2024;164 839;0,116;
февраль 2024;159 748;0,110;
март 2024;141 072;0,105;
апрель 2024;144 335;0,107;
май 2024;142 135;0,118;
июнь 2024;164 395;0,135;
июль 2024;154 683;0,127;
август 2024;149 997;0,116;
сентябрь 2024;160 271;0,113;
октябрь 2024;158 332;0,109;
ноябрь 2024;140 288;0,092;
декабрь 2024;185 273;0,122;
