Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Сахалинская область, все устройства
декабрь 2017;18 940;0,145;
январь 2018;17 144;0,133;
февраль 2018;17 900;0,129;
март 2018;15 813;0,122;
апрель 2018;15 185;0,114;
май 2018;14 152;0,116;
июнь 2018;14 234;0,117;
июль 2018;14 584;0,122;
август 2018;15 563;0,117;
сентябрь 2018;18 223;0,117;
октябрь 2018;17 249;0,118;
ноябрь 2018;13 308;0,094;
декабрь 2018;18 088;0,123;
январь 2019;18 057;0,127;
февраль 2019;18 591;0,122;
март 2019;17 505;0,121;
апрель 2019;14 073;0,108;
май 2019;14 507;0,120;
июнь 2019;15 041;0,127;
июль 2019;15 014;0,127;
август 2019;15 797;0,123;
сентябрь 2019;20 276;0,131;
октябрь 2019;20 254;0,130;
ноябрь 2019;17 594;0,106;
декабрь 2019;23 916;0,138;
январь 2020;22 321;0,132;
февраль 2020;21 186;0,112;
март 2020;17 706;0,076;
апрель 2020;21 452;0,100;
май 2020;22 378;0,125;
июнь 2020;22 013;0,137;
июль 2020;23 179;0,144;
август 2020;23 325;0,136;
сентябрь 2020;26 034;0,130;
октябрь 2020;25 866;0,122;
ноябрь 2020;22 198;0,111;
декабрь 2020;29 378;0,148;
январь 2021;27 750;0,147;
февраль 2021;29 956;0,148;
март 2021;30 266;0,141;
апрель 2021;31 361;0,148;
май 2021;29 602;0,153;
июнь 2021;27 560;0,153;
июль 2021;31 386;0,155;
август 2021;31 617;0,149;
сентябрь 2021;32 475;0,142;
октябрь 2021;33 003;0,143;
ноябрь 2021;28 672;0,119;
декабрь 2021;35 738;0,145;
январь 2022;34 098;0,143;
февраль 2022;40 174;0,152;
март 2022;37 689;0,147;
апрель 2022;34 046;0,136;
май 2022;34 261;0,152;
июнь 2022;32 829;0,153;
июль 2022;35 819;0,161;
август 2022;31 489;0,130;
сентябрь 2022;32 825;0,125;
октябрь 2022;37 401;0,131;
ноябрь 2022;31 617;0,116;
декабрь 2022;36 139;0,135;
январь 2023;31 882;0,128;
февраль 2023;35 317;0,130;
март 2023;30 220;0,116;
апрель 2023;29 172;0,116;
май 2023;28 658;0,130;
июнь 2023;28 501;0,133;
июль 2023;30 020;0,137;
август 2023;29 070;0,128;
сентябрь 2023;31 612;0,125;
октябрь 2023;31 536;0,124;
ноябрь 2023;24 973;0,097;
декабрь 2023;29 355;0,112;
январь 2024;29 165;0,120;
февраль 2024;29 196;0,117;
март 2024;25 557;0,107;
апрель 2024;25 815;0,110;
май 2024;24 237;0,119;
июнь 2024;27 255;0,135;
июль 2024;26 546;0,130;
август 2024;27 573;0,131;
сентябрь 2024;31 093;0,129;
октябрь 2024;28 684;0,116;
ноябрь 2024;24 028;0,093;
декабрь 2024;30 765;0,120;
