Period,Kaluga Oblast,Kostroma Oblast,Kursk Oblast,Lipetsk Oblast,Oryol Oblast,Ryazan Oblast,Smolensk Oblast,Tambov Oblast,Tver Oblast,Tula Oblast,Yaroslavl Oblast,Saint Petersburg,Leningrad Oblast,Arkhangel'skaya Oblast',Vologda Oblast,Kaliningrad Oblast,Murmansk Oblast,Novgorod Oblast,Pskov Oblast,Republic of Karelia,Moscow,Komi Republic,Kirov Oblast,Nizhny Novgorod Oblast',Orenburg Oblast,Penza Oblast,Perm Krai,Republic of Bashkortostan,Mari El Republic,Republic of Mordovia,Republic of Tatarstan,Moscow Oblast,Samara Oblast,Saratov Oblast,Udmurt Republic,Ulyanovsk Oblast,Chuvash Republic,Astrakhan Oblast,Volgograd Oblast,Krasnodar Krai,Republic of Adygea,Republic of Kalmykia,Belgorod Oblast,Rostov Oblast,Altai Krai,Irkutsk Oblast,Kemerovo Oblast,Krasnoyarsk Krai,Novosibirsk Oblast,Omsk Oblast,Altai Republic,Tyva Republic,Republic of Khakassia,Bryansk Oblast,Tomsk District,Amur Oblast,Jewish Autonomous Oblast,Zabaykalsky Krai,Kamchatka Krai,Magadan District,Primorsky Krai,Republic of Buryatia,Sakha (Yakutia) Republic,Sakhalin District,Vladimir Oblast,Khabarovsk Krai,The Kabardino-Balkar Republic,Karachay-Cherkess Republic,Republic of Dagestan,Republic of Ingushetia,Republic of North Ossetia — Alania,Stavropol Krai,Chechen Republic,Kurgan Oblast,Sverdlovsk Oblast,Voronezh Oblast,Tyumen Oblast,Khanty-Mansi Autonomous Okrug — Yugra,Chelyabinsk Oblast,Yamalo-Nenets Autonomous Okrug,Ivanovo Oblast
17501,0.0026,0.0026,0.0024,0.0027,0.0017,0.0024,0.0019,0.002,0.0027,0.0025,0.0026,0.0033,0.0025,0.0026,0.0024,0.0028,0.0034,0.0041,0.0024,0.0027,0.0033,0.0029,0.0027,0.0039,0.0033,0.0024,0.003,0.003,0.0029,0.0024,0.0027,0.003,0.0028,0.0022,0.0041,0.0027,0.0039,0.0023,0.0024,0.003,0.0043,0.0024,0.0026,0.0028,0.0026,0.0025,0.0027,0.004,0.0032,0.0031,0.00295,0.00223,0.0026,0.0021,0.0023,0.0037,0.00389,0.00309,0.0042,0.0034,0.0033,0.00207,0.0026,0.00272,0.0029,0.0046,0.00237,0.00199,0.00136,8.6e-4,0.00216,0.0032,0.00189,0.00179,0.0032,0.0039,0.0025,0.0029,0.0031,0.0039,0.0024
17532,0.0021,0.0021,0.0024,0.0022,0.0019,0.0025,0.0017,0.0021,0.0024,0.0024,0.0025,0.0032,0.0023,0.002,0.002,0.0027,0.0034,0.0041,0.0021,0.0023,0.0029,0.0026,0.0026,0.003,0.0031,0.0018,0.0029,0.0028,0.0027,0.0019,0.0025,0.0029,0.0025,0.0017,0.0045,0.0026,0.0031,0.0021,0.0019,0.0025,0.0051,0.00124,0.0024,0.0025,0.0028,0.0023,0.003,0.0042,0.0028,0.0026,0.00183,0.00199,0.0025,0.0021,0.002,0.0033,0.00263,0.00261,0.0039,0.0022,0.0028,0.00168,0.0022,0.00143,0.0027,0.0035,0.00198,0.00163,8.7e-4,0.0015,0.00167,0.003,6.9e-4,0.00169,0.0027,0.0033,0.0024,0.0026,0.003,0.0036,0.002
17563,0.002,0.0019,0.0025,0.0016,0.0014,0.0018,0.0016,0.0016,0.0026,0.0018,0.0026,0.0031,0.0021,0.0019,0.0018,0.0026,0.0031,0.0041,0.0023,0.0021,0.0029,0.0024,0.0024,0.0029,0.0031,0.0019,0.0024,0.0026,0.0026,0.0019,0.0023,0.0027,0.0025,0.0018,0.0043,0.0027,0.0025,0.0019,0.0021,0.0025,0.0032,0.00153,0.0022,0.0023,0.0025,0.0022,0.0027,0.0035,0.0025,0.0019,0.0017,0.00171,0.0019,0.0017,0.0019,0.0033,0.00422,0.00219,0.0035,0.002,0.0024,0.00155,0.0019,0.0014,0.0022,0.003,0.00167,0.0014,8.3e-4,5.1e-4,0.00136,0.0026,0.0012,0.00144,0.0023,0.0033,0.0022,0.0027,0.0026,0.0033,0.0017
17591,0.0022,0.002,0.0025,0.0017,0.0015,0.002,0.0016,0.0017,0.0021,0.002,0.0024,0.003,0.002,0.002,0.0017,0.0022,0.0032,0.0033,0.0019,0.002,0.0028,0.0023,0.002,0.0026,0.0028,0.0018,0.0026,0.0025,0.0024,0.0019,0.0023,0.0026,0.0024,0.0017,0.0033,0.0024,0.0028,0.002,0.0017,0.0022,0.0035,9.4e-4,0.0022,0.0022,0.0025,0.0023,0.0026,0.0033,0.0023,0.0024,0.00237,0.00205,0.0019,0.0019,0.0017,0.0027,0.00399,0.0022,0.0025,0.0013,0.0023,0.00153,0.0023,0.00152,0.002,0.0028,0.00182,0.00156,5.7e-4,8.1e-4,0.00128,0.0028,8.6e-4,0.00152,0.0024,0.0035,0.0021,0.0026,0.0024,0.0033,0.002
17622,0.0021,0.0022,0.0022,0.0016,0.0017,0.002,0.0014,0.0016,0.0022,0.0019,0.0024,0.0026,0.0016,0.0016,0.0017,0.0022,0.0025,0.0033,0.0017,0.0017,0.0025,0.0024,0.0018,0.0025,0.0024,0.0018,0.0026,0.0022,0.0018,0.0021,0.0019,0.0024,0.0023,0.0018,0.0027,0.0019,0.0029,0.0021,0.0018,0.0023,0.0025,0.00143,0.002,0.0021,0.0024,0.0021,0.0026,0.0029,0.0021,0.0022,0.00223,0.00212,0.0016,0.002,0.0016,0.0024,0.00276,0.00202,0.0031,0.0023,0.0022,0.00173,0.0018,0.00157,0.0018,0.0026,0.00221,0.00147,7.7e-4,7.1e-4,0.0014,0.0023,0.00123,0.00168,0.0023,0.003,0.0023,0.0028,0.0024,0.0035,0.0019
17652,0.0016,0.0023,0.0024,0.0017,0.0016,0.002,0.0012,0.0014,0.0023,0.0019,0.0023,0.0027,0.0018,0.0018,0.0017,0.0022,0.003,0.0028,0.0019,0.0016,0.0024,0.0022,0.0019,0.0026,0.0023,0.0017,0.0025,0.0022,0.0018,0.0015,0.0019,0.0023,0.0022,0.0018,0.0026,0.002,0.0025,0.0017,0.0018,0.002,0.0035,0.00138,0.0021,0.002,0.0023,0.002,0.0024,0.0027,0.002,0.0023,0.00192,0.00127,0.0016,0.0016,0.0016,0.0021,0.00268,0.00194,0.0024,0.0026,0.0022,0.00181,0.0019,0.00138,0.0019,0.0023,0.00193,0.00133,7.4e-4,0.00113,0.00144,0.0021,7.6e-4,0.00175,0.0021,0.0031,0.0022,0.0026,0.0024,0.0037,0.0018
17683,0.0016,0.002,0.0023,0.0018,0.002,0.002,0.0012,0.0014,0.0024,0.002,0.0022,0.0029,0.0019,0.0018,0.0015,0.0026,0.003,0.0029,0.0017,0.0018,0.0027,0.002,0.0021,0.0027,0.0024,0.0015,0.0029,0.0021,0.0024,0.0016,0.002,0.0025,0.0024,0.0021,0.0025,0.002,0.0025,0.0018,0.0019,0.0021,0.0036,0.00159,0.0023,0.0021,0.0022,0.0018,0.0025,0.0028,0.002,0.0022,0.00175,5.6e-4,0.0019,0.0014,0.0015,0.0024,0.00353,0.00228,0.0024,0.0011,0.0022,0.00156,0.0016,0.0019,0.0018,0.0025,0.00182,0.00155,6.7e-4,5.4e-4,0.00132,0.0024,0.00147,0.00143,0.0023,0.0035,0.0023,0.0024,0.0024,0.0037,0.0018
17713,0.002,0.0021,0.0024,0.0018,0.0023,0.0019,0.0018,0.0015,0.0029,0.0019,0.0023,0.0032,0.0022,0.0024,0.0016,0.003,0.0032,0.0037,0.0017,0.0022,0.0029,0.0021,0.002,0.0029,0.0023,0.0015,0.003,0.002,0.002,0.0019,0.002,0.0026,0.0025,0.0018,0.0026,0.0026,0.0027,0.002,0.0018,0.0023,0.0046,0.00244,0.0024,0.0022,0.0023,0.0021,0.0027,0.0032,0.0021,0.002,0.00196,0.00118,0.0021,0.0017,0.0018,0.0022,0.00239,0.00215,0.0025,0.002,0.0024,0.00147,0.0016,0.00176,0.0019,0.0026,0.00153,0.0018,6.8e-4,0.0011,0.00138,0.0027,0.00119,0.00178,0.0022,0.0035,0.0024,0.003,0.0023,0.0032,0.0019
17744,0.002,0.0017,0.0027,0.0021,0.0019,0.0023,0.0015,0.0015,0.0025,0.0022,0.0026,0.0033,0.0022,0.0023,0.0021,0.0028,0.003,0.0038,0.0015,0.0021,0.003,0.0023,0.002,0.0027,0.0024,0.0016,0.0029,0.0028,0.0021,0.0021,0.0021,0.0028,0.0024,0.0019,0.0027,0.0024,0.0027,0.0018,0.0022,0.0025,0.0042,0.00197,0.0023,0.0021,0.0025,0.0022,0.0027,0.0037,0.0025,0.0021,0.00184,0.00158,0.0018,0.0019,0.0016,0.002,0.00268,0.00179,0.0022,0.0018,0.0024,0.0013,0.0017,0.00158,0.0019,0.0025,0.00187,0.00137,9.2e-4,7.6e-4,0.00137,0.0023,0.0015,0.00172,0.0023,0.0034,0.0027,0.0026,0.0056,0.0025,0.0018
17775,0.002,0.0023,0.0022,0.002,0.0021,0.0024,0.002,0.0017,0.0027,0.0021,0.0025,0.0033,0.0022,0.0023,0.0022,0.0026,0.0031,0.0041,0.0021,0.0023,0.0032,0.0024,0.0024,0.0029,0.0025,0.002,0.0029,0.0024,0.0019,0.0027,0.0022,0.0028,0.0024,0.002,0.0033,0.0028,0.0034,0.0018,0.002,0.0025,0.0026,0.00188,0.0023,0.0021,0.0025,0.0023,0.003,0.0039,0.0025,0.0021,0.00234,0.00194,0.0025,0.002,0.0018,0.0025,0.00378,0.00203,0.0028,0.0028,0.0025,0.00152,0.0021,0.00195,0.0022,0.0032,0.00194,0.0017,9.4e-4,8e-4,0.00143,0.0023,0.00139,0.00156,0.0025,0.0034,0.002,0.0028,0.0028,0.0029,0.0017
