Period,Kaluga Oblast,Kostroma Oblast,Kursk Oblast,Lipetsk Oblast,Oryol Oblast,Ryazan Oblast,Smolensk Oblast,Tver Oblast,Tula Oblast,Yaroslavl Oblast,Saint Petersburg,Leningrad Oblast,Arkhangel'skaya Oblast',Vologda Oblast,Kaliningrad Oblast,Murmansk Oblast,Novgorod Oblast,Pskov Oblast,Republic of Karelia,Komi Republic,Moscow,Kirov Oblast,Nizhny Novgorod Oblast',Orenburg Oblast,Penza Oblast,Perm Krai,Republic of Bashkortostan,Mari El Republic,Republic of Mordovia,Republic of Tatarstan,Samara Oblast,Moscow Oblast,Saratov Oblast,Udmurt Republic,Ulyanovsk Oblast,Chuvash Republic,Astrakhan Oblast,Volgograd Oblast,Krasnodar Krai,Republic of Kalmykia,Rostov Oblast,Altai Krai,Belgorod Oblast,Irkutsk Oblast,Kemerovo Oblast,Krasnoyarsk Krai,Novosibirsk Oblast,Omsk Oblast,Altai Republic,Tyva Republic,Republic of Khakassia,Tomsk District,Amur Oblast,Bryansk Oblast,Jewish Autonomous Oblast,Zabaykalsky Krai,Kamchatka Krai,Magadan District,Primorsky Krai,Republic of Buryatia,Sakha (Yakutia) Republic,Sakhalin District,Khabarovsk Krai,The Kabardino-Balkar Republic,Vladimir Oblast,Karachay-Cherkess Republic,Republic of Dagestan,Republic of Ingushetia,Republic of North Ossetia — Alania,Stavropol Krai,Chechen Republic,Kurgan Oblast,Sverdlovsk Oblast,Tyumen Oblast,Khanty-Mansi Autonomous Okrug — Yugra,Voronezh Oblast,Chelyabinsk Oblast,Yamalo-Nenets Autonomous Okrug,Ivanovo Oblast
17501,1,0,0,3,0,0,0,0,0,0,10,0,0,1,0,0,0,0,1,0,164,0,9,0,7,1,48,2,0,126,0,30,0,1,0,2,0,0,1,0,1,0,0,16,2,1,22,0,0,0,4,4,0,0,0,0,1,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,24,4,2,0,0,0,0
17532,2,0,0,0,1,0,0,1,0,0,18,5,0,0,0,0,0,0,0,0,178,0,8,0,0,1,34,0,0,107,15,12,2,5,5,0,0,0,2,0,0,0,0,14,8,1,6,0,0,2,3,0,0,0,0,0,0,0,3,0,5,0,0,0,1,0,1,0,0,0,0,0,22,5,0,0,1,0,0
17563,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,8,123,0,3,0,0,0,40,0,1,117,40,27,0,0,22,0,0,0,1,0,2,0,0,7,5,2,2,0,0,1,2,4,0,0,0,0,0,0,5,0,1,5,2,0,0,0,2,0,0,0,0,0,13,0,9,0,18,0,0
17591,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,162,0,5,0,1,1,13,0,0,69,0,23,2,0,0,0,0,0,0,0,0,0,0,5,0,3,6,0,0,1,3,0,0,0,0,0,0,0,0,2,1,4,2,0,2,0,0,0,0,0,0,0,7,0,2,0,0,0,0
17622,1,0,0,0,1,0,0,0,0,0,14,0,0,3,0,0,0,0,0,1,248,1,2,0,0,1,8,0,0,62,2,14,0,0,0,0,0,1,1,0,8,0,0,13,1,2,9,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,10,8,0,2,7,7
17652,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,104,0,0,1,0,0,6,0,0,72,2,10,5,0,0,0,0,1,3,0,0,0,0,2,4,3,1,5,0,1,1,0,0,0,0,0,0,0,1,0,3,3,5,0,0,0,0,0,0,0,0,0,13,2,0,0,0,4,0
17683,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,120,0,2,0,0,1,14,0,0,34,5,8,0,0,0,0,0,0,0,0,0,0,1,6,7,4,21,0,0,0,14,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,5,5,0
17713,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,100,0,5,0,0,0,9,0,0,42,0,20,0,0,0,0,0,0,3,0,3,0,0,0,0,7,9,0,3,0,9,1,0,0,0,1,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,5,3,0,0,1,2,0
17744,0,0,0,0,0,0,0,0,0,0,18,0,0,1,0,0,0,0,0,0,151,1,5,0,0,1,24,0,1,151,2,19,4,0,0,24,0,0,5,0,0,0,0,1,0,1,10,0,0,5,15,0,0,0,0,0,0,0,1,0,2,4,2,0,0,0,1,0,0,0,0,0,20,1,2,0,1,3,0
17775,1,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,154,2,11,0,0,1,51,0,0,192,16,13,0,0,2,19,0,7,0,0,0,0,0,2,0,35,8,6,0,1,3,0,1,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,22,2,0,1,5,0,0
