Period,Kaluga Oblast,Kostroma Oblast,Kursk Oblast,Lipetsk Oblast,Oryol Oblast,Ryazan Oblast,Smolensk Oblast,Tambov Oblast,Tver Oblast,Tula Oblast,Yaroslavl Oblast,Saint Petersburg,Leningrad Oblast,Arkhangel'skaya Oblast',Vologda Oblast,Kaliningrad Oblast,Murmansk Oblast,Novgorod Oblast,Pskov Oblast,Republic of Karelia,Moscow,Komi Republic,Kirov Oblast,Nizhny Novgorod Oblast',Orenburg Oblast,Penza Oblast,Perm Krai,Republic of Bashkortostan,Mari El Republic,Republic of Mordovia,Republic of Tatarstan,Moscow Oblast,Samara Oblast,Saratov Oblast,Udmurt Republic,Ulyanovsk Oblast,Chuvash Republic,Astrakhan Oblast,Volgograd Oblast,Krasnodar Krai,Republic of Adygea,Republic of Kalmykia,Belgorod Oblast,Rostov Oblast,Altai Krai,Irkutsk Oblast,Kemerovo Oblast,Krasnoyarsk Krai,Novosibirsk Oblast,Omsk Oblast,Altai Republic,Tyva Republic,Republic of Khakassia,Bryansk Oblast,Tomsk District,Amur Oblast,Jewish Autonomous Oblast,Zabaykalsky Krai,Kamchatka Krai,Magadan District,Primorsky Krai,Republic of Buryatia,Sakha (Yakutia) Republic,Sakhalin District,Vladimir Oblast,Khabarovsk Krai,The Kabardino-Balkar Republic,Karachay-Cherkess Republic,Republic of Dagestan,Republic of Ingushetia,Republic of North Ossetia — Alania,Stavropol Krai,Chechen Republic,Kurgan Oblast,Sverdlovsk Oblast,Voronezh Oblast,Tyumen Oblast,Khanty-Mansi Autonomous Okrug — Yugra,Chelyabinsk Oblast,Yamalo-Nenets Autonomous Okrug,Ivanovo Oblast
17501,830,268,561,751,392,566,497,471,812,1083,923,14111,1525,375,557,884,594,291,324,276,41537,372,369,3373,1094,715,1200,1802,240,455,2544,12619,3195,1666,740,672,548,450,1414,4647,152,75,1140,3085,1419,1123,1258,1867,4080,1252,73,113,238,640,860,235,39,334,127,56,629,212,244,149,848,840,213,73,572,58,347,1413,72,307,4205,1898,1285,1457,2031,701,490
17532,909,284,622,819,402,599,446,443,757,1181,943,14142,1504,505,536,705,666,346,229,247,44829,427,581,3408,1168,680,1253,2014,274,356,2528,13213,3389,1767,666,613,433,495,2125,5105,197,53,1105,3335,1238,1086,1279,1844,4288,1246,91,125,226,491,859,233,35,264,128,54,723,221,245,179,794,782,222,134,488,29,339,1294,183,300,4627,2045,1368,1729,1913,705,547
17563,893,288,654,830,473,731,507,474,914,1189,1054,16512,1663,526,632,872,605,435,314,276,52442,423,556,3651,1250,682,1390,2139,337,448,2492,16355,4477,1871,674,655,492,466,1690,5447,145,89,1267,3648,1438,1178,1307,2045,4751,1138,84,118,213,604,1062,266,34,345,214,78,841,230,314,226,992,1088,310,121,561,77,454,1591,190,332,5363,2284,1393,1876,2143,864,641
17591,895,343,587,808,320,670,485,411,830,1208,1010,16093,1640,491,523,850,658,329,256,260,51533,483,571,3235,1244,686,1349,2087,312,411,2339,16162,4133,1830,733,679,506,516,1356,4949,116,88,1163,3280,1363,1072,1358,1902,4610,1186,108,117,143,597,949,222,43,315,215,102,840,250,298,180,926,879,341,161,549,65,309,1566,120,415,4995,1772,1351,1672,1976,779,550
17622,916,424,644,917,414,597,564,441,883,1113,1074,16452,1832,465,555,935,627,435,271,254,55477,459,553,3178,1094,979,1443,2253,279,481,2528,17189,4523,1793,744,669,540,503,1587,5435,147,67,1225,3604,1440,1283,1313,2204,4755,1357,92,81,195,538,1038,266,28,426,164,84,813,290,345,215,936,947,340,171,679,66,368,1558,129,489,5062,2094,1499,1643,2141,815,647
17652,946,387,665,999,471,641,495,446,854,1081,1051,17360,2166,397,443,883,563,603,295,264,53677,427,573,3068,1236,765,1452,2191,357,310,2557,17517,4211,1910,671,839,528,480,1576,5814,180,80,1278,3522,1410,1123,1213,1993,4460,1298,121,119,180,547,897,233,80,314,193,95,894,269,348,200,968,1072,375,95,756,33,370,1702,102,410,4970,1912,1469,1665,2055,725,556
17683,868,350,592,1011,497,641,482,468,983,1222,1104,18324,2280,533,637,859,565,878,378,320,54746,421,575,3121,1145,736,1456,2130,328,280,2448,17817,4764,1912,642,691,437,584,1737,6747,209,139,1296,3662,1417,1228,1163,1863,4504,1209,125,114,204,625,848,223,31,378,186,64,961,265,285,264,966,976,383,142,819,60,537,1829,127,396,5258,1900,1610,1752,2377,640,594
17713,1068,432,670,966,486,817,553,459,1085,1339,1111,18413,2355,507,624,800,644,702,323,330,60149,562,705,3768,1326,798,1502,2601,320,383,2615,19323,5073,2160,725,747,602,551,1862,6631,213,114,1348,3973,1542,1277,1282,2171,5504,1347,96,88,233,664,895,296,51,347,186,57,980,252,354,207,1090,981,470,119,791,61,582,2054,149,462,5802,2175,1845,1885,2222,680,697
17744,1014,553,586,919,377,739,550,483,990,1491,1247,17900,2179,532,683,874,602,696,302,311,57158,471,647,3763,1328,835,1504,2238,279,510,2600,18187,5029,1977,676,874,529,537,1744,5875,159,85,1194,3959,1713,1265,1273,1976,6152,1238,100,128,178,629,823,264,41,407,192,67,841,300,335,249,875,1037,400,118,736,66,504,2006,138,417,5716,2145,1716,1759,2130,654,665
17775,1045,506,646,1017,403,862,546,575,1037,1423,1385,18643,2103,586,696,896,640,862,342,249,59714,439,547,4152,1349,964,1643,2482,303,322,2718,18049,5383,2124,838,844,541,667,1776,5993,197,145,1297,3999,1717,1463,1380,2054,5690,1387,133,130,276,540,959,313,41,352,233,55,793,331,276,239,1112,959,439,132,864,74,486,1926,182,443,6665,1979,1605,1875,2438,705,631
17805,1023,458,627,912,447,686,581,602,880,1220,1427,16385,1920,458,612,813,684,627,352,315,54042,432,497,3457,1265,919,1375,2417,304,430,2586,16944,5244,2185,740,671,557,547,1874,6259,197,60,1110,3566,1580,1183,1532,1846,4837,1294,116,118,189,664,873,282,66,405,193,80,863,273,284,219,906,860,328,161,814,49,596,1916,117,406,6165,1925,1499,1873,2188,669,679
