Period,Kaluga Oblast,Kostroma Oblast,Kursk Oblast,Lipetsk Oblast,Oryol Oblast,Ryazan Oblast,Smolensk Oblast,Tambov Oblast,Tver Oblast,Tula Oblast,Yaroslavl Oblast,Saint Petersburg,Leningrad Oblast,Arkhangel'skaya Oblast',Vologda Oblast,Kaliningrad Oblast,Murmansk Oblast,Novgorod Oblast,Pskov Oblast,Republic of Karelia,Moscow,Komi Republic,Kirov Oblast,Nizhny Novgorod Oblast',Orenburg Oblast,Penza Oblast,Perm Krai,Republic of Bashkortostan,Mari El Republic,Republic of Mordovia,Republic of Tatarstan,Moscow Oblast,Samara Oblast,Saratov Oblast,Udmurt Republic,Ulyanovsk Oblast,Chuvash Republic,Astrakhan Oblast,Volgograd Oblast,Krasnodar Krai,Republic of Adygea,Republic of Kalmykia,Belgorod Oblast,Rostov Oblast,Altai Krai,Irkutsk Oblast,Kemerovo Oblast,Krasnoyarsk Krai,Novosibirsk Oblast,Omsk Oblast,Altai Republic,Tyva Republic,Republic of Khakassia,Bryansk Oblast,Tomsk District,Amur Oblast,Jewish Autonomous Oblast,Zabaykalsky Krai,Kamchatka Krai,Magadan District,Primorsky Krai,Republic of Buryatia,Sakha (Yakutia) Republic,Sakhalin District,Vladimir Oblast,Khabarovsk Krai,The Kabardino-Balkar Republic,Karachay-Cherkess Republic,Republic of Dagestan,Republic of Ingushetia,Republic of North Ossetia — Alania,Stavropol Krai,Chechen Republic,Kurgan Oblast,Sverdlovsk Oblast,Voronezh Oblast,Tyumen Oblast,Khanty-Mansi Autonomous Okrug — Yugra,Chelyabinsk Oblast,Yamalo-Nenets Autonomous Okrug,Ivanovo Oblast
17501,169386,85804,126770,145412,100988,179635,105312,113420,182457,227673,241733,1650119,196862,125517,153130,100688,80996,76482,73848,107425,3754684,128569,191096,763105,201954,140032,352231,641860,66152,85796,375998,1754297,442526,341939,236724,170879,174523,88940,275858,666899,20811,12616,193444,447820,221719,290676,260676,332460,530183,275130,17400,8565,57399,134105,148006,56108,8448,95077,19202,7200,115295,67622,27264,18940,180719,154909,23810,15978,40038,3792,30673,240703,10659,83615,772499,333066,288599,235029,423125,70640,112749
17532,167968,82486,125828,145874,98612,178006,105169,115423,170316,222534,231127,1660153,192867,120292,143547,95343,78075,72963,74996,108034,3810885,121255,181120,732754,183055,134060,341438,606297,60250,85193,359066,1713235,462966,321570,226507,165316,165160,84115,271905,652941,20732,12012,192199,472998,215061,280607,253649,317915,522985,261155,15411,7150,56746,127901,141660,54625,7598,91656,16676,6693,110597,63403,25602,17144,170669,146982,24061,15026,36371,4212,28262,230722,9011,77393,762343,322364,281592,223400,406809,70209,109869
17563,183541,87432,130689,149672,101558,179257,111355,116006,183700,234323,241204,1695931,212129,124658,144386,100188,83225,75472,75726,106766,4035997,122017,186796,716183,195770,137226,355649,605613,60020,87727,366219,1814574,530807,321773,232953,170428,164515,86973,289139,651558,22364,11750,195727,485844,221156,281061,248739,320575,552318,263174,15062,8031,57046,131572,141158,54806,8486,93538,16974,6848,114094,65189,24910,17900,179401,151493,25187,15207,35579,4833,30335,237382,9018,79381,778985,332381,281268,220046,408763,68661,116585
17591,144949,71429,108714,123318,84421,147317,91016,97044,152887,192947,201188,1443811,176283,111675,121397,79521,73890,62094,61116,91819,3298846,108767,170378,574157,158065,111177,307498,515928,51652,69623,313811,1492207,457694,269539,205720,144030,140668,72228,231392,509477,17437,9190,159680,372946,182245,241971,225550,278465,463375,227149,13760,6587,49394,103772,124493,46447,6513,79304,15281,6482,100605,55858,24962,15813,147967,124397,20700,13669,28975,4812,24199,189035,8006,69017,673346,267255,249560,189774,354170,60194,97285
17622,127710,60498,100250,112192,71999,133529,79700,84295,137116,172019,169516,1246618,150018,91882,102178,75593,68325,51516,50986,71696,3079242,95639,147141,480047,143661,93776,275222,429628,43646,60347,270223,1329025,403241,241568,179892,126152,115609,74136,220351,532953,19746,9898,150575,369989,178178,225382,214172,273297,419481,215900,13733,5966,49071,96547,120076,41892,6232,72789,13475,6091,93123,50102,22659,15185,128208,113184,21932,13564,29105,3222,24228,190290,7814,65467,594325,242230,229151,183995,322577,58157,81553
17652,125811,60358,94969,106282,69040,124736,79339,79837,127832,168148,165291,1202828,158261,87272,95622,76744,63728,53356,52464,66355,2837388,87439,142232,448460,139902,92878,249333,395613,42310,58041,253596,1310627,382519,244128,166615,122221,117019,74229,207356,504579,19134,9803,143411,344021,151341,194676,173681,224724,357180,183784,10546,5829,40211,97581,98398,41962,6454,66718,12147,4857,86026,45868,22162,14152,121998,112873,21205,12759,28646,2872,23701,171673,7534,61783,555278,227156,208872,156581,306677,48887,82001
17683,141148,66029,111290,122614,77402,144655,87854,90649,145735,194851,187362,1263521,167088,91822,107749,86037,63528,60277,56419,70952,3166396,86290,160176,501401,156459,109161,267281,434067,45796,72830,291529,1452229,469054,281307,185997,141697,131269,78874,245165,587130,23360,12392,164324,395379,173866,215830,208149,267700,409050,203498,13755,7099,49143,113686,112892,46025,6386,72072,13535,5959,95474,52022,24570,14234,136285,118137,24951,13362,34896,4244,26269,200149,10288,67560,613301,251816,222431,172764,321503,52320,94890
17713,145859,69952,108916,123740,81011,149518,94364,91573,158877,197213,193300,1429051,190532,106581,117751,95940,76629,64149,62869,79483,3339648,97580,165576,568641,166891,114461,291482,493250,49156,73657,293011,1565194,484128,289596,196314,145619,133649,80205,242877,622107,22728,11857,166302,419210,184641,227591,221670,286204,436950,224223,13936,8008,50806,111376,122524,45945,7132,78994,12939,5915,99323,53875,26541,14584,146648,125378,24062,12699,36729,4087,26635,207926,9483,73256,661782,260916,236409,197235,358341,58163,103274
17744,155267,79224,121329,136845,90064,163406,101864,98914,169962,224069,218063,1591976,197358,117367,132681,103679,93360,70443,68109,90248,3818417,114157,177258,617111,175406,126922,314986,517198,51632,82266,338948,1730314,516182,305287,214109,156710,150446,77544,259816,635963,22659,10266,182857,443684,188171,242869,226922,308997,462493,227772,13824,6796,57278,125390,129805,45055,7431,84382,15748,6989,98547,57355,29280,15563,155996,126394,22981,12815,38862,4199,26566,213389,9826,70121,693874,299708,249315,224577,364787,70793,108665
17775,178082,94844,143001,154728,104111,191905,117337,113008,192245,255783,261195,1834262,241515,145950,155672,113705,108726,81468,79478,109152,4436828,138748,210830,757368,201688,143499,376787,595756,64269,96794,378123,2054222,597300,337740,257678,179430,172966,80715,279182,688245,24522,10977,206209,492719,227771,296797,276323,368606,553308,273198,17203,8035,63246,141209,155951,54473,8091,99078,19233,8837,111747,69787,35642,18223,188534,151801,23893,13591,36440,3198,27521,232635,9552,87436,886496,336306,300187,267028,445344,84677,126646
