Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Республика Адыгея, все устройства
декабрь 2017;3 771;0,050;
январь 2018;3 196;0,043;
февраль 2018;3 530;0,042;
март 2018;2 783;0,038;
апрель 2018;3 194;0,040;
май 2018;2 917;0,039;
июнь 2018;3 392;0,043;
июль 2018;2 861;0,037;
август 2018;3 068;0,037;
сентябрь 2018;3 571;0,037;
октябрь 2018;3 362;0,036;
ноябрь 2018;3 596;0,038;
декабрь 2018;4 195;0,043;
январь 2019;4 009;0,041;
февраль 2019;3 890;0,036;
март 2019;3 464;0,034;
апрель 2019;3 181;0,032;
май 2019;3 490;0,037;
июнь 2019;4 235;0,044;
июль 2019;3 971;0,041;
август 2019;3 751;0,038;
сентябрь 2019;4 190;0,038;
октябрь 2019;3 646;0,032;
ноябрь 2019;4 540;0,037;
декабрь 2019;5 333;0,041;
январь 2020;4 597;0,037;
февраль 2020;4 703;0,035;
март 2020;5 269;0,030;
апрель 2020;4 955;0,029;
май 2020;4 577;0,034;
июнь 2020;4 775;0,039;
июль 2020;4 037;0,034;
август 2020;4 369;0,034;
сентябрь 2020;4 415;0,030;
октябрь 2020;4 508;0,029;
ноябрь 2020;4 883;0,030;
декабрь 2020;5 737;0,037;
январь 2021;5 667;0,039;
февраль 2021;5 335;0,035;
март 2021;6 258;0,037;
апрель 2021;5 674;0,032;
май 2021;6 618;0,038;
июнь 2021;5 748;0,038;
июль 2021;5 863;0,038;
август 2021;6 667;0,038;
сентябрь 2021;7 007;0,036;
октябрь 2021;7 118;0,035;
ноябрь 2021;8 182;0,039;
декабрь 2021;8 973;0,041;
январь 2022;7 933;0,037;
февраль 2022;9 928;0,043;
март 2022;9 256;0,044;
апрель 2022;8 815;0,041;
май 2022;8 233;0,042;
июнь 2022;8 540;0,044;
июль 2022;7 662;0,039;
август 2022;8 580;0,040;
сентябрь 2022;8 439;0,037;
октябрь 2022;8 567;0,036;
ноябрь 2022;9 394;0,039;
декабрь 2022;10 551;0,044;
январь 2023;8 318;0,037;
февраль 2023;7 931;0,033;
март 2023;7 776;0,034;
апрель 2023;7 849;0,035;
май 2023;8 376;0,042;
июнь 2023;8 814;0,044;
июль 2023;9 167;0,046;
август 2023;9 759;0,047;
сентябрь 2023;9 123;0,041;
октябрь 2023;9 228;0,040;
ноябрь 2023;9 672;0,041;
декабрь 2023;11 175;0,046;
январь 2024;9 749;0,044;
февраль 2024;9 046;0,040;
март 2024;8 230;0,039;
апрель 2024;8 193;0,038;
май 2024;7 538;0,040;
июнь 2024;9 200;0,048;
июль 2024;9 447;0,049;
август 2024;8 709;0,043;
сентябрь 2024;8 900;0,041;
октябрь 2024;9 398;0,041;
ноябрь 2024;10 779;0,046;
декабрь 2024;12 760;0,054;
