Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Свердловская область, все устройства
декабрь 2017;124 846;0,047;
январь 2018;119 867;0,044;
февраль 2018;130 279;0,045;
март 2018;115 917;0,043;
апрель 2018;107 543;0,042;
май 2018;104 554;0,045;
июнь 2018;107 767;0,047;
июль 2018;104 270;0,045;
август 2018;110 072;0,041;
сентябрь 2018;144 225;0,043;
октябрь 2018;129 839;0,042;
ноябрь 2018;125 830;0,040;
декабрь 2018;151 327;0,046;
январь 2019;133 206;0,043;
февраль 2019;129 852;0,040;
март 2019;122 303;0,039;
апрель 2019;110 566;0,037;
май 2019;112 637;0,041;
июнь 2019;136 250;0,050;
июль 2019;132 853;0,049;
август 2019;135 686;0,046;
сентябрь 2019;145 986;0,045;
октябрь 2019;131 496;0,041;
ноябрь 2019;130 933;0,040;
декабрь 2019;154 121;0,046;
январь 2020;141 183;0,043;
февраль 2020;139 970;0,040;
март 2020;147 449;0,034;
апрель 2020;122 593;0,034;
май 2020;124 223;0,041;
июнь 2020;120 074;0,042;
июль 2020;121 722;0,041;
август 2020;132 818;0,036;
сентябрь 2020;141 779;0,035;
октябрь 2020;146 943;0,033;
ноябрь 2020;145 683;0,034;
декабрь 2020;158 409;0,042;
январь 2021;157 826;0,044;
февраль 2021;155 481;0,042;
март 2021;149 033;0,042;
апрель 2021;120 629;0,038;
май 2021;139 887;0,045;
июнь 2021;147 347;0,046;
июль 2021;148 016;0,046;
август 2021;152 387;0,045;
сентябрь 2021;148 904;0,041;
октябрь 2021;148 216;0,038;
ноябрь 2021;156 583;0,042;
декабрь 2021;171 926;0,048;
январь 2022;159 688;0,044;
февраль 2022;189 434;0,049;
март 2022;197 786;0,054;
апрель 2022;161 133;0,044;
май 2022;157 334;0,047;
июнь 2022;153 903;0,049;
июль 2022;157 748;0,048;
август 2022;164 522;0,045;
сентябрь 2022;158 264;0,041;
октябрь 2022;157 917;0,040;
ноябрь 2022;165 641;0,041;
декабрь 2022;182 332;0,047;
январь 2023;160 914;0,046;
февраль 2023;161 573;0,042;
март 2023;147 786;0,040;
апрель 2023;134 212;0,038;
май 2023;141 792;0,044;
июнь 2023;145 848;0,047;
июль 2023;152 248;0,048;
август 2023;164 661;0,049;
сентябрь 2023;170 782;0,045;
октябрь 2023;166 999;0,045;
ноябрь 2023;152 892;0,040;
декабрь 2023;176 394;0,047;
январь 2024;160 960;0,045;
февраль 2024;153 181;0,042;
март 2024;144 745;0,041;
апрель 2024;139 058;0,040;
май 2024;125 810;0,042;
июнь 2024;142 569;0,049;
июль 2024;141 971;0,048;
август 2024;151 831;0,048;
сентябрь 2024;170 896;0,046;
октябрь 2024;163 697;0,044;
ноябрь 2024;176 436;0,046;
декабрь 2024;197 862;0,053;
