Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Кемеровская область (Кузбасс), все устройства
декабрь 2017;60 751;0,058;
январь 2018;61 972;0,062;
февраль 2018;60 572;0,056;
март 2018;55 974;0,055;
апрель 2018;54 324;0,052;
май 2018;45 541;0,054;
июнь 2018;49 450;0,056;
июль 2018;51 684;0,058;
август 2018;54 082;0,053;
сентябрь 2018;65 511;0,056;
октябрь 2018;57 025;0,052;
ноябрь 2018;50 661;0,046;
декабрь 2018;65 757;0,059;
январь 2019;59 676;0,054;
февраль 2019;53 660;0,048;
март 2019;50 030;0,046;
апрель 2019;43 898;0,043;
май 2019;44 640;0,049;
июнь 2019;52 768;0,060;
июль 2019;50 902;0,057;
август 2019;52 869;0,054;
сентябрь 2019;59 016;0,053;
октябрь 2019;53 825;0,047;
ноябрь 2019;53 658;0,044;
декабрь 2019;70 594;0,057;
январь 2020;62 283;0,051;
февраль 2020;61 473;0,045;
март 2020;58 684;0,035;
апрель 2020;54 442;0,036;
май 2020;53 371;0,044;
июнь 2020;50 831;0,046;
июль 2020;51 143;0,047;
август 2020;51 958;0,041;
сентябрь 2020;57 627;0,038;
октябрь 2020;61 594;0,036;
ноябрь 2020;58 144;0,039;
декабрь 2020;70 315;0,049;
январь 2021;69 690;0,052;
февраль 2021;67 811;0,047;
март 2021;66 109;0,045;
апрель 2021;56 208;0,041;
май 2021;63 512;0,049;
июнь 2021;61 478;0,051;
июль 2021;65 468;0,053;
август 2021;69 390;0,051;
сентябрь 2021;67 577;0,044;
октябрь 2021;68 494;0,045;
ноябрь 2021;76 980;0,048;
декабрь 2021;81 705;0,051;
январь 2022;74 154;0,046;
февраль 2022;87 027;0,051;
март 2022;81 753;0,051;
апрель 2022;73 479;0,048;
май 2022;76 872;0,055;
июнь 2022;72 198;0,054;
июль 2022;71 986;0,053;
август 2022;74 837;0,049;
сентябрь 2022;73 773;0,044;
октябрь 2022;74 014;0,042;
ноябрь 2022;73 910;0,042;
декабрь 2022;82 033;0,048;
январь 2023;71 042;0,044;
февраль 2023;74 333;0,042;
март 2023;69 591;0,041;
апрель 2023;64 069;0,040;
май 2023;65 665;0,048;
июнь 2023;68 968;0,052;
июль 2023;72 284;0,054;
август 2023;75 677;0,052;
сентябрь 2023;77 004;0,047;
октябрь 2023;76 377;0,047;
ноябрь 2023;71 563;0,042;
декабрь 2023;84 363;0,051;
январь 2024;76 096;0,048;
февраль 2024;75 490;0,048;
март 2024;67 024;0,044;
апрель 2024;61 899;0,043;
май 2024;56 678;0,046;
июнь 2024;63 260;0,053;
июль 2024;61 437;0,051;
август 2024;64 999;0,049;
сентябрь 2024;76 058;0,049;
октябрь 2024;72 436;0,046;
ноябрь 2024;79 828;0,049;
декабрь 2024;102 116;0,064;
