Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Красноярский край, все устройства
декабрь 2017;54 970;0,043;
январь 2018;49 908;0,041;
февраль 2018;51 982;0,040;
март 2018;49 187;0,041;
апрель 2018;51 347;0,041;
май 2018;42 000;0,041;
июнь 2018;44 215;0,042;
июль 2018;45 577;0,042;
август 2018;50 290;0,040;
сентябрь 2018;58 321;0,040;
октябрь 2018;49 845;0,037;
ноябрь 2018;46 040;0,034;
декабрь 2018;54 823;0,041;
январь 2019;51 928;0,039;
февраль 2019;48 375;0,036;
март 2019;45 790;0,034;
апрель 2019;41 804;0,033;
май 2019;39 739;0,037;
июнь 2019;48 422;0,046;
июль 2019;50 587;0,046;
август 2019;54 508;0,045;
сентябрь 2019;64 718;0,046;
октябрь 2019;55 942;0,039;
ноябрь 2019;55 020;0,037;
декабрь 2019;68 580;0,046;
январь 2020;62 741;0,043;
февраль 2020;61 193;0,038;
март 2020;61 913;0,032;
апрель 2020;56 331;0,031;
май 2020;53 682;0,036;
июнь 2020;48 960;0,037;
июль 2020;49 934;0,038;
август 2020;55 623;0,036;
сентябрь 2020;63 507;0,033;
октябрь 2020;65 747;0,031;
ноябрь 2020;65 199;0,034;
декабрь 2020;73 599;0,043;
январь 2021;74 004;0,046;
февраль 2021;70 069;0,039;
март 2021;73 226;0,041;
апрель 2021;67 794;0,039;
май 2021;67 638;0,042;
июнь 2021;63 206;0,043;
июль 2021;66 169;0,044;
август 2021;78 404;0,046;
сентябрь 2021;78 921;0,041;
октябрь 2021;79 897;0,041;
ноябрь 2021;90 731;0,045;
декабрь 2021;102 716;0,051;
январь 2022;89 725;0,045;
февраль 2022;106 872;0,049;
март 2022;96 922;0,047;
апрель 2022;84 525;0,044;
май 2022;85 158;0,049;
июнь 2022;84 459;0,051;
июль 2022;82 274;0,046;
август 2022;84 704;0,045;
сентябрь 2022;83 797;0,041;
октябрь 2022;83 457;0,039;
ноябрь 2022;91 033;0,042;
декабрь 2022;97 282;0,046;
январь 2023;85 267;0,044;
февраль 2023;90 185;0,041;
март 2023;87 109;0,040;
апрель 2023;80 137;0,039;
май 2023;80 461;0,046;
июнь 2023;83 891;0,051;
июль 2023;84 603;0,049;
август 2023;92 689;0,049;
сентябрь 2023;98 500;0,047;
октябрь 2023;97 661;0,047;
ноябрь 2023;90 068;0,042;
декабрь 2023;104 889;0,051;
январь 2024;91 542;0,047;
февраль 2024;88 242;0,042;
март 2024;84 943;0,043;
апрель 2024;77 742;0,042;
май 2024;66 618;0,044;
июнь 2024;72 435;0,049;
июль 2024;70 845;0,048;
август 2024;79 303;0,048;
сентябрь 2024;92 489;0,048;
октябрь 2024;91 008;0,047;
ноябрь 2024;99 661;0,049;
декабрь 2024;112 071;0,057;
