Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Смоленская область, все устройства
декабрь 2017;15 972;0,042;
январь 2018;13 902;0,037;
февраль 2018;14 237;0,035;
март 2018;12 239;0,033;
апрель 2018;11 573;0,032;
май 2018;12 028;0,034;
июнь 2018;12 275;0,035;
июль 2018;11 059;0,032;
август 2018;11 815;0,030;
сентябрь 2018;14 933;0,033;
октябрь 2018;12 807;0,032;
ноябрь 2018;12 446;0,031;
декабрь 2018;15 407;0,036;
январь 2019;14 216;0,036;
февраль 2019;13 360;0,031;
март 2019;11 750;0,030;
апрель 2019;10 201;0,027;
май 2019;10 715;0,031;
июнь 2019;12 918;0,036;
июль 2019;12 299;0,035;
август 2019;13 266;0,037;
сентябрь 2019;14 961;0,036;
октябрь 2019;12 832;0,031;
ноябрь 2019;14 225;0,033;
декабрь 2019;17 302;0,039;
январь 2020;14 828;0,035;
февраль 2020;14 522;0,031;
март 2020;17 351;0,028;
апрель 2020;15 089;0,027;
май 2020;13 868;0,031;
июнь 2020;14 202;0,034;
июль 2020;13 064;0,032;
август 2020;13 338;0,031;
сентябрь 2020;15 219;0,030;
октябрь 2020;15 114;0,029;
ноябрь 2020;15 837;0,032;
декабрь 2020;17 520;0,036;
январь 2021;18 165;0,038;
февраль 2021;17 929;0,034;
март 2021;19 313;0,035;
апрель 2021;17 062;0,030;
май 2021;18 828;0,036;
июнь 2021;17 464;0,037;
июль 2021;18 188;0,037;
август 2021;21 200;0,039;
сентябрь 2021;21 912;0,037;
октябрь 2021;22 123;0,036;
ноябрь 2021;25 765;0,040;
декабрь 2021;28 667;0,045;
январь 2022;24 481;0,039;
февраль 2022;28 873;0,042;
март 2022;27 887;0,042;
апрель 2022;24 693;0,039;
май 2022;23 310;0,040;
июнь 2022;23 365;0,041;
июль 2022;21 925;0,039;
август 2022;24 720;0,040;
сентябрь 2022;25 207;0,038;
октябрь 2022;25 195;0,038;
ноябрь 2022;28 443;0,043;
декабрь 2022;31 298;0,046;
январь 2023;26 068;0,042;
февраль 2023;24 909;0,037;
март 2023;22 760;0,037;
апрель 2023;21 666;0,035;
май 2023;24 086;0,043;
июнь 2023;24 486;0,044;
июль 2023;23 061;0,042;
август 2023;25 310;0,045;
сентябрь 2023;27 137;0,043;
октябрь 2023;26 244;0,042;
ноябрь 2023;25 759;0,041;
декабрь 2023;29 932;0,047;
январь 2024;27 018;0,045;
февраль 2024;23 115;0,038;
март 2024;21 734;0,037;
апрель 2024;20 264;0,036;
май 2024;19 262;0,039;
июнь 2024;22 243;0,045;
июль 2024;20 504;0,042;
август 2024;22 704;0,044;
сентябрь 2024;27 578;0,047;
октябрь 2024;25 815;0,043;
ноябрь 2024;29 403;0,047;
декабрь 2024;35 445;0,057;
