Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Курганская область, все устройства
декабрь 2017;19 690;0,067;
январь 2018;15 926;0,058;
февраль 2018;16 481;0,054;
март 2018;15 526;0,054;
апрель 2018;15 527;0,055;
май 2018;13 852;0,054;
июнь 2018;14 296;0,058;
июль 2018;14 988;0,058;
август 2018;14 877;0,052;
сентябрь 2018;17 702;0,054;
октябрь 2018;15 047;0,049;
ноябрь 2018;14 018;0,045;
декабрь 2018;17 693;0,055;
январь 2019;16 110;0,052;
февраль 2019;15 103;0,047;
март 2019;14 500;0,048;
апрель 2019;11 250;0,040;
май 2019;12 054;0,046;
июнь 2019;14 625;0,058;
июль 2019;14 087;0,055;
август 2019;14 235;0,053;
сентябрь 2019;16 847;0,054;
октябрь 2019;14 586;0,046;
ноябрь 2019;14 723;0,044;
декабрь 2019;18 842;0,054;
январь 2020;15 973;0,047;
февраль 2020;16 622;0,045;
март 2020;16 454;0,035;
апрель 2020;14 447;0,036;
май 2020;14 572;0,044;
июнь 2020;13 724;0,045;
июль 2020;13 291;0,044;
август 2020;13 794;0,041;
сентябрь 2020;15 191;0,039;
октябрь 2020;17 277;0,034;
ноябрь 2020;17 081;0,039;
декабрь 2020;18 390;0,046;
январь 2021;19 027;0,052;
февраль 2021;17 239;0,045;
март 2021;17 658;0,045;
апрель 2021;15 513;0,040;
май 2021;19 889;0,053;
июнь 2021;18 276;0,052;
июль 2021;20 798;0,051;
август 2021;21 833;0,053;
сентябрь 2021;20 691;0,047;
октябрь 2021;22 096;0,044;
ноябрь 2021;24 654;0,052;
декабрь 2021;24 445;0,053;
январь 2022;22 972;0,046;
февраль 2022;26 479;0,053;
март 2022;23 681;0,052;
апрель 2022;21 359;0,047;
май 2022;22 279;0,054;
июнь 2022;21 598;0,054;
июль 2022;20 177;0,051;
август 2022;20 521;0,048;
сентябрь 2022;19 584;0,042;
октябрь 2022;20 116;0,041;
ноябрь 2022;22 357;0,045;
декабрь 2022;24 635;0,050;
январь 2023;20 945;0,046;
февраль 2023;21 480;0,044;
март 2023;18 443;0,040;
апрель 2023;17 188;0,040;
май 2023;19 949;0,049;
июнь 2023;21 038;0,054;
июль 2023;20 783;0,053;
август 2023;22 019;0,053;
сентябрь 2023;21 922;0,047;
октябрь 2023;23 203;0,050;
ноябрь 2023;22 604;0,046;
декабрь 2023;24 260;0,051;
январь 2024;20 665;0,046;
февраль 2024;19 217;0,042;
март 2024;16 892;0,038;
апрель 2024;17 154;0,041;
май 2024;17 290;0,049;
июнь 2024;20 021;0,057;
июль 2024;18 548;0,053;
август 2024;18 643;0,051;
сентябрь 2024;21 696;0,051;
октябрь 2024;20 938;0,048;
ноябрь 2024;23 384;0,052;
декабрь 2024;26 808;0,060;
