Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Республика Северная Осетия — Алания, все устройства
декабрь 2017;11 349;0,061;
январь 2018;7 704;0,043;
февраль 2018;7 977;0,042;
март 2018;6 192;0,038;
апрель 2018;6 623;0,039;
май 2018;6 471;0,040;
июнь 2018;6 145;0,038;
июль 2018;5 652;0,035;
август 2018;6 077;0,035;
сентябрь 2018;6 253;0,032;
октябрь 2018;5 621;0,030;
ноябрь 2018;6 464;0,034;
декабрь 2018;9 000;0,044;
январь 2019;7 176;0,038;
февраль 2019;6 461;0,032;
март 2019;5 883;0,031;
апрель 2019;5 724;0,031;
май 2019;5 542;0,033;
июнь 2019;7 117;0,043;
июль 2019;7 199;0,044;
август 2019;6 877;0,040;
сентябрь 2019;7 638;0,040;
октябрь 2019;6 130;0,031;
ноябрь 2019;8 131;0,038;
декабрь 2019;10 415;0,047;
январь 2020;8 555;0,040;
февраль 2020;7 335;0,033;
март 2020;8 140;0,029;
апрель 2020;7 604;0,030;
май 2020;6 935;0,033;
июнь 2020;7 160;0,037;
июль 2020;6 979;0,036;
август 2020;6 636;0,033;
сентябрь 2020;6 947;0,029;
октябрь 2020;7 311;0,029;
ноябрь 2020;7 631;0,031;
декабрь 2020;9 079;0,038;
январь 2021;8 779;0,039;
февраль 2021;8 096;0,034;
март 2021;8 537;0,035;
апрель 2021;8 339;0,034;
май 2021;9 821;0,041;
июнь 2021;8 514;0,038;
июль 2021;8 606;0,039;
август 2021;9 760;0,040;
сентябрь 2021;10 066;0,036;
октябрь 2021;10 149;0,035;
ноябрь 2021;13 201;0,045;
декабрь 2021;13 281;0,044;
январь 2022;11 915;0,041;
февраль 2022;12 702;0,040;
март 2022;11 306;0,039;
апрель 2022;12 185;0,041;
май 2022;11 277;0,042;
июнь 2022;10 556;0,040;
июль 2022;10 507;0,039;
август 2022;10 811;0,038;
сентябрь 2022;11 588;0,037;
октябрь 2022;11 539;0,035;
ноябрь 2022;14 350;0,043;
декабрь 2022;13 660;0,042;
январь 2023;11 306;0,037;
февраль 2023;11 273;0,035;
март 2023;10 090;0,033;
апрель 2023;10 279;0,034;
май 2023;10 970;0,041;
июнь 2023;11 291;0,043;
июль 2023;11 778;0,045;
август 2023;12 772;0,046;
сентябрь 2023;13 489;0,044;
октябрь 2023;13 011;0,041;
ноябрь 2023;14 588;0,045;
декабрь 2023;15 563;0,047;
январь 2024;13 394;0,045;
февраль 2024;11 790;0,038;
март 2024;10 982;0,040;
апрель 2024;10 626;0,038;
май 2024;10 263;0,041;
июнь 2024;10 813;0,043;
июль 2024;10 612;0,043;
август 2024;11 541;0,046;
сентябрь 2024;12 835;0,045;
октябрь 2024;12 164;0,042;
ноябрь 2024;15 335;0,049;
декабрь 2024;17 529;0,057;
