Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Новгородская область, все устройства
декабрь 2017;10 913;0,047;
январь 2018;9 310;0,040;
февраль 2018;10 179;0,039;
март 2018;9 128;0,039;
апрель 2018;7 692;0,034;
май 2018;7 935;0,037;
июнь 2018;8 110;0,037;
июль 2018;7 622;0,034;
август 2018;7 851;0,032;
сентябрь 2018;9 377;0,033;
октябрь 2018;8 107;0,032;
ноябрь 2018;8 290;0,033;
декабрь 2018;10 146;0,039;
январь 2019;9 850;0,038;
февраль 2019;9 357;0,034;
март 2019;8 170;0,033;
апрель 2019;6 946;0,029;
май 2019;7 608;0,035;
июнь 2019;8 536;0,037;
июль 2019;8 150;0,037;
август 2019;9 004;0,038;
сентябрь 2019;10 159;0,037;
октябрь 2019;8 728;0,032;
ноябрь 2019;9 451;0,033;
декабрь 2019;11 262;0,039;
январь 2020;10 018;0,035;
февраль 2020;10 234;0,033;
март 2020;11 274;0,029;
апрель 2020;9 803;0,029;
май 2020;9 360;0,034;
июнь 2020;9 368;0,034;
июль 2020;8 581;0,032;
август 2020;9 150;0,031;
сентябрь 2020;10 590;0,030;
октябрь 2020;10 015;0,028;
ноябрь 2020;10 222;0,031;
декабрь 2020;11 176;0,035;
январь 2021;11 975;0,040;
февраль 2021;11 482;0,035;
март 2021;12 825;0,037;
апрель 2021;12 415;0,034;
май 2021;12 010;0,036;
июнь 2021;10 468;0,036;
июль 2021;10 653;0,035;
август 2021;13 332;0,037;
сентябрь 2021;13 609;0,035;
октябрь 2021;14 043;0,035;
ноябрь 2021;15 596;0,038;
декабрь 2021;17 380;0,042;
январь 2022;15 469;0,039;
февраль 2022;17 520;0,040;
март 2022;16 349;0,039;
апрель 2022;15 530;0,038;
май 2022;14 749;0,040;
июнь 2022;15 687;0,042;
июль 2022;14 539;0,039;
август 2022;15 598;0,038;
сентябрь 2022;14 639;0,034;
октябрь 2022;15 072;0,035;
ноябрь 2022;16 470;0,038;
декабрь 2022;20 157;0,047;
январь 2023;16 461;0,042;
февраль 2023;16 166;0,037;
март 2023;14 630;0,036;
апрель 2023;13 642;0,034;
май 2023;14 699;0,040;
июнь 2023;15 273;0,042;
июль 2023;15 501;0,042;
август 2023;16 879;0,045;
сентябрь 2023;17 356;0,041;
октябрь 2023;17 275;0,041;
ноябрь 2023;17 401;0,042;
декабрь 2023;18 025;0,043;
январь 2024;16 644;0,042;
февраль 2024;14 689;0,036;
март 2024;14 937;0,038;
апрель 2024;13 522;0,036;
май 2024;13 275;0,040;
июнь 2024;14 825;0,043;
июль 2024;13 837;0,042;
август 2024;15 683;0,045;
сентябрь 2024;17 122;0,044;
октябрь 2024;16 668;0,040;
ноябрь 2024;18 497;0,044;
декабрь 2024;21 729;0,052;
