Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Оренбургская область, все устройства
декабрь 2017;34 212;0,048;
январь 2018;26 799;0,038;
февраль 2018;28 779;0,038;
март 2018;24 446;0,036;
апрель 2018;24 269;0,037;
май 2018;22 389;0,038;
июнь 2018;22 659;0,039;
июль 2018;21 901;0,037;
август 2018;22 972;0,033;
сентябрь 2018;26 968;0,034;
октябрь 2018;25 060;0,034;
ноябрь 2018;24 022;0,033;
декабрь 2018;29 077;0,039;
январь 2019;27 477;0,038;
февраль 2019;26 190;0,034;
март 2019;23 381;0,033;
апрель 2019;20 556;0,031;
май 2019;22 659;0,038;
июнь 2019;26 553;0,045;
июль 2019;25 149;0,041;
август 2019;26 814;0,040;
сентябрь 2019;28 634;0,038;
октябрь 2019;25 593;0,033;
ноябрь 2019;28 853;0,035;
декабрь 2019;35 351;0,042;
январь 2020;30 177;0,036;
февраль 2020;30 065;0,034;
март 2020;34 240;0,028;
апрель 2020;30 172;0,028;
май 2020;29 592;0,035;
июнь 2020;28 674;0,037;
июль 2020;27 721;0,035;
август 2020;28 954;0,032;
сентябрь 2020;31 332;0,029;
октябрь 2020;35 034;0,028;
ноябрь 2020;35 329;0,032;
декабрь 2020;38 379;0,038;
январь 2021;37 780;0,038;
февраль 2021;36 463;0,035;
март 2021;37 555;0,036;
апрель 2021;33 391;0,034;
май 2021;39 637;0,042;
июнь 2021;35 124;0,040;
июль 2021;36 601;0,041;
август 2021;45 190;0,043;
сентябрь 2021;45 806;0,037;
октябрь 2021;44 059;0,037;
ноябрь 2021;49 548;0,040;
декабрь 2021;53 940;0,045;
январь 2022;47 187;0,039;
февраль 2022;57 988;0,044;
март 2022;49 962;0,041;
апрель 2022;48 448;0,040;
май 2022;46 442;0,044;
июнь 2022;48 716;0,048;
июль 2022;43 557;0,043;
август 2022;45 753;0,039;
сентябрь 2022;45 875;0,036;
октябрь 2022;48 224;0,038;
ноябрь 2022;54 338;0,041;
декабрь 2022;56 345;0,043;
январь 2023;47 988;0,040;
февраль 2023;47 273;0,036;
март 2023;42 229;0,035;
апрель 2023;41 936;0,036;
май 2023;45 116;0,044;
июнь 2023;51 047;0,051;
июль 2023;48 464;0,049;
август 2023;55 298;0,049;
сентябрь 2023;55 208;0,044;
октябрь 2023;56 649;0,045;
ноябрь 2023;52 407;0,041;
декабрь 2023;59 464;0,047;
январь 2024;50 827;0,043;
февраль 2024;49 139;0,041;
март 2024;40 625;0,037;
апрель 2024;41 840;0,038;
май 2024;39 061;0,042;
июнь 2024;45 860;0,050;
июль 2024;43 006;0,047;
август 2024;44 613;0,045;
сентябрь 2024;52 190;0,046;
октябрь 2024;51 808;0,044;
ноябрь 2024;57 425;0,047;
декабрь 2024;65 759;0,054;
