Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Краснодарский край, все устройства
декабрь 2017;93 949;0,038;
январь 2018;84 343;0,034;
февраль 2018;89 791;0,035;
март 2018;72 353;0,033;
апрель 2018;77 184;0,033;
май 2018;80 856;0,035;
июнь 2018;90 231;0,035;
июль 2018;81 557;0,032;
август 2018;76 965;0,030;
сентябрь 2018;85 752;0,030;
октябрь 2018;78 028;0,030;
ноябрь 2018;84 685;0,032;
декабрь 2018;97 445;0,036;
январь 2019;89 979;0,034;
февраль 2019;86 164;0,031;
март 2019;79 518;0,030;
апрель 2019;73 203;0,028;
май 2019;78 508;0,031;
июнь 2019;97 419;0,035;
июль 2019;97 025;0,035;
август 2019;92 165;0,033;
сентябрь 2019;96 935;0,034;
октябрь 2019;86 533;0,030;
ноябрь 2019;95 068;0,031;
декабрь 2019;116 533;0,037;
январь 2020;100 452;0,033;
февраль 2020;99 007;0,031;
март 2020;113 618;0,029;
апрель 2020;101 745;0,028;
май 2020;96 084;0,031;
июнь 2020;102 789;0,032;
июль 2020;103 341;0,031;
август 2020;101 473;0,030;
сентябрь 2020;103 769;0,028;
октябрь 2020;103 614;0,027;
ноябрь 2020;107 445;0,030;
декабрь 2020;122 407;0,034;
январь 2021;123 325;0,036;
февраль 2021;120 237;0,032;
март 2021;119 181;0,033;
апрель 2021;98 854;0,030;
май 2021;123 122;0,034;
июнь 2021;130 630;0,033;
июль 2021;137 496;0,033;
август 2021;123 267;0,034;
сентябрь 2021;115 929;0,032;
октябрь 2021;116 328;0,032;
ноябрь 2021;130 498;0,035;
декабрь 2021;139 533;0,037;
январь 2022;125 449;0,034;
февраль 2022;150 050;0,037;
март 2022;137 119;0,036;
апрель 2022;135 906;0,035;
май 2022;136 396;0,036;
июнь 2022;144 271;0,036;
июль 2022;137 936;0,033;
август 2022;141 074;0,034;
сентябрь 2022;132 045;0,032;
октябрь 2022;134 626;0,032;
ноябрь 2022;142 936;0,034;
декабрь 2022;156 491;0,038;
январь 2023;138 176;0,035;
февраль 2023;135 469;0,032;
март 2023;128 103;0,032;
апрель 2023;124 528;0,032;
май 2023;138 106;0,036;
июнь 2023;156 357;0,038;
июль 2023;161 514;0,039;
август 2023;154 328;0,039;
сентябрь 2023;149 058;0,037;
октябрь 2023;145 843;0,036;
ноябрь 2023;146 494;0,036;
декабрь 2023;161 381;0,039;
январь 2024;148 500;0,039;
февраль 2024;138 107;0,035;
март 2024;131 497;0,036;
апрель 2024;127 447;0,035;
май 2024;123 981;0,036;
июнь 2024;147 937;0,039;
июль 2024;147 312;0,038;
август 2024;143 413;0,038;
сентябрь 2024;151 094;0,038;
октябрь 2024;151 894;0,037;
ноябрь 2024;168 031;0,040;
декабрь 2024;192 269;0,046;
