Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Пермский край, все устройства
декабрь 2017;76 522;0,069;
январь 2018;71 189;0,064;
февраль 2018;74 223;0,062;
март 2018;67 677;0,061;
апрель 2018;62 804;0,058;
май 2018;56 292;0,058;
июнь 2018;57 499;0,063;
июль 2018;57 946;0,060;
август 2018;66 793;0,061;
сентябрь 2018;81 774;0,062;
октябрь 2018;67 242;0,058;
ноябрь 2018;58 866;0,051;
декабрь 2018;74 214;0,064;
январь 2019;69 785;0,060;
февраль 2019;63 389;0,054;
март 2019;57 646;0,050;
апрель 2019;45 036;0,043;
май 2019;47 991;0,050;
июнь 2019;57 739;0,061;
июль 2019;55 204;0,056;
август 2019;57 484;0,056;
сентябрь 2019;66 987;0,056;
октябрь 2019;59 661;0,050;
ноябрь 2019;56 419;0,046;
декабрь 2019;71 416;0,058;
январь 2020;64 700;0,054;
февраль 2020;60 751;0,047;
март 2020;64 737;0,037;
апрель 2020;55 932;0,040;
май 2020;55 193;0,045;
июнь 2020;48 831;0,045;
июль 2020;48 994;0,044;
август 2020;49 051;0,040;
сентябрь 2020;54 057;0,038;
октябрь 2020;58 143;0,037;
ноябрь 2020;58 209;0,038;
декабрь 2020;65 211;0,048;
январь 2021;66 839;0,049;
февраль 2021;65 934;0,045;
март 2021;69 000;0,045;
апрель 2021;58 579;0,040;
май 2021;66 359;0,048;
июнь 2021;60 914;0,048;
июль 2021;57 553;0,046;
август 2021;69 712;0,046;
сентябрь 2021;73 290;0,044;
октябрь 2021;71 906;0,042;
ноябрь 2021;77 263;0,044;
декабрь 2021;81 885;0,048;
январь 2022;78 454;0,045;
февраль 2022;91 773;0,049;
март 2022;90 709;0,051;
апрель 2022;76 010;0,044;
май 2022;73 882;0,047;
июнь 2022;71 488;0,050;
июль 2022;71 680;0,049;
август 2022;76 106;0,046;
сентябрь 2022;71 368;0,039;
октябрь 2022;71 454;0,039;
ноябрь 2022;74 369;0,040;
декабрь 2022;83 568;0,046;
январь 2023;77 186;0,046;
февраль 2023;76 939;0,041;
март 2023;70 835;0,041;
апрель 2023;63 317;0,038;
май 2023;68 707;0,045;
июнь 2023;70 176;0,049;
июль 2023;71 235;0,050;
август 2023;75 092;0,048;
сентябрь 2023;78 276;0,044;
октябрь 2023;76 958;0,044;
ноябрь 2023;73 498;0,041;
декабрь 2023;84 569;0,048;
январь 2024;77 815;0,047;
февраль 2024;73 872;0,044;
март 2024;70 115;0,043;
апрель 2024;67 406;0,042;
май 2024;58 800;0,044;
июнь 2024;68 706;0,052;
июль 2024;63 821;0,048;
август 2024;68 751;0,048;
сентябрь 2024;79 871;0,048;
октябрь 2024;78 224;0,046;
ноябрь 2024;86 002;0,049;
декабрь 2024;96 172;0,056;
