Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Приморский край, все устройства
декабрь 2017;24 006;0,043;
январь 2018;21 164;0,039;
февраль 2018;22 657;0,039;
март 2018;20 427;0,038;
апрель 2018;21 440;0,039;
май 2018;20 164;0,039;
июнь 2018;20 309;0,036;
июль 2018;17 849;0,033;
август 2018;18 613;0,032;
сентябрь 2018;21 417;0,033;
октябрь 2018;20 506;0,033;
ноябрь 2018;24 086;0,035;
декабрь 2018;31 192;0,038;
январь 2019;29 051;0,038;
февраль 2019;27 785;0,034;
март 2019;26 586;0,034;
апрель 2019;25 854;0,031;
май 2019;25 562;0,034;
июнь 2019;29 518;0,040;
июль 2019;28 810;0,038;
август 2019;27 802;0,040;
сентябрь 2019;27 913;0,038;
октябрь 2019;24 048;0,033;
ноябрь 2019;27 114;0,036;
декабрь 2019;29 784;0,038;
январь 2020;25 885;0,034;
февраль 2020;27 923;0,034;
март 2020;29 907;0,030;
апрель 2020;26 795;0,030;
май 2020;25 599;0,033;
июнь 2020;25 258;0,035;
июль 2020;25 266;0,034;
август 2020;26 220;0,032;
сентябрь 2020;26 992;0,030;
октябрь 2020;25 413;0,029;
ноябрь 2020;28 314;0,032;
декабрь 2020;31 167;0,037;
январь 2021;30 907;0,039;
февраль 2021;29 795;0,035;
март 2021;31 557;0,037;
апрель 2021;27 760;0,033;
май 2021;31 031;0,037;
июнь 2021;28 845;0,036;
июль 2021;29 852;0,036;
август 2021;32 518;0,039;
сентябрь 2021;31 447;0,035;
октябрь 2021;31 571;0,034;
ноябрь 2021;36 723;0,039;
декабрь 2021;39 304;0,042;
январь 2022;34 084;0,037;
февраль 2022;42 067;0,041;
март 2022;39 904;0,041;
апрель 2022;38 340;0,039;
май 2022;37 681;0,041;
июнь 2022;36 050;0,040;
июль 2022;33 774;0,038;
август 2022;37 798;0,039;
сентябрь 2022;38 304;0,037;
октябрь 2022;40 427;0,036;
ноябрь 2022;41 290;0,038;
декабрь 2022;43 788;0,041;
январь 2023;38 315;0,039;
февраль 2023;39 456;0,037;
март 2023;38 092;0,037;
апрель 2023;34 732;0,036;
май 2023;36 987;0,042;
июнь 2023;37 802;0,043;
июль 2023;36 681;0,041;
август 2023;41 306;0,045;
сентябрь 2023;42 973;0,043;
октябрь 2023;42 732;0,043;
ноябрь 2023;40 271;0,040;
декабрь 2023;44 890;0,044;
январь 2024;40 071;0,042;
февраль 2024;36 232;0,037;
март 2024;35 380;0,038;
апрель 2024;34 869;0,038;
май 2024;32 314;0,039;
июнь 2024;34 474;0,042;
июль 2024;31 851;0,039;
август 2024;35 842;0,042;
сентябрь 2024;41 587;0,043;
октябрь 2024;41 189;0,041;
ноябрь 2024;48 339;0,047;
декабрь 2024;51 867;0,052;
