Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «зарплата», по месяцам, 31.12.2017 — 30.01.2025, Амурская область, все устройства
декабрь 2017;10 393;0,053;
январь 2018;8 889;0,045;
февраль 2018;8 655;0,042;
март 2018;7 655;0,041;
апрель 2018;7 322;0,039;
май 2018;7 381;0,041;
июнь 2018;7 188;0,040;
июль 2018;6 527;0,037;
август 2018;6 674;0,033;
сентябрь 2018;9 662;0,041;
октябрь 2018;9 214;0,041;
ноябрь 2018;8 845;0,040;
декабрь 2018;9 596;0,043;
январь 2019;9 375;0,043;
февраль 2019;8 275;0,036;
март 2019;7 271;0,033;
апрель 2019;6 098;0,031;
май 2019;6 043;0,036;
июнь 2019;7 204;0,041;
июль 2019;7 017;0,040;
август 2019;7 694;0,039;
сентябрь 2019;9 064;0,038;
октябрь 2019;8 032;0,033;
ноябрь 2019;9 465;0,036;
декабрь 2019;11 247;0,041;
январь 2020;9 413;0,036;
февраль 2020;10 118;0,034;
март 2020;9 984;0,028;
апрель 2020;9 851;0,029;
май 2020;9 167;0,034;
июнь 2020;9 202;0,038;
июль 2020;9 063;0,037;
август 2020;9 415;0,033;
сентябрь 2020;10 841;0,031;
октябрь 2020;11 211;0,030;
ноябрь 2020;11 631;0,033;
декабрь 2020;13 657;0,040;
январь 2021;13 156;0,041;
февраль 2021;11 814;0,035;
март 2021;12 082;0,036;
апрель 2021;11 324;0,035;
май 2021;12 678;0,042;
июнь 2021;12 346;0,042;
июль 2021;11 671;0,040;
август 2021;13 431;0,042;
сентябрь 2021;13 647;0,039;
октябрь 2021;13 795;0,038;
ноябрь 2021;15 543;0,041;
декабрь 2021;16 469;0,045;
январь 2022;14 438;0,040;
февраль 2022;16 484;0,042;
март 2022;16 824;0,044;
апрель 2022;15 274;0,041;
май 2022;15 251;0,047;
июнь 2022;14 911;0,047;
июль 2022;14 108;0,045;
август 2022;15 611;0,044;
сентябрь 2022;16 022;0,041;
октябрь 2022;16 199;0,039;
ноябрь 2022;17 457;0,043;
декабрь 2022;17 980;0,044;
январь 2023;15 382;0,041;
февраль 2023;15 678;0,038;
март 2023;14 625;0,037;
апрель 2023;13 680;0,036;
май 2023;14 874;0,045;
июнь 2023;15 801;0,050;
июль 2023;15 181;0,048;
август 2023;17 760;0,052;
сентябрь 2023;18 502;0,049;
октябрь 2023;17 434;0,046;
ноябрь 2023;16 417;0,042;
декабрь 2023;19 175;0,050;
январь 2024;16 376;0,045;
февраль 2024;14 677;0,039;
март 2024;14 117;0,040;
апрель 2024;13 550;0,041;
май 2024;12 484;0,043;
июнь 2024;14 337;0,050;
июль 2024;13 536;0,049;
август 2024;14 663;0,048;
сентябрь 2024;17 197;0,048;
октябрь 2024;16 309;0,045;
ноябрь 2024;19 044;0,049;
декабрь 2024;21 027;0,056;
