"Term","Estimate"
"ar1",-0.998417994316606
"ar2",-0.543660509104233
"lag_log_vakansii",1.01390069139381
"log_Consumer_confidence_survey_RUS",0.239972848858934
"lag3_Debt_service_ratios_for_private_non_financial_sector_RUS",-0.0745504490457573
"Investment_as_percent_of_GDP_RUS",-0.0400590551317714
"lag4_Investment_as_percent_of_GDP_KGZ",0.0282135568273323
"lag4_log_GDP_billion_currency_units_KGZ",0.924250225506049
"lag1_Debt_service_ratios_for_private_non_financial_sector_RUS",-0.0733081816062506
"log_jumush",-0.0910567699192936
"log_jumush_izdeim",-0.117362574844025
