Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Республика Мордовия, все устройства
декабрь 2017;85 796;0,28;
январь 2018;85 193;0,29;
февраль 2018;87 727;0,28;
март 2018;69 623;0,24;
апрель 2018;60 347;0,23;
май 2018;58 041;0,24;
июнь 2018;72 830;0,30;
июль 2018;73 657;0,31;
август 2018;82 266;0,29;
сентябрь 2018;96 794;0,29;
октябрь 2018;84 510;0,28;
ноябрь 2018;67 734;0,22;
декабрь 2018;87 114;0,28;
январь 2019;85 834;0,29;
февраль 2019;83 778;0,27;
март 2019;70 601;0,25;
апрель 2019;61 636;0,23;
май 2019;62 534;0,26;
июнь 2019;69 427;0,29;
июль 2019;68 566;0,29;
август 2019;73 136;0,27;
сентябрь 2019;87 559;0,28;
октябрь 2019;81 313;0,25;
ноябрь 2019;72 230;0,21;
декабрь 2019;99 496;0,28;
январь 2020;95 661;0,27;
февраль 2020;83 955;0,23;
март 2020;57 928;0,11;
апрель 2020;69 461;0,16;
май 2020;75 474;0,21;
июнь 2020;74 715;0,24;
июль 2020;74 316;0,24;
август 2020;73 569;0,20;
сентябрь 2020;82 580;0,20;
октябрь 2020;83 679;0,19;
ноябрь 2020;71 061;0,16;
декабрь 2020;101 271;0,25;
январь 2021;103 732;0,26;
февраль 2021;108 895;0,26;
март 2021;101 134;0,24;
апрель 2021;84 732;0,20;
май 2021;90 327;0,24;
июнь 2021;87 946;0,26;
июль 2021;88 328;0,25;
август 2021;92 445;0,22;
сентябрь 2021;87 961;0,19;
октябрь 2021;95 363;0,20;
ноябрь 2021;83 117;0,17;
декабрь 2021;109 595;0,23;
январь 2022;99 695;0,21;
февраль 2022;109 175;0,21;
март 2022;101 242;0,21;
апрель 2022;93 341;0,19;
май 2022;89 412;0,22;
июнь 2022;91 073;0,23;
июль 2022;88 978;0,23;
август 2022;84 387;0,18;
сентябрь 2022;83 051;0,16;
октябрь 2022;83 654;0,16;
ноябрь 2022;67 887;0,13;
декабрь 2022;84 913;0,16;
январь 2023;75 693;0,16;
февраль 2023;82 745;0,16;
март 2023;65 726;0,14;
апрель 2023;61 963;0,13;
май 2023;64 554;0,16;
июнь 2023;70 299;0,18;
июль 2023;74 717;0,20;
август 2023;68 394;0,16;
сентябрь 2023;77 669;0,16;
октябрь 2023;73 116;0,15;
ноябрь 2023;57 508;0,11;
декабрь 2023;75 197;0,16;
январь 2024;68 760;0,15;
февраль 2024;67 844;0,15;
март 2024;59 002;0,14;
апрель 2024;56 300;0,13;
май 2024;56 149;0,16;
июнь 2024;69 509;0,20;
июль 2024;66 646;0,19;
август 2024;65 026;0,17;
сентябрь 2024;70 702;0,16;
октябрь 2024;71 340;0,15;
ноябрь 2024;60 445;0,12;
декабрь 2024;80 742;0,17;
