Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Иркутская область, все устройства
декабрь 2017;290 676;0,30;
январь 2018;280 607;0,29;
февраль 2018;281 061;0,28;
март 2018;241 971;0,26;
апрель 2018;225 382;0,24;
май 2018;194 676;0,24;
июнь 2018;215 830;0,26;
июль 2018;227 591;0,27;
август 2018;242 869;0,25;
сентябрь 2018;296 797;0,26;
октябрь 2018;272 362;0,26;
ноябрь 2018;210 658;0,20;
декабрь 2018;295 571;0,28;
январь 2019;291 096;0,28;
февраль 2019;287 184;0,26;
март 2019;264 264;0,25;
апрель 2019;220 788;0,22;
май 2019;217 589;0,25;
июнь 2019;225 642;0,27;
июль 2019;230 720;0,27;
август 2019;244 864;0,25;
сентябрь 2019;289 399;0,26;
октябрь 2019;279 601;0,25;
ноябрь 2019;239 795;0,20;
декабрь 2019;333 028;0,28;
январь 2020;313 088;0,27;
февраль 2020;294 405;0,23;
март 2020;214 958;0,13;
апрель 2020;246 253;0,17;
май 2020;257 251;0,22;
июнь 2020;254 643;0,24;
июль 2020;255 949;0,24;
август 2020;263 223;0,21;
сентябрь 2020;291 496;0,20;
октябрь 2020;294 566;0,18;
ноябрь 2020;255 310;0,17;
декабрь 2020;345 761;0,24;
январь 2021;328 146;0,24;
февраль 2021;338 195;0,23;
март 2021;307 487;0,21;
апрель 2021;269 778;0,19;
май 2021;274 397;0,21;
июнь 2021;270 084;0,22;
июль 2021;292 569;0,23;
август 2021;281 844;0,21;
сентябрь 2021;286 905;0,19;
октябрь 2021;293 560;0,19;
ноябрь 2021;258 877;0,16;
декабрь 2021;355 499;0,23;
январь 2022;328 351;0,21;
февраль 2022;349 043;0,21;
март 2022;326 474;0,20;
апрель 2022;274 590;0,18;
май 2022;280 788;0,20;
июнь 2022;277 195;0,20;
июль 2022;291 457;0,21;
август 2022;270 835;0,17;
сентябрь 2022;279 855;0,17;
октябрь 2022;292 860;0,17;
ноябрь 2022;227 969;0,13;
декабрь 2022;286 548;0,17;
январь 2023;258 461;0,16;
февраль 2023;286 654;0,16;
март 2023;251 426;0,15;
апрель 2023;224 599;0,14;
май 2023;212 115;0,15;
июнь 2023;219 319;0,17;
июль 2023;242 132;0,18;
август 2023;228 632;0,15;
сентябрь 2023;247 745;0,15;
октябрь 2023;233 037;0,14;
ноябрь 2023;183 204;0,11;
декабрь 2023;251 787;0,15;
январь 2024;223 534;0,14;
февраль 2024;213 778;0,13;
март 2024;197 299;0,13;
апрель 2024;181 014;0,12;
май 2024;174 822;0,14;
июнь 2024;191 140;0,16;
июль 2024;192 161;0,16;
август 2024;194 345;0,14;
сентябрь 2024;222 798;0,14;
октябрь 2024;213 287;0,13;
ноябрь 2024;185 050;0,11;
декабрь 2024;238 121;0,14;
