Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Приморский край, все устройства
декабрь 2017;115 295;0,21;
январь 2018;110 597;0,20;
февраль 2018;114 094;0,19;
март 2018;100 605;0,19;
апрель 2018;93 123;0,17;
май 2018;86 026;0,16;
июнь 2018;95 474;0,17;
июль 2018;99 323;0,18;
август 2018;98 547;0,17;
сентябрь 2018;111 747;0,17;
октябрь 2018;110 531;0,18;
ноябрь 2018;101 732;0,14;
декабрь 2018;154 244;0,19;
январь 2019;148 935;0,19;
февраль 2019;152 647;0,18;
март 2019;140 121;0,18;
апрель 2019;134 973;0,16;
май 2019;133 402;0,17;
июнь 2019;139 475;0,19;
июль 2019;145 304;0,19;
август 2019;133 940;0,19;
сентябрь 2019;136 879;0,19;
октябрь 2019;134 850;0,18;
ноябрь 2019;121 949;0,16;
декабрь 2019;161 225;0,20;
январь 2020;150 173;0,20;
февраль 2020;143 740;0,17;
март 2020;107 956;0,10;
апрель 2020;122 140;0,13;
май 2020;133 517;0,17;
июнь 2020;130 236;0,18;
июль 2020;130 571;0,17;
август 2020;132 636;0,16;
сентябрь 2020;130 654;0,14;
октябрь 2020;123 010;0,14;
ноябрь 2020;114 428;0,13;
декабрь 2020;157 393;0,19;
январь 2021;154 696;0,19;
февраль 2021;150 805;0,17;
март 2021;135 348;0,16;
апрель 2021;130 795;0,15;
май 2021;138 836;0,16;
июнь 2021;130 009;0,16;
июль 2021;137 285;0,16;
август 2021;136 086;0,16;
сентябрь 2021;127 932;0,14;
октябрь 2021;132 337;0,14;
ноябрь 2021;123 438;0,13;
декабрь 2021;166 878;0,17;
январь 2022;151 235;0,16;
февраль 2022;167 162;0,16;
март 2022;151 768;0,15;
апрель 2022;143 203;0,14;
май 2022;148 483;0,16;
июнь 2022;136 530;0,15;
июль 2022;132 869;0,15;
август 2022;131 727;0,13;
сентябрь 2022;131 924;0,12;
октябрь 2022;149 004;0,13;
ноябрь 2022;115 672;0,10;
декабрь 2022;144 382;0,13;
январь 2023;130 592;0,13;
февраль 2023;144 756;0,13;
март 2023;126 185;0,12;
апрель 2023;117 842;0,12;
май 2023;109 469;0,12;
июнь 2023;117 136;0,13;
июль 2023;142 973;0,16;
август 2023;123 498;0,13;
сентябрь 2023;125 787;0,12;
октябрь 2023;124 756;0,12;
ноябрь 2023;107 868;0,10;
декабрь 2023;130 271;0,12;
январь 2024;141 662;0,14;
февраль 2024;115 508;0,11;
март 2024;101 682;0,10;
апрель 2024;101 711;0,11;
май 2024;101 844;0,12;
июнь 2024;106 396;0,13;
июль 2024;136 882;0,17;
август 2024;110 246;0,13;
сентябрь 2024;117 186;0,12;
октябрь 2024;116 760;0,11;
ноябрь 2024;103 430;0,10;
декабрь 2024;125 145;0,12;
