Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Вологодская область, все устройства
декабрь 2017;153 130;0,28;
январь 2018;143 547;0,27;
февраль 2018;144 386;0,25;
март 2018;121 397;0,23;
апрель 2018;102 178;0,20;
май 2018;95 622;0,21;
июнь 2018;107 749;0,24;
июль 2018;117 751;0,25;
август 2018;132 681;0,24;
сентябрь 2018;155 672;0,25;
октябрь 2018;134 029;0,24;
ноябрь 2018;105 667;0,19;
декабрь 2018;140 790;0,25;
январь 2019;135 851;0,25;
февраль 2019;130 879;0,22;
март 2019;117 869;0,21;
апрель 2019;95 757;0,19;
май 2019;94 439;0,21;
июнь 2019;111 733;0,24;
июль 2019;113 427;0,24;
август 2019;117 855;0,23;
сентябрь 2019;142 792;0,25;
октябрь 2019;130 220;0,22;
ноябрь 2019;114 440;0,19;
декабрь 2019;152 952;0,25;
январь 2020;140 662;0,24;
февраль 2020;130 923;0,20;
март 2020;100 660;0,12;
апрель 2020;109 447;0,15;
май 2020;115 850;0,20;
июнь 2020;120 670;0,22;
июль 2020;120 678;0,22;
август 2020;131 130;0,21;
сентябрь 2020;139 718;0,20;
октябрь 2020;136 554;0,19;
ноябрь 2020;115 652;0,17;
декабрь 2020;144 894;0,22;
январь 2021;150 886;0,23;
февраль 2021;155 034;0,22;
март 2021;153 163;0,21;
апрель 2021;137 778;0,18;
май 2021;138 163;0,20;
июнь 2021;127 097;0,21;
июль 2021;134 136;0,22;
август 2021;146 328;0,19;
сентябрь 2021;142 013;0,17;
октябрь 2021;150 198;0,18;
ноябрь 2021;137 021;0,16;
декабрь 2021;176 241;0,20;
январь 2022;154 594;0,18;
февраль 2022;163 513;0,18;
март 2022;158 712;0,18;
апрель 2022;144 714;0,17;
май 2022;139 744;0,18;
июнь 2022;144 773;0,20;
июль 2022;152 127;0,21;
август 2022;144 856;0,17;
сентябрь 2022;142 149;0,16;
октябрь 2022;144 355;0,16;
ноябрь 2022;117 499;0,13;
декабрь 2022;144 727;0,16;
январь 2023;128 193;0,15;
февраль 2023;142 128;0,15;
март 2023;116 739;0,13;
апрель 2023;104 770;0,12;
май 2023;105 273;0,14;
июнь 2023;113 922;0,15;
июль 2023;122 387;0,17;
август 2023;118 061;0,15;
сентябрь 2023;129 595;0,14;
октябрь 2023;122 462;0,14;
ноябрь 2023;97 171;0,11;
декабрь 2023;123 534;0,14;
январь 2024;113 378;0,13;
февраль 2024;111 885;0,13;
март 2024;100 232;0,12;
апрель 2024;92 609;0,12;
май 2024;89 796;0,13;
июнь 2024;100 964;0,15;
июль 2024;103 727;0,15;
август 2024;106 502;0,15;
сентябрь 2024;118 586;0,14;
октябрь 2024;114 273;0,13;
ноябрь 2024;97 866;0,11;
декабрь 2024;124 064;0,14;
