Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Курганская область, все устройства
декабрь 2017;83 615;0,28;
январь 2018;77 393;0,28;
февраль 2018;79 381;0,26;
март 2018;69 017;0,24;
апрель 2018;65 467;0,23;
май 2018;61 783;0,24;
июнь 2018;67 560;0,27;
июль 2018;73 256;0,28;
август 2018;70 121;0,24;
сентябрь 2018;87 436;0,26;
октябрь 2018;78 626;0,26;
ноябрь 2018;61 534;0,19;
декабрь 2018;88 152;0,27;
январь 2019;84 582;0,27;
февраль 2019;82 149;0,25;
март 2019;75 610;0,25;
апрель 2019;62 756;0,22;
май 2019;65 145;0,25;
июнь 2019;72 081;0,28;
июль 2019;70 920;0,27;
август 2019;68 559;0,25;
сентябрь 2019;81 788;0,26;
октябрь 2019;80 175;0,25;
ноябрь 2019;71 837;0,21;
декабрь 2019;101 227;0,29;
январь 2020;94 743;0,27;
февраль 2020;85 725;0,23;
март 2020;58 595;0,12;
апрель 2020;62 985;0,15;
май 2020;72 896;0,22;
июнь 2020;76 797;0,25;
июль 2020;78 366;0,25;
август 2020;78 569;0,23;
сентябрь 2020;83 912;0,21;
октябрь 2020;89 059;0,17;
ноябрь 2020;77 016;0,17;
декабрь 2020;109 462;0,27;
январь 2021;105 202;0,28;
февраль 2021;108 350;0,28;
март 2021;96 727;0,25;
апрель 2021;81 357;0,21;
май 2021;94 752;0,25;
июнь 2021;95 143;0,27;
июль 2021;104 057;0,25;
август 2021;95 915;0,23;
сентябрь 2021;93 539;0,21;
октябрь 2021;98 255;0,19;
ноябрь 2021;85 575;0,18;
декабрь 2021;123 368;0,26;
январь 2022;111 021;0,22;
февраль 2022;111 634;0,22;
март 2022;99 211;0,21;
апрель 2022;89 997;0,20;
май 2022;92 251;0,22;
июнь 2022;90 408;0,22;
июль 2022;92 656;0,23;
август 2022;82 260;0,19;
сентябрь 2022;81 240;0,17;
октябрь 2022;84 493;0,17;
ноябрь 2022;69 133;0,14;
декабрь 2022;92 172;0,18;
январь 2023;84 665;0,18;
февраль 2023;91 503;0,18;
март 2023;72 409;0,15;
апрель 2023;62 905;0,14;
май 2023;69 333;0,17;
июнь 2023;75 590;0,19;
июль 2023;80 933;0,20;
август 2023;69 396;0,16;
сентябрь 2023;74 187;0,16;
октябрь 2023;74 016;0,16;
ноябрь 2023;54 508;0,11;
декабрь 2023;78 122;0,16;
январь 2024;67 859;0,15;
февраль 2024;66 730;0,14;
март 2024;54 855;0,12;
апрель 2024;55 269;0,13;
май 2024;54 883;0,15;
июнь 2024;67 393;0,19;
июль 2024;63 979;0,18;
август 2024;58 728;0,16;
сентябрь 2024;65 096;0,15;
октябрь 2024;64 572;0,14;
ноябрь 2024;55 641;0,12;
декабрь 2024;77 135;0,17;
