Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Красноярский край, все устройства
декабрь 2017;332 460;0,26;
январь 2018;317 915;0,26;
февраль 2018;320 575;0,25;
март 2018;278 465;0,23;
апрель 2018;273 297;0,22;
май 2018;224 724;0,22;
июнь 2018;267 700;0,25;
июль 2018;286 204;0,26;
август 2018;308 997;0,24;
сентябрь 2018;368 606;0,25;
октябрь 2018;324 060;0,24;
ноябрь 2018;253 670;0,19;
декабрь 2018;343 913;0,26;
январь 2019;327 937;0,25;
февраль 2019;331 283;0,24;
март 2019;317 003;0,24;
апрель 2019;268 501;0,21;
май 2019;245 557;0,22;
июнь 2019;268 434;0,25;
июль 2019;280 375;0,25;
август 2019;297 961;0,24;
сентябрь 2019;344 755;0,24;
октябрь 2019;328 711;0,23;
ноябрь 2019;292 485;0,20;
декабрь 2019;397 232;0,26;
январь 2020;375 113;0,26;
февраль 2020;347 351;0,22;
март 2020;252 977;0,13;
апрель 2020;277 360;0,15;
май 2020;303 243;0,20;
июнь 2020;304 212;0,23;
июль 2020;308 110;0,23;
август 2020;322 150;0,21;
сентябрь 2020;364 830;0,19;
октябрь 2020;361 666;0,17;
ноябрь 2020;304 685;0,15;
декабрь 2020;421 402;0,24;
январь 2021;417 146;0,26;
февраль 2021;420 877;0,23;
март 2021;388 340;0,22;
апрель 2021;338 406;0,19;
май 2021;345 071;0,21;
июнь 2021;335 619;0,22;
июль 2021;363 626;0,24;
август 2021;370 483;0,22;
сентябрь 2021;389 750;0,20;
октябрь 2021;394 357;0,20;
ноябрь 2021;345 030;0,17;
декабрь 2021;471 659;0,23;
январь 2022;421 531;0,21;
февраль 2022;451 678;0,21;
март 2022;435 131;0,21;
апрель 2022;364 161;0,19;
май 2022;374 759;0,21;
июнь 2022;365 632;0,22;
июль 2022;396 398;0,22;
август 2022;340 875;0,18;
сентябрь 2022;336 968;0,16;
октябрь 2022;345 522;0,16;
ноябрь 2022;277 816;0,12;
декабрь 2022;353 761;0,17;
январь 2023;323 073;0,16;
февраль 2023;357 529;0,16;
март 2023;322 673;0,15;
апрель 2023;292 112;0,14;
май 2023;270 156;0,15;
июнь 2023;282 360;0,17;
июль 2023;318 655;0,18;
август 2023;300 621;0,16;
сентябрь 2023;336 700;0,16;
октябрь 2023;312 807;0,15;
ноябрь 2023;245 855;0,11;
декабрь 2023;329 720;0,16;
январь 2024;294 320;0,15;
февраль 2024;296 317;0,14;
март 2024;281 922;0,14;
апрель 2024;250 563;0,13;
май 2024;226 234;0,14;
июнь 2024;261 659;0,17;
июль 2024;262 257;0,17;
август 2024;263 179;0,16;
сентябрь 2024;296 883;0,15;
октябрь 2024;285 965;0,14;
ноябрь 2024;246 860;0,12;
декабрь 2024;313 751;0,16;
