Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Республика Марий Эл, все устройства
декабрь 2017;66 152;0,32;
январь 2018;60 250;0,30;
февраль 2018;60 020;0,28;
март 2018;51 652;0,26;
апрель 2018;43 646;0,22;
май 2018;42 310;0,23;
июнь 2018;45 796;0,26;
июль 2018;49 156;0,28;
август 2018;51 632;0,25;
сентябрь 2018;64 269;0,27;
октябрь 2018;58 712;0,27;
ноябрь 2018;47 643;0,21;
декабрь 2018;62 808;0,28;
январь 2019;60 002;0,28;
февраль 2019;60 319;0,26;
март 2019;53 522;0,25;
апрель 2019;41 345;0,21;
май 2019;44 766;0,25;
июнь 2019;50 308;0,28;
июль 2019;48 256;0,27;
август 2019;51 119;0,26;
сентябрь 2019;64 665;0,28;
октябрь 2019;59 390;0,26;
ноябрь 2019;50 491;0,20;
декабрь 2019;72 237;0,28;
январь 2020;67 249;0,27;
февраль 2020;60 684;0,22;
март 2020;43 476;0,11;
апрель 2020;48 488;0,15;
май 2020;55 171;0,21;
июнь 2020;55 033;0,24;
июль 2020;54 292;0,24;
август 2020;55 396;0,21;
сентябрь 2020;60 408;0,19;
октябрь 2020;59 096;0,17;
ноябрь 2020;51 459;0,15;
декабрь 2020;70 828;0,23;
январь 2021;70 822;0,24;
февраль 2021;76 605;0,24;
март 2021;69 247;0,22;
апрель 2021;59 813;0,20;
май 2021;62 922;0,22;
июнь 2021;63 386;0,24;
июль 2021;67 642;0,24;
август 2021;71 389;0,23;
сентябрь 2021;71 822;0,21;
октябрь 2021;71 686;0,20;
ноябрь 2021;65 627;0,18;
декабрь 2021;84 837;0,24;
январь 2022;81 670;0,23;
февраль 2022;88 891;0,23;
март 2022;79 834;0,22;
апрель 2022;71 541;0,20;
май 2022;67 979;0,21;
июнь 2022;68 218;0,22;
июль 2022;66 952;0,22;
август 2022;65 248;0,19;
сентябрь 2022;62 382;0,16;
октябрь 2022;62 175;0,16;
ноябрь 2022;52 588;0,13;
декабрь 2022;68 519;0,18;
январь 2023;60 381;0,17;
февраль 2023;63 725;0,16;
март 2023;50 392;0,14;
апрель 2023;46 814;0,13;
май 2023;48 391;0,15;
июнь 2023;54 066;0,17;
июль 2023;56 542;0,18;
август 2023;55 313;0,17;
сентябрь 2023;59 700;0,16;
октябрь 2023;53 555;0,14;
ноябрь 2023;40 610;0,10;
декабрь 2023;53 244;0,14;
январь 2024;50 498;0,14;
февраль 2024;50 697;0,14;
март 2024;44 536;0,13;
апрель 2024;43 002;0,13;
май 2024;41 855;0,15;
июнь 2024;50 403;0,18;
июль 2024;49 335;0,18;
август 2024;48 330;0,16;
сентябрь 2024;54 584;0,15;
октябрь 2024;51 670;0,14;
ноябрь 2024;43 583;0,11;
декабрь 2024;59 599;0,16;
