Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Республика Адыгея, все устройства
декабрь 2017;20 811;0,278;
январь 2018;20 732;0,279;
февраль 2018;22 364;0,271;
март 2018;17 437;0,242;
апрель 2018;19 746;0,253;
май 2018;19 134;0,259;
июнь 2018;23 360;0,300;
июль 2018;22 728;0,297;
август 2018;22 659;0,276;
сентябрь 2018;24 522;0,257;
октябрь 2018;22 878;0,248;
ноябрь 2018;18 570;0,199;
декабрь 2018;25 774;0,266;
январь 2019;27 641;0,283;
февраль 2019;29 936;0,284;
март 2019;24 460;0,246;
апрель 2019;22 316;0,227;
май 2019;23 945;0,258;
июнь 2019;26 835;0,280;
июль 2019;26 037;0,273;
август 2019;23 715;0,243;
сентябрь 2019;27 092;0,251;
октябрь 2019;28 046;0,253;
ноябрь 2019;25 957;0,214;
декабрь 2019;34 888;0,274;
январь 2020;32 570;0,266;
февраль 2020;29 750;0,224;
март 2020;20 384;0,118;
апрель 2020;25 551;0,151;
май 2020;28 007;0,211;
июнь 2020;29 885;0,245;
июль 2020;26 305;0,225;
август 2020;24 413;0,193;
сентябрь 2020;25 387;0,176;
октябрь 2020;28 290;0,183;
ноябрь 2020;24 060;0,151;
декабрь 2020;32 268;0,212;
январь 2021;31 746;0,220;
февраль 2021;35 182;0,231;
март 2021;34 304;0,204;
апрель 2021;31 879;0,182;
май 2021;33 701;0,198;
июнь 2021;28 742;0,192;
июль 2021;29 014;0,192;
август 2021;29 654;0,170;
сентябрь 2021;31 575;0,165;
октябрь 2021;34 117;0,171;
ноябрь 2021;29 337;0,141;
декабрь 2021;39 731;0,183;
январь 2022;37 840;0,177;
февраль 2022;40 887;0,179;
март 2022;37 265;0,177;
апрель 2022;35 434;0,166;
май 2022;35 677;0,183;
июнь 2022;35 442;0,182;
июль 2022;36 423;0,185;
август 2022;31 579;0,148;
сентябрь 2022;30 052;0,132;
октябрь 2022;30 257;0,130;
ноябрь 2022;25 800;0,108;
декабрь 2022;32 860;0,137;
январь 2023;27 840;0,124;
февраль 2023;31 758;0,133;
март 2023;26 655;0,119;
апрель 2023;25 176;0,114;
май 2023;24 144;0,121;
июнь 2023;26 758;0,134;
июль 2023;26 936;0,135;
август 2023;24 369;0,117;
сентябрь 2023;24 836;0,112;
октябрь 2023;24 496;0,107;
ноябрь 2023;20 217;0,086;
декабрь 2023;26 598;0,111;
январь 2024;23 929;0,109;
февраль 2024;23 746;0,106;
март 2024;21 660;0,104;
апрель 2024;21 314;0,101;
май 2024;21 934;0,118;
июнь 2024;25 759;0,136;
июль 2024;24 570;0,129;
август 2024;24 587;0,124;
сентябрь 2024;22 931;0,106;
октябрь 2024;24 563;0,109;
ноябрь 2024;21 901;0,093;
декабрь 2024;30 124;0,128;
