Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Санкт-Петербург и Ленинградская область, кроме Санкт-Петербург, все устройства
декабрь 2017;196 862;0,36;
январь 2018;192 867;0,36;
февраль 2018;212 129;0,35;
март 2018;176 283;0,32;
апрель 2018;150 018;0,28;
май 2018;158 261;0,28;
июнь 2018;167 088;0,30;
июль 2018;190 532;0,32;
август 2018;197 358;0,32;
сентябрь 2018;241 515;0,34;
октябрь 2018;219 870;0,33;
ноябрь 2018;173 940;0,26;
декабрь 2018;247 764;0,34;
январь 2019;253 299;0,36;
февраль 2019;253 897;0,33;
март 2019;211 898;0,30;
апрель 2019;193 641;0,26;
май 2019;200 496;0,29;
июнь 2019;219 395;0,30;
июль 2019;223 352;0,31;
август 2019;238 036;0,33;
сентябрь 2019;282 989;0,36;
октябрь 2019;275 175;0,35;
ноябрь 2019;233 172;0,28;
декабрь 2019;320 179;0,36;
январь 2020;305 540;0,38;
февраль 2020;279 279;0,30;
март 2020;230 031;0,19;
апрель 2020;266 739;0,23;
май 2020;277 276;0,28;
июнь 2020;292 987;0,31;
июль 2020;271 315;0,31;
август 2020;263 956;0,30;
сентябрь 2020;288 385;0,29;
октябрь 2020;275 647;0,27;
ноябрь 2020;219 531;0,23;
декабрь 2020;296 744;0,30;
январь 2021;305 416;0,34;
февраль 2021;312 239;0,32;
март 2021;315 204;0,29;
апрель 2021;326 892;0,25;
май 2021;316 699;0,25;
июнь 2021;274 240;0,26;
июль 2021;294 906;0,27;
август 2021;340 906;0,27;
сентябрь 2021;354 511;0,25;
октябрь 2021;365 362;0,25;
ноябрь 2021;314 641;0,22;
декабрь 2021;424 857;0,28;
январь 2022;392 654;0,26;
февраль 2022;438 233;0,28;
март 2022;416 460;0,28;
апрель 2022;380 180;0,24;
май 2022;366 665;0,25;
июнь 2022;386 627;0,25;
июль 2022;379 584;0,25;
август 2022;357 388;0,23;
сентябрь 2022;349 853;0,21;
октябрь 2022;340 308;0,21;
ноябрь 2022;265 853;0,17;
декабрь 2022;346 246;0,21;
январь 2023;312 044;0,21;
февраль 2023;340 798;0,21;
март 2023;277 755;0,18;
апрель 2023;253 270;0,17;
май 2023;250 372;0,17;
июнь 2023;281 370;0,18;
июль 2023;304 216;0,20;
август 2023;283 516;0,19;
сентябрь 2023;295 427;0,19;
октябрь 2023;274 650;0,18;
ноябрь 2023;217 019;0,14;
декабрь 2023;283 508;0,18;
январь 2024;269 783;0,18;
февраль 2024;252 042;0,16;
март 2024;235 138;0,16;
апрель 2024;219 760;0,15;
май 2024;224 944;0,16;
июнь 2024;252 637;0,17;
июль 2024;257 179;0,18;
август 2024;256 577;0,18;
сентябрь 2024;273 862;0,18;
октябрь 2024;268 529;0,17;
ноябрь 2024;222 458;0,14;
декабрь 2024;293 780;0,18;
