Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Хабаровский край, все устройства
декабрь 2017;154 909;0,27;
январь 2018;146 982;0,26;
февраль 2018;151 493;0,24;
март 2018;124 397;0,22;
апрель 2018;113 184;0,20;
май 2018;112 873;0,21;
июнь 2018;118 137;0,23;
июль 2018;125 378;0,24;
август 2018;126 394;0,21;
сентябрь 2018;151 801;0,22;
октябрь 2018;141 837;0,23;
ноябрь 2018;114 080;0,19;
декабрь 2018;143 581;0,26;
январь 2019;137 393;0,27;
февраль 2019;132 431;0,25;
март 2019;120 944;0,24;
апрель 2019;100 408;0,21;
май 2019;97 102;0,23;
июнь 2019;100 925;0,26;
июль 2019;96 252;0,25;
август 2019;105 801;0,24;
сентябрь 2019;125 616;0,24;
октябрь 2019;127 016;0,24;
ноябрь 2019;110 504;0,20;
декабрь 2019;150 521;0,27;
январь 2020;140 257;0,26;
февраль 2020;132 131;0,23;
март 2020;99 272;0,13;
апрель 2020;107 702;0,16;
май 2020;117 730;0,21;
июнь 2020;110 778;0,22;
июль 2020;105 969;0,21;
август 2020;106 740;0,20;
сентябрь 2020;118 594;0,19;
октябрь 2020;122 286;0,18;
ноябрь 2020;103 960;0,16;
декабрь 2020;147 966;0,23;
январь 2021;142 677;0,24;
февраль 2021;143 699;0,22;
март 2021;131 533;0,20;
апрель 2021;115 930;0,18;
май 2021;122 659;0,21;
июнь 2021;117 241;0,20;
июль 2021;115 587;0,21;
август 2021;139 791;0,23;
сентябрь 2021;118 532;0,18;
октябрь 2021;120 772;0,18;
ноябрь 2021;109 602;0,15;
декабрь 2021;148 925;0,21;
январь 2022;138 368;0,20;
февраль 2022;146 564;0,19;
март 2022;143 785;0,20;
апрель 2022;126 281;0,18;
май 2022;131 358;0,20;
июнь 2022;124 137;0,20;
июль 2022;122 451;0,20;
август 2022;113 556;0,16;
сентябрь 2022;116 521;0,15;
октябрь 2022;131 414;0,16;
ноябрь 2022;99 587;0,13;
декабрь 2022;126 206;0,16;
январь 2023;116 524;0,16;
февраль 2023;128 105;0,16;
март 2023;111 071;0,15;
апрель 2023;104 086;0,14;
май 2023;101 382;0,16;
июнь 2023;111 173;0,18;
июль 2023;107 788;0,18;
август 2023;102 988;0,15;
сентябрь 2023;112 508;0,15;
октябрь 2023;108 618;0,15;
ноябрь 2023;93 377;0,12;
декабрь 2023;117 110;0,16;
январь 2024;114 355;0,16;
февраль 2024;103 080;0,14;
март 2024;91 144;0,13;
апрель 2024;90 933;0,13;
май 2024;89 362;0,15;
июнь 2024;93 476;0,16;
июль 2024;98 159;0,17;
август 2024;88 995;0,15;
сентябрь 2024;101 519;0,14;
октябрь 2024;98 934;0,14;
ноябрь 2024;87 848;0,11;
декабрь 2024;110 986;0,15;
