Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Республика Бурятия, все устройства
декабрь 2017;67 622;0,267;
январь 2018;63 403;0,259;
февраль 2018;65 189;0,251;
март 2018;55 858;0,234;
апрель 2018;50 102;0,207;
май 2018;45 868;0,211;
июнь 2018;52 022;0,235;
июль 2018;53 875;0,247;
август 2018;57 355;0,229;
сентябрь 2018;69 787;0,237;
октябрь 2018;63 125;0,230;
ноябрь 2018;48 104;0,177;
декабрь 2018;67 489;0,247;
январь 2019;65 945;0,246;
февраль 2019;64 183;0,230;
март 2019;56 197;0,209;
апрель 2019;46 561;0,184;
май 2019;46 584;0,206;
июнь 2019;47 570;0,223;
июль 2019;47 691;0,222;
август 2019;50 052;0,213;
сентябрь 2019;59 147;0,213;
октябрь 2019;58 082;0,211;
ноябрь 2019;52 326;0,173;
декабрь 2019;73 057;0,238;
январь 2020;64 747;0,216;
февраль 2020;63 143;0,194;
март 2020;41 343;0,091;
апрель 2020;46 499;0,124;
май 2020;51 495;0,173;
июнь 2020;49 874;0,187;
июль 2020;49 551;0,186;
август 2020;47 944;0,154;
сентябрь 2020;56 039;0,133;
октябрь 2020;58 929;0,140;
ноябрь 2020;49 394;0,126;
декабрь 2020;68 610;0,190;
январь 2021;61 539;0,188;
февраль 2021;66 896;0,189;
март 2021;62 747;0,165;
апрель 2021;61 061;0,154;
май 2021;63 070;0,173;
июнь 2021;58 899;0,186;
июль 2021;59 244;0,192;
август 2021;61 306;0,164;
сентябрь 2021;68 094;0,159;
октябрь 2021;69 812;0,159;
ноябрь 2021;63 613;0,132;
декабрь 2021;86 354;0,185;
январь 2022;81 291;0,172;
февраль 2022;87 086;0,180;
март 2022;80 056;0,172;
апрель 2022;68 888;0,155;
май 2022;69 501;0,176;
июнь 2022;71 284;0,186;
июль 2022;67 221;0,177;
август 2022;61 850;0,140;
сентябрь 2022;62 524;0,129;
октябрь 2022;66 207;0,132;
ноябрь 2022;53 695;0,105;
декабрь 2022;69 945;0,139;
январь 2023;60 917;0,134;
февраль 2023;67 374;0,134;
март 2023;57 793;0,119;
апрель 2023;51 904;0,113;
май 2023;48 296;0,123;
июнь 2023;53 358;0,139;
июль 2023;58 288;0,151;
август 2023;54 554;0,127;
сентябрь 2023;56 369;0,117;
октябрь 2023;55 024;0,116;
ноябрь 2023;42 344;0,084;
декабрь 2023;61 207;0,126;
январь 2024;54 053;0,118;
февраль 2024;49 489;0,107;
март 2024;44 942;0,101;
апрель 2024;41 515;0,100;
май 2024;42 031;0,117;
июнь 2024;46 042;0,131;
июль 2024;44 497;0,126;
август 2024;44 185;0,113;
сентябрь 2024;49 386;0,109;
октябрь 2024;49 387;0,107;
ноябрь 2024;44 776;0,091;
декабрь 2024;61 151;0,129;
