Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Челябинская область, все устройства
декабрь 2017;423 125;0,27;
январь 2018;406 809;0,26;
февраль 2018;408 763;0,25;
март 2018;354 170;0,23;
апрель 2018;322 577;0,21;
май 2018;306 677;0,22;
июнь 2018;321 503;0,25;
июль 2018;358 341;0,26;
август 2018;364 787;0,23;
сентябрь 2018;445 344;0,24;
октябрь 2018;385 532;0,23;
ноябрь 2018;301 005;0,18;
декабрь 2018;422 612;0,25;
январь 2019;410 105;0,25;
февраль 2019;411 799;0,24;
март 2019;381 762;0,23;
апрель 2019;313 154;0,21;
май 2019;321 984;0,24;
июнь 2019;342 720;0,26;
июль 2019;349 764;0,25;
август 2019;374 259;0,24;
сентябрь 2019;424 284;0,24;
октябрь 2019;406 747;0,22;
ноябрь 2019;349 605;0,19;
декабрь 2019;481 996;0,25;
январь 2020;441 890;0,24;
февраль 2020;411 001;0,21;
март 2020;312 907;0,13;
апрель 2020;336 638;0,16;
май 2020;378 878;0,21;
июнь 2020;366 390;0,23;
июль 2020;374 728;0,23;
август 2020;383 182;0,21;
сентябрь 2020;410 801;0,19;
октябрь 2020;434 711;0,20;
ноябрь 2020;386 207;0,17;
декабрь 2020;555 803;0,24;
январь 2021;556 219;0,24;
февраль 2021;606 601;0,24;
март 2021;520 259;0,22;
апрель 2021;397 379;0,20;
май 2021;456 725;0,23;
июнь 2021;448 293;0,23;
июль 2021;426 945;0,23;
август 2021;437 481;0,21;
сентябрь 2021;436 513;0,19;
октябрь 2021;453 006;0,18;
ноябрь 2021;405 040;0,16;
декабрь 2021;556 672;0,23;
январь 2022;497 511;0,21;
февраль 2022;535 878;0,20;
март 2022;488 553;0,20;
апрель 2022;444 361;0,19;
май 2022;457 149;0,21;
июнь 2022;434 819;0,22;
июль 2022;451 148;0,22;
август 2022;420 143;0,18;
сентябрь 2022;405 712;0,16;
октябрь 2022;403 301;0,16;
ноябрь 2022;324 434;0,12;
декабрь 2022;429 712;0,17;
январь 2023;388 681;0,16;
февраль 2023;429 021;0,17;
март 2023;354 948;0,15;
апрель 2023;333 832;0,14;
май 2023;356 674;0,17;
июнь 2023;373 009;0,18;
июль 2023;412 139;0,20;
август 2023;384 678;0,16;
сентябрь 2023;413 798;0,16;
октябрь 2023;399 293;0,16;
ноябрь 2023;305 142;0,12;
декабрь 2023;421 685;0,16;
январь 2024;380 461;0,16;
февраль 2024;368 747;0,15;
март 2024;326 621;0,14;
апрель 2024;317 356;0,14;
май 2024;308 642;0,16;
июнь 2024;356 235;0,19;
июль 2024;351 127;0,18;
август 2024;345 096;0,17;
сентябрь 2024;380 674;0,16;
октябрь 2024;369 946;0,15;
ноябрь 2024;315 571;0,13;
декабрь 2024;419 837;0,17;
