Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Москва, все устройства
декабрь 2017;3 754 684;0,30;
январь 2018;3 810 885;0,29;
февраль 2018;4 035 997;0,28;
март 2018;3 298 846;0,25;
апрель 2018;3 079 242;0,24;
май 2018;2 837 388;0,24;
июнь 2018;3 166 396;0,26;
июль 2018;3 339 648;0,28;
август 2018;3 818 417;0,27;
сентябрь 2018;4 436 828;0,27;
октябрь 2018;4 061 788;0,27;
ноябрь 2018;3 224 503;0,21;
декабрь 2018;4 206 976;0,28;
январь 2019;3 983 065;0,28;
февраль 2019;3 825 320;0,26;
март 2019;3 327 659;0,24;
апрель 2019;2 952 974;0,23;
май 2019;2 949 949;0,24;
июнь 2019;3 176 600;0,25;
июль 2019;3 148 793;0,26;
август 2019;3 516 262;0,26;
сентябрь 2019;3 984 275;0,26;
октябрь 2019;3 555 582;0,24;
ноябрь 2019;2 990 641;0,20;
декабрь 2019;3 888 105;0,25;
январь 2020;3 873 267;0,26;
февраль 2020;3 317 726;0,21;
март 2020;2 428 161;0,14;
апрель 2020;2 804 116;0,17;
май 2020;3 381 642;0,24;
июнь 2020;3 639 356;0,26;
июль 2020;3 455 466;0,25;
август 2020;3 595 626;0,23;
сентябрь 2020;3 719 268;0,21;
октябрь 2020;3 742 673;0,20;
ноябрь 2020;3 059 652;0,17;
декабрь 2020;3 879 730;0,24;
январь 2021;3 919 477;0,24;
февраль 2021;4 305 738;0,24;
март 2021;3 724 767;0,21;
апрель 2021;3 512 111;0,23;
май 2021;2 932 412;0,19;
июнь 2021;3 366 831;0,20;
июль 2021;3 822 299;0,22;
август 2021;3 521 212;0,20;
сентябрь 2021;3 214 995;0,18;
октябрь 2021;3 227 886;0,19;
ноябрь 2021;2 955 155;0,17;
декабрь 2021;3 505 444;0,20;
январь 2022;3 545 879;0,20;
февраль 2022;3 857 014;0,21;
март 2022;3 687 661;0,21;
апрель 2022;3 600 586;0,20;
май 2022;3 336 583;0,21;
июнь 2022;3 067 108;0,21;
июль 2022;3 243 829;0,20;
август 2022;3 242 018;0,18;
сентябрь 2022;2 802 303;0,16;
октябрь 2022;2 703 237;0,16;
ноябрь 2022;2 062 744;0,12;
декабрь 2022;2 430 205;0,15;
январь 2023;2 252 412;0,15;
февраль 2023;2 528 372;0,15;
март 2023;2 020 979;0,14;
апрель 2023;2 071 038;0,14;
май 2023;2 189 872;0,16;
июнь 2023;1 951 359;0,16;
июль 2023;2 069 843;0,16;
август 2023;2 135 189;0,15;
сентябрь 2023;2 329 114;0,14;
октябрь 2023;2 087 803;0,13;
ноябрь 2023;1 700 595;0,11;
декабрь 2023;2 138 592;0,13;
январь 2024;2 005 805;0,14;
февраль 2024;1 965 575;0,13;
март 2024;1 905 544;0,13;
апрель 2024;2 009 643;0,14;
май 2024;1 780 392;0,15;
июнь 2024;1 784 735;0,15;
июль 2024;1 780 098;0,15;
август 2024;1 891 660;0,15;
сентябрь 2024;2 058 001;0,14;
октябрь 2024;2 019 529;0,13;
ноябрь 2024;1 722 815;0,11;
декабрь 2024;2 137 649;0,14;
