Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Калужская область, все устройства
декабрь 2017;169 386;0,35;
январь 2018;167 968;0,36;
февраль 2018;183 541;0,35;
март 2018;144 949;0,32;
апрель 2018;127 710;0,29;
май 2018;125 811;0,29;
июнь 2018;141 148;0,32;
июль 2018;145 859;0,33;
август 2018;155 267;0,31;
сентябрь 2018;178 082;0,31;
октябрь 2018;151 996;0,29;
ноябрь 2018;118 512;0,23;
декабрь 2018;172 436;0,32;
январь 2019;170 378;0,33;
февраль 2019;174 318;0,32;
март 2019;149 408;0,30;
апрель 2019;126 601;0,26;
май 2019;124 950;0,28;
июнь 2019;138 534;0,30;
июль 2019;143 775;0,31;
август 2019;152 888;0,32;
сентябрь 2019;174 946;0,32;
октябрь 2019;160 582;0,29;
ноябрь 2019;137 261;0,24;
декабрь 2019;182 910;0,31;
январь 2020;173 686;0,30;
февраль 2020;157 817;0,25;
март 2020;125 906;0,16;
апрель 2020;150 996;0,20;
май 2020;162 563;0,27;
июнь 2020;167 305;0,30;
июль 2020;159 350;0,29;
август 2020;158 884;0,27;
сентябрь 2020;170 924;0,25;
октябрь 2020;160 161;0,23;
ноябрь 2020;132 961;0,20;
декабрь 2020;189 431;0,28;
январь 2021;194 257;0,31;
февраль 2021;218 668;0,31;
март 2021;197 200;0,27;
апрель 2021;171 155;0,23;
май 2021;177 536;0,25;
июнь 2021;177 819;0,26;
июль 2021;182 244;0,26;
август 2021;193 643;0,26;
сентябрь 2021;190 832;0,24;
октябрь 2021;188 312;0,23;
ноябрь 2021;164 658;0,20;
декабрь 2021;224 112;0,27;
январь 2022;206 224;0,26;
февраль 2022;241 850;0,27;
март 2022;232 190;0,26;
апрель 2022;203 336;0,24;
май 2022;198 886;0,26;
июнь 2022;201 075;0,26;
июль 2022;202 620;0,26;
август 2022;189 401;0,22;
сентябрь 2022;184 058;0,20;
октябрь 2022;177 864;0,20;
ноябрь 2022;139 881;0,16;
декабрь 2022;185 113;0,21;
январь 2023;161 843;0,20;
февраль 2023;179 517;0,20;
март 2023;140 609;0,17;
апрель 2023;133 197;0,16;
май 2023;135 430;0,18;
июнь 2023;142 788;0,19;
июль 2023;149 522;0,20;
август 2023;138 522;0,18;
сентябрь 2023;149 710;0,17;
октябрь 2023;144 333;0,17;
ноябрь 2023;113 606;0,14;
декабрь 2023;148 325;0,17;
январь 2024;140 751;0,18;
февраль 2024;138 166;0,17;
март 2024;120 298;0,15;
апрель 2024;115 194;0,15;
май 2024;117 218;0,17;
июнь 2024;131 098;0,19;
июль 2024;130 023;0,19;
август 2024;127 347;0,18;
сентябрь 2024;137 313;0,17;
октябрь 2024;138 176;0,16;
ноябрь 2024;118 045;0,13;
декабрь 2024;153 892;0,17;
