Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Ямало-Ненецкий автономный округ, все устройства
декабрь 2017;70 640;0,31;
январь 2018;70 209;0,31;
февраль 2018;68 661;0,28;
март 2018;60 194;0,26;
апрель 2018;58 157;0,26;
май 2018;48 887;0,29;
июнь 2018;52 320;0,34;
июль 2018;58 163;0,36;
август 2018;70 793;0,32;
сентябрь 2018;84 677;0,32;
октябрь 2018;75 567;0,30;
ноябрь 2018;59 565;0,24;
декабрь 2018;75 533;0,30;
январь 2019;74 954;0,29;
февраль 2019;74 779;0,29;
март 2019;66 701;0,26;
апрель 2019;60 233;0,25;
май 2019;56 332;0,31;
июнь 2019;58 971;0,36;
июль 2019;65 253;0,38;
август 2019;76 642;0,34;
сентябрь 2019;90 865;0,33;
октябрь 2019;81 076;0,30;
ноябрь 2019;71 289;0,25;
декабрь 2019;87 594;0,30;
январь 2020;86 816;0,29;
февраль 2020;81 493;0,26;
март 2020;53 790;0,13;
апрель 2020;65 921;0,18;
май 2020;67 476;0,25;
июнь 2020;68 369;0,30;
июль 2020;71 206;0,33;
август 2020;81 964;0,29;
сентябрь 2020;90 308;0,26;
октябрь 2020;89 914;0,23;
ноябрь 2020;78 257;0,22;
декабрь 2020;94 163;0,28;
январь 2021;93 963;0,29;
февраль 2021;97 071;0,29;
март 2021;98 207;0,27;
апрель 2021;88 275;0,26;
май 2021;84 828;0,30;
июнь 2021;75 943;0,31;
июль 2021;82 025;0,33;
август 2021;99 082;0,30;
сентябрь 2021;102 786;0,27;
октябрь 2021;103 154;0,27;
ноябрь 2021;89 823;0,22;
декабрь 2021;104 135;0,25;
январь 2022;93 626;0,22;
февраль 2022;101 406;0,23;
март 2022;97 093;0,23;
апрель 2022;85 468;0,22;
май 2022;79 971;0,25;
июнь 2022;78 899;0,28;
июль 2022;82 934;0,29;
август 2022;80 766;0,22;
сентябрь 2022;80 361;0,19;
октябрь 2022;82 457;0,19;
ноябрь 2022;66 044;0,15;
декабрь 2022;78 627;0,18;
январь 2023;74 333;0,18;
февраль 2023;82 766;0,18;
март 2023;75 233;0,17;
апрель 2023;63 807;0,16;
май 2023;56 946;0,18;
июнь 2023;59 751;0,22;
июль 2023;67 767;0,24;
август 2023;72 235;0,20;
сентябрь 2023;80 628;0,19;
октябрь 2023;73 178;0,18;
ноябрь 2023;57 885;0,13;
декабрь 2023;71 875;0,17;
январь 2024;67 464;0,17;
февраль 2024;68 183;0,16;
март 2024;65 263;0,16;
апрель 2024;59 695;0,16;
май 2024;52 646;0,18;
июнь 2024;55 231;0,22;
июль 2024;56 091;0,22;
август 2024;65 198;0,20;
сентябрь 2024;70 407;0,18;
октябрь 2024;68 943;0,17;
ноябрь 2024;59 324;0,14;
декабрь 2024;69 630;0,17;
