Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Республика Коми, все устройства
декабрь 2017;128 569;0,34;
январь 2018;121 255;0,32;
февраль 2018;122 017;0,29;
март 2018;108 767;0,28;
апрель 2018;95 639;0,25;
май 2018;87 439;0,27;
июнь 2018;86 290;0,28;
июль 2018;97 580;0,31;
август 2018;114 157;0,30;
сентябрь 2018;138 748;0,31;
октябрь 2018;122 006;0,30;
ноябрь 2018;98 115;0,24;
декабрь 2018;127 088;0,30;
январь 2019;121 645;0,30;
февраль 2019;116 418;0,28;
март 2019;114 496;0,28;
апрель 2019;94 239;0,25;
май 2019;92 904;0,28;
июнь 2019;94 607;0,31;
июль 2019;97 260;0,32;
август 2019;108 696;0,32;
сентябрь 2019;129 198;0,32;
октябрь 2019;120 857;0,30;
ноябрь 2019;102 693;0,25;
декабрь 2019;127 995;0,30;
январь 2020;117 350;0,29;
февраль 2020;107 417;0,23;
март 2020;72 453;0,12;
апрель 2020;85 634;0,16;
май 2020;97 510;0,24;
июнь 2020;94 505;0,27;
июль 2020;94 102;0,27;
август 2020;102 566;0,26;
сентябрь 2020;115 409;0,25;
октябрь 2020;118 246;0,24;
ноябрь 2020;98 823;0,21;
декабрь 2020;126 326;0,27;
январь 2021;123 679;0,27;
февраль 2021;126 117;0,27;
март 2021;122 809;0,25;
апрель 2021;110 396;0,22;
май 2021;108 874;0,25;
июнь 2021;100 086;0,26;
июль 2021;100 474;0,26;
август 2021;121 062;0,25;
сентябрь 2021;128 023;0,23;
октябрь 2021;128 238;0,23;
ноябрь 2021;114 627;0,20;
декабрь 2021;143 355;0,25;
январь 2022;127 515;0,23;
февраль 2022;132 214;0,22;
март 2022;125 529;0,22;
апрель 2022;109 330;0,20;
май 2022;101 943;0,21;
июнь 2022;97 823;0,22;
июль 2022;98 038;0,22;
август 2022;97 261;0,19;
сентябрь 2022;103 416;0,18;
октябрь 2022;100 383;0,17;
ноябрь 2022;82 711;0,14;
декабрь 2022;104 377;0,18;
январь 2023;92 546;0,17;
февраль 2023;100 111;0,17;
март 2023;85 028;0,15;
апрель 2023;74 270;0,14;
май 2023;73 464;0,16;
июнь 2023;75 175;0,17;
июль 2023;80 212;0,19;
август 2023;81 367;0,17;
сентябрь 2023;91 827;0,17;
октябрь 2023;88 363;0,16;
ноябрь 2023;69 903;0,13;
декабрь 2023;89 059;0,16;
январь 2024;81 186;0,15;
февраль 2024;77 856;0,14;
март 2024;75 213;0,14;
апрель 2024;68 003;0,13;
май 2024;58 710;0,14;
июнь 2024;65 011;0,17;
июль 2024;67 699;0,18;
август 2024;72 178;0,17;
сентябрь 2024;83 598;0,17;
октябрь 2024;79 464;0,15;
ноябрь 2024;68 852;0,13;
декабрь 2024;85 492;0,16;
