Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «вакансии», по месяцам, 31.12.2017 — 30.01.2025, Белгородская область, все устройства
декабрь 2017;193 444;0,285;
январь 2018;192 199;0,285;
февраль 2018;195 727;0,267;
март 2018;159 680;0,255;
апрель 2018;150 575;0,238;
май 2018;143 411;0,245;
июнь 2018;164 324;0,270;
июль 2018;166 302;0,282;
август 2018;182 857;0,271;
сентябрь 2018;206 209;0,265;
октябрь 2018;183 542;0,258;
ноябрь 2018;151 855;0,211;
декабрь 2018;205 058;0,281;
январь 2019;208 234;0,299;
февраль 2019;197 266;0,269;
март 2019;162 687;0,244;
апрель 2019;148 087;0,228;
май 2019;149 244;0,255;
июнь 2019;170 070;0,282;
июль 2019;163 729;0,277;
август 2019;167 182;0,264;
сентябрь 2019;181 959;0,254;
октябрь 2019;178 224;0,243;
ноябрь 2019;154 696;0,201;
декабрь 2019;215 265;0,274;
январь 2020;198 528;0,264;
февраль 2020;175 824;0,220;
март 2020;138 630;0,129;
апрель 2020;166 153;0,161;
май 2020;173 310;0,231;
июнь 2020;177 992;0,256;
июль 2020;167 452;0,244;
август 2020;173 710;0,229;
сентябрь 2020;176 602;0,203;
октябрь 2020;184 952;0,199;
ноябрь 2020;163 475;0,180;
декабрь 2020;219 352;0,250;
январь 2021;233 352;0,266;
февраль 2021;249 665;0,253;
март 2021;218 517;0,221;
апрель 2021;199 286;0,204;
май 2021;208 010;0,223;
июнь 2021;209 951;0,242;
июль 2021;211 153;0,239;
август 2021;207 841;0,214;
сентябрь 2021;197 681;0,189;
октябрь 2021;211 975;0,190;
ноябрь 2021;186 691;0,165;
декабрь 2021;252 352;0,225;
январь 2022;213 430;0,196;
февраль 2022;232 684;0,193;
март 2022;196 581;0,175;
апрель 2022;200 294;0,178;
май 2022;193 428;0,195;
июнь 2022;192 757;0,199;
июль 2022;193 769;0,200;
август 2022;172 900;0,160;
сентябрь 2022;175 121;0,147;
октябрь 2022;179 150;0,136;
ноябрь 2022;148 739;0,112;
декабрь 2022;185 833;0,147;
январь 2023;163 821;0,138;
февраль 2023;175 704;0,137;
март 2023;141 958;0,117;
апрель 2023;130 612;0,111;
май 2023;137 708;0,142;
июнь 2023;143 032;0,150;
июль 2023;151 365;0,161;
август 2023;144 063;0,142;
сентябрь 2023;151 901;0,131;
октябрь 2023;146 269;0,128;
ноябрь 2023;117 388;0,101;
декабрь 2023;155 729;0,134;
январь 2024;142 364;0,124;
февраль 2024;133 449;0,124;
март 2024;118 011;0,113;
апрель 2024;110 506;0,108;
май 2024;114 911;0,134;
июнь 2024;127 965;0,154;
июль 2024;122 509;0,147;
август 2024;125 406;0,135;
сентябрь 2024;129 077;0,122;
октябрь 2024;126 947;0,115;
ноябрь 2024;110 863;0,095;
декабрь 2024;141 894;0,126;
