"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
12.0646213213424,11.9426609728932,12.1865816697916,11.878099064315,12.2511435783699
12.2047719075445,12.0828115590953,12.3267322559937,12.018249650517,12.3912941645719
12.3687390415437,12.2467786930945,12.490699389993,12.1822167845163,12.5552612985712
12.2760268728197,12.1540665243705,12.3979872212689,12.0895046157922,12.4625491298471
12.2028906555209,12.0809303070717,12.3248510039701,12.0163683984934,12.3894129125483
12.4415263353397,12.3195659868905,12.5634866837889,12.2550040783122,12.6280485923671
12.6445867034884,12.5226263550392,12.7665470519377,12.458064446461,12.8311089605159
12.5136905261687,12.3917301777195,12.635650874618,12.3271682691413,12.7002127831962
12.2796142878327,12.1576539393835,12.401574636282,12.0930920308053,12.4661365448602
12.4773073953983,12.3553470469491,12.5992677438475,12.2907851383708,12.6638296524257
12.6557741098741,12.5338137614249,12.7777344583233,12.4692518528467,12.8422963669016
12.5121238470941,12.3901634986449,12.6340841955433,12.3256015900666,12.6986461041215
12.1920230300362,12.070062681587,12.3139833784855,12.0055007730088,12.3785452870637
12.8244150898697,12.7024547414205,12.9463754383189,12.6378928328422,13.0109373468971
12.7891359449461,12.6671755964968,12.9110962933953,12.6026136879186,12.9756582019735
12.7532797288045,12.6313193803553,12.8752400772537,12.566757471777,12.9398019858319
12.4821539950055,12.3601936465563,12.6041143434547,12.2956317379781,12.668676252033
12.7852372480371,12.6632768995879,12.9071975964863,12.5987149910096,12.9717595050645
12.9530774480517,12.8311170996025,13.075037796501,12.7665551910243,13.1395997050792
12.906180852681,12.7842205042318,13.0281412011303,12.7196585956536,13.0927031097085
12.7899624901959,12.6680021417467,12.9119228386451,12.6034402331685,12.9764847472234
12.8850067631295,12.7630464146803,13.0069671115787,12.698484506102,13.0715290201569
12.8980253952857,12.7760650468365,13.0199857437349,12.7115031382582,13.0845476523131
12.7964534923557,12.6744931439065,12.918413840805,12.6099312353283,12.9829757493832
12.5455159807838,12.4235556323346,12.667476329233,12.3589937237563,12.7320382378112
12.8184548452497,12.6964944968005,12.940415193699,12.6319325882223,13.0049771022772
13.106819088542,12.9848587400928,13.2287794369912,12.9202968315145,13.2933413455694
13.1205027672991,12.9985424188499,13.2424631157483,12.9339805102716,13.3070250243265
12.8576273504547,12.7356670020054,12.9795876989039,12.6711050934272,13.0441496074821
12.9748928981752,12.852932549726,13.0968532466245,12.7883706411478,13.1614151552027
13.1101785387482,12.9882181902989,13.2321388871974,12.9236562817207,13.2967007957756
