"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
11.0022343832852,10.9127543436217,11.0917144229486,10.8653864719013,11.1390822946691
11.8970557764235,11.7783890419765,12.0157225108705,11.7155706673321,12.0785408855149
11.7737181162258,11.6370018911312,11.9104343413204,11.5646286933014,11.9828075391503
12.2619464293815,12.112987248578,12.410905610185,12.0341330214853,12.4897598372777
11.9550268668746,11.797411524867,12.1126422088822,11.7139750028284,12.1960787309208
12.176864159867,12.0129856933086,12.3407426264253,11.926233673407,12.427494646327
13.0484069578431,12.8799315894179,13.2168823262683,12.7907461166617,13.3060677990245
12.5776355634085,12.4057542788632,12.7495168479538,12.314765823023,12.8405053037939
12.0783470508103,11.903925876417,12.2527682252035,11.8115928841086,12.3451012175119
12.2969004275775,12.1205765058814,12.4732243492736,12.0272362599946,12.5665645951604
12.7965003731471,12.6187463196142,12.97425442668,12.5246490076638,13.0683517386303
12.6909042356844,12.5120726916386,12.8697357797302,12.4174049906654,12.9644034807034
12.918148974943,12.7385041903289,13.0977937595572,12.6434059858035,13.1928919640825
12.3880068044724,12.2077474165385,12.5682661924064,12.1123238606685,12.6636897482763
12.2981116376735,12.117387310246,12.478835965101,12.0217176302755,12.5745056450715
12.8010190268273,12.6199427202076,12.982095333447,12.5240867137078,13.0779513399468
13.1794659678412,12.9981230506577,13.3608088850246,12.9021259090508,13.4568060266315
13.5955539701229,13.4140090217605,13.7770989184852,13.3179049313078,13.8732030089379
13.9449228009932,13.763224710104,14.1266208918824,13.6670395508945,14.2228060510919
13.6729217150902,13.4911075124239,13.8547359177565,13.3948608873525,13.9509825428278
13.6103206147606,13.428418361014,13.7922228685072,13.3321251245163,13.8885161050049
13.1097261380538,12.9277571034305,13.2916951726772,12.8314285152721,13.3880237608356
13.7109962693654,13.5289765806843,13.8930159580466,13.4326211778875,13.9893713608434
13.79899525252,13.616937139161,13.9810533658789,13.5205613955684,14.0774291094715
13.4682260665474,13.2861388036353,13.6503133294594,13.1897476292014,13.7467045038933
13.6795235679284,13.4974141907248,13.861632945132,13.4010113096921,13.9580358261647
14.391476135058,14.2093499802898,14.5736022898263,14.1129382177508,14.6700140523652
14.1309190566381,13.9487801728194,14.3130579404568,13.8523616719283,14.409476441348
13.6920485085741,13.5098999671028,13.8741970500454,13.4134763537591,13.9706206633891
13.6493910480516,13.4672351791179,13.8315469169853,13.3708076868499,13.9279744092533
14.1808646023874,13.9987031738927,14.3630260308821,13.9022727385709,14.4594564662039
13.7705298373043,13.5883641905712,13.9526954840373,13.491931522249,14.0491281523595
