Year,Region,Fitted Values,Lower Bound,Upper Bound
2019,Altai Krai,305.9818,-1771.0691,2383.033
2020,Altai Krai,266.86127,-1810.1897,2343.9124
2021,Altai Krai,511.2098,-1565.8411,2588.261
2022,Altai Krai,391.4189,-1685.6321,2468.47
2023,Altai Krai,359.79135,-1717.2595,2436.8425
2024,Altai Krai,525.1503,-1551.9006,2602.2014
2019,Altai Republic,51.70081,-2025.3503,2128.7517
2020,Altai Republic,196.63483,-1880.4163,2273.686
2021,Altai Republic,86.293396,-1990.7576,2163.3445
2022,Altai Republic,456.45496,-1620.596,2533.506
2023,Altai Republic,132.15448,-1944.8965,2209.2056
2024,Altai Republic,1358.8378,-718.21313,3435.889
2019,Amur Oblast,527.08,-1549.971,2604.131
2020,Amur Oblast,345.124,-1731.927,2422.175
2021,Amur Oblast,389.78265,-1687.2683,2466.8337
2022,Amur Oblast,491.57355,-1585.4775,2568.6245
2023,Amur Oblast,709.996,-1367.0549,2787.047
2024,Amur Oblast,124.9469,-1952.104,2201.998
2019,Arkhangel'skaya Oblast',105.54523,-1971.5056,2182.5964
2020,Arkhangel'skaya Oblast',79.575195,-1997.4761,2156.6262
2021,Arkhangel'skaya Oblast',78.84088,-1998.2102,2155.8918
2022,Arkhangel'skaya Oblast',120.67175,-1956.3794,2197.7227
2023,Arkhangel'skaya Oblast',87.046326,-1990.0046,2164.0974
2024,Arkhangel'skaya Oblast',84.787476,-1992.2634,2161.8386
2019,Astrakhan Oblast,45.665165,-2031.386,2122.716
2020,Astrakhan Oblast,219.11267,-1857.9382,2296.1638
2021,Astrakhan Oblast,263.96356,-1813.0874,2341.0146
2022,Astrakhan Oblast,342.11453,-1734.9365,2419.1658
2023,Astrakhan Oblast,158.27484,-1918.7764,2235.326
2024,Astrakhan Oblast,53.26154,-2023.7893,2130.3127
2019,Belgorod Oblast,246.84955,-1830.2014,2323.9006
2020,Belgorod Oblast,287.33948,-1789.7117,2364.3906
2021,Belgorod Oblast,418.43237,-1658.6187,2495.4834
2022,Belgorod Oblast,434.3136,-1642.7375,2511.3645
2023,Belgorod Oblast,424.5746,-1652.4766,2501.6255
