Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Хабаровский край, все устройства
декабрь 2017;131;0,000231;
январь 2018;178;0,000315;
февраль 2018;238;0,000383;
март 2018;160;0,000287;
апрель 2018;212;0,000385;
май 2018;191;0,000362;
июнь 2018;161;0,000322;
июль 2018;240;0,000463;
август 2018;121;0,000209;
сентябрь 2018;156;0,000233;
октябрь 2018;184;0,000301;
ноябрь 2018;145;0,000247;
декабрь 2018;132;0,000247;
январь 2019;145;0,000291;
февраль 2019;182;0,000350;
март 2019;184;0,000371;
апрель 2019;112;0,000239;
май 2019;91;0,000216;
июнь 2019;142;0,000366;
июль 2019;118;0,000307;
август 2019;140;0,000321;
сентябрь 2019;121;0,000235;
октябрь 2019;112;0,000213;
ноябрь 2019;496;0,000915;
декабрь 2019;219;0,000396;
январь 2020;168;0,000316;
февраль 2020;171;0,000297;
март 2020;173;0,000235;
апрель 2020;151;0,000238;
май 2020;145;0,000261;
июнь 2020;170;0,000340;
июль 2020;93;0,000190;
август 2020;91;0,000170;
сентябрь 2020;150;0,000243;
октябрь 2020;184;0,000275;
ноябрь 2020;203;0,000318;
декабрь 2020;156;0,000249;
январь 2021;141;0,000238;
февраль 2021;177;0,000278;
март 2021;183;0,000286;
апрель 2021;220;0,000360;
май 2021;101;0,000173;
июнь 2021;87;0,000155;
июль 2021;105;0,000192;
август 2021;81;0,000138;
сентябрь 2021;84;0,000131;
октябрь 2021;107;0,000161;
ноябрь 2021;51;0,000074;
декабрь 2021;110;0,000159;
январь 2022;129;0,000192;
февраль 2022;289;0,000390;
март 2022;446;0,000623;
апрель 2022;375;0,000535;
май 2022;416;0,000650;
июнь 2022;420;0,000690;
июль 2022;372;0,000610;
август 2022;293;0,000426;
сентябрь 2022;324;0,000436;
октябрь 2022;373;0,000467;
ноябрь 2022;224;0,000292;
декабрь 2022;195;0,000254;
январь 2023;196;0,000275;
февраль 2023;321;0,000417;
март 2023;277;0,000375;
апрель 2023;249;0,000352;
май 2023;236;0,000374;
июнь 2023;310;0,000512;
июль 2023;213;0,000356;
август 2023;203;0,000313;
сентябрь 2023;178;0,000247;
октябрь 2023;141;0,000195;
ноябрь 2023;211;0,000287;
декабрь 2023;182;0,000248;
январь 2024;168;0,000243;
февраль 2024;224;0,000316;
март 2024;134;0,000199;
апрель 2024;146;0,000223;
май 2024;231;0,000393;
июнь 2024;173;0,000308;
июль 2024;144;0,000260;
август 2024;108;0,000182;
сентябрь 2024;118;0,000172;
октябрь 2024;131;0,000187;
ноябрь 2024;122;0,000164;
декабрь 2024;73;0,000101;
