Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Мурманская область, все устройства
декабрь 2017;122;0,00033;
январь 2018;164;0,00047;
февраль 2018;198;0,00052;
март 2018;159;0,00044;
апрель 2018;163;0,00047;
май 2018;185;0,00062;
июнь 2018;139;0,00052;
июль 2018;181;0,00063;
август 2018;157;0,00044;
сентябрь 2018;133;0,00033;
октябрь 2018;172;0,00047;
ноябрь 2018;186;0,00052;
декабрь 2018;176;0,00047;
январь 2019;145;0,00042;
февраль 2019;168;0,00045;
март 2019;140;0,00040;
апрель 2019;133;0,00039;
май 2019;147;0,00050;
июнь 2019;89;0,00032;
июль 2019;102;0,00036;
август 2019;112;0,00034;
сентябрь 2019;120;0,00031;
октябрь 2019;127;0,00033;
ноябрь 2019;243;0,00062;
декабрь 2019;137;0,00033;
январь 2020;120;0,00030;
февраль 2020;102;0,00022;
март 2020;126;0,00021;
апрель 2020;74;0,00014;
май 2020;99;0,00026;
июнь 2020;123;0,00037;
июль 2020;86;0,00026;
август 2020;107;0,00027;
сентябрь 2020;88;0,00019;
октябрь 2020;91;0,00019;
ноябрь 2020;125;0,00027;
декабрь 2020;75;0,00016;
январь 2021;76;0,00018;
февраль 2021;101;0,00022;
март 2021;83;0,00017;
апрель 2021;103;0,00020;
май 2021;60;0,00014;
июнь 2021;93;0,00026;
июль 2021;119;0,00032;
август 2021;60;0,00012;
сентябрь 2021;87;0,00016;
октябрь 2021;132;0,00024;
ноябрь 2021;81;0,00014;
декабрь 2021;128;0,00022;
январь 2022;85;0,00015;
февраль 2022;373;0,00063;
март 2022;512;0,00090;
апрель 2022;360;0,00065;
май 2022;449;0,00097;
июнь 2022;463;0,00108;
июль 2022;520;0,00122;
август 2022;422;0,00081;
сентябрь 2022;313;0,00054;
октябрь 2022;291;0,00050;
ноябрь 2022;357;0,00061;
декабрь 2022;240;0,00041;
январь 2023;237;0,00044;
февраль 2023;363;0,00062;
март 2023;272;0,00048;
апрель 2023;197;0,00037;
май 2023;226;0,00051;
июнь 2023;242;0,00059;
июль 2023;223;0,00055;
август 2023;104;0,00021;
сентябрь 2023;113;0,00021;
октябрь 2023;211;0,00039;
ноябрь 2023;234;0,00043;
декабрь 2023;169;0,00030;
январь 2024;164;0,00031;
февраль 2024;182;0,00033;
март 2024;190;0,00036;
апрель 2024;143;0,00029;
май 2024;136;0,00034;
июнь 2024;153;0,00041;
июль 2024;158;0,00042;
август 2024;191;0,00044;
сентябрь 2024;134;0,00026;
октябрь 2024;86;0,00016;
ноябрь 2024;166;0,00030;
декабрь 2024;98;0,00018;
