Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Белгородская область, все устройства
декабрь 2017;235;0,00034;
январь 2018;214;0,00031;
февраль 2018;503;0,00068;
март 2018;304;0,00048;
апрель 2018;301;0,00047;
май 2018;397;0,00067;
июнь 2018;294;0,00048;
июль 2018;391;0,00066;
август 2018;271;0,00040;
сентябрь 2018;263;0,00033;
октябрь 2018;242;0,00034;
ноябрь 2018;317;0,00044;
декабрь 2018;255;0,00035;
январь 2019;265;0,00038;
февраль 2019;295;0,00040;
март 2019;269;0,00040;
апрель 2019;243;0,00037;
май 2019;352;0,00060;
июнь 2019;304;0,00050;
июль 2019;266;0,00045;
август 2019;198;0,00031;
сентябрь 2019;255;0,00035;
октябрь 2019;221;0,00030;
ноябрь 2019;490;0,00063;
декабрь 2019;443;0,00056;
январь 2020;281;0,00037;
февраль 2020;349;0,00043;
март 2020;191;0,00017;
апрель 2020;220;0,00021;
май 2020;230;0,00030;
июнь 2020;262;0,00037;
июль 2020;257;0,00037;
август 2020;251;0,00033;
сентябрь 2020;198;0,00022;
октябрь 2020;226;0,00024;
ноябрь 2020;250;0,00027;
декабрь 2020;126;0,00014;
январь 2021;212;0,00024;
февраль 2021;202;0,00020;
март 2021;224;0,00022;
апрель 2021;200;0,00020;
май 2021;189;0,00020;
июнь 2021;193;0,00022;
июль 2021;154;0,00017;
август 2021;228;0,00023;
сентябрь 2021;187;0,00017;
октябрь 2021;181;0,00016;
ноябрь 2021;274;0,00024;
декабрь 2021;138;0,00012;
январь 2022;198;0,00018;
февраль 2022;557;0,00046;
март 2022;814;0,00072;
апрель 2022;885;0,00078;
май 2022;738;0,00074;
июнь 2022;715;0,00074;
июль 2022;916;0,00094;
август 2022;649;0,00060;
сентябрь 2022;523;0,00044;
октябрь 2022;850;0,00064;
ноябрь 2022;647;0,00049;
декабрь 2022;458;0,00036;
январь 2023;473;0,00040;
февраль 2023;882;0,00068;
март 2023;566;0,00046;
апрель 2023;546;0,00046;
май 2023;457;0,00047;
июнь 2023;444;0,00046;
июль 2023;393;0,00042;
август 2023;252;0,00024;
сентябрь 2023;287;0,00024;
октябрь 2023;253;0,00022;
ноябрь 2023;247;0,00021;
декабрь 2023;167;0,00014;
январь 2024;199;0,00017;
февраль 2024;318;0,00029;
март 2024;247;0,00023;
апрель 2024;219;0,00021;
май 2024;263;0,00030;
июнь 2024;328;0,00039;
июль 2024;222;0,00026;
август 2024;270;0,00029;
сентябрь 2024;300;0,00028;
октябрь 2024;278;0,00025;
ноябрь 2024;331;0,00028;
декабрь 2024;218;0,00019;
