Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Удмуртская Республика, все устройства
декабрь 2017;233;0,000390;
январь 2018;227;0,000389;
февраль 2018;197;0,000315;
март 2018;207;0,000352;
апрель 2018;171;0,000298;
май 2018;202;0,000383;
июнь 2018;207;0,000407;
июль 2018;269;0,000523;
август 2018;202;0,000327;
сентябрь 2018;212;0,000296;
октябрь 2018;169;0,000262;
ноябрь 2018;248;0,000389;
декабрь 2018;156;0,000245;
январь 2019;188;0,000304;
февраль 2019;189;0,000292;
март 2019;176;0,000280;
апрель 2019;153;0,000263;
май 2019;198;0,000370;
июнь 2019;176;0,000330;
июль 2019;214;0,000392;
август 2019;133;0,000224;
сентябрь 2019;159;0,000233;
октябрь 2019;186;0,000277;
ноябрь 2019;300;0,000432;
декабрь 2019;135;0,000187;
январь 2020;181;0,000263;
февраль 2020;187;0,000249;
март 2020;126;0,000125;
апрель 2020;121;0,000146;
май 2020;148;0,000216;
июнь 2020;111;0,000180;
июль 2020;163;0,000260;
август 2020;133;0,000182;
сентябрь 2020;84;0,000100;
октябрь 2020;144;0,000166;
ноябрь 2020;141;0,000164;
декабрь 2020;89;0,000108;
январь 2021;132;0,000160;
февраль 2021;92;0,000106;
март 2021;184;0,000204;
апрель 2021;140;0,000167;
май 2021;100;0,000125;
июнь 2021;107;0,000139;
июль 2021;118;0,000150;
август 2021;79;0,000090;
сентябрь 2021;89;0,000094;
октябрь 2021;89;0,000092;
ноябрь 2021;116;0,000115;
декабрь 2021;174;0,000173;
январь 2022;141;0,000142;
февраль 2022;376;0,000352;
март 2022;405;0,000397;
апрель 2022;402;0,000410;
май 2022;449;0,000514;
июнь 2022;446;0,000551;
июль 2022;356;0,000436;
август 2022;441;0,000469;
сентябрь 2022;409;0,000405;
октябрь 2022;350;0,000346;
ноябрь 2022;412;0,000398;
декабрь 2022;338;0,000331;
январь 2023;246;0,000262;
февраль 2023;327;0,000316;
март 2023;312;0,000326;
апрель 2023;360;0,000388;
май 2023;238;0,000283;
июнь 2023;298;0,000363;
июль 2023;198;0,000243;
август 2023;183;0,000204;
сентябрь 2023;132;0,000133;
октябрь 2023;91;0,000093;
ноябрь 2023;136;0,000133;
декабрь 2023;103;0,000105;
январь 2024;140;0,000151;
февраль 2024;165;0,000173;
март 2024;147;0,000163;
апрель 2024;133;0,000149;
май 2024;114;0,000152;
июнь 2024;171;0,000228;
июль 2024;218;0,000293;
август 2024;138;0,000171;
сентябрь 2024;93;0,000098;
октябрь 2024;146;0,000148;
ноябрь 2024;132;0,000128;
декабрь 2024;117;0,000116;
