Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Пермский край, все устройства
декабрь 2017;456;0,00041;
январь 2018;410;0,00037;
февраль 2018;404;0,00034;
март 2018;365;0,00033;
апрель 2018;458;0,00042;
май 2018;440;0,00045;
июнь 2018;459;0,00050;
июль 2018;550;0,00057;
август 2018;446;0,00040;
сентябрь 2018;372;0,00028;
октябрь 2018;329;0,00028;
ноябрь 2018;423;0,00037;
декабрь 2018;497;0,00043;
январь 2019;318;0,00027;
февраль 2019;481;0,00041;
март 2019;343;0,00030;
апрель 2019;295;0,00028;
май 2019;373;0,00039;
июнь 2019;327;0,00034;
июль 2019;395;0,00040;
август 2019;263;0,00025;
сентябрь 2019;340;0,00028;
октябрь 2019;230;0,00019;
ноябрь 2019;793;0,00065;
декабрь 2019;343;0,00028;
январь 2020;381;0,00032;
февраль 2020;395;0,00030;
март 2020;284;0,00016;
апрель 2020;288;0,00020;
май 2020;234;0,00019;
июнь 2020;262;0,00024;
июль 2020;276;0,00025;
август 2020;208;0,00017;
сентябрь 2020;271;0,00019;
октябрь 2020;270;0,00017;
ноябрь 2020;265;0,00017;
декабрь 2020;225;0,00016;
январь 2021;196;0,00014;
февраль 2021;254;0,00017;
март 2021;221;0,00014;
апрель 2021;270;0,00018;
май 2021;238;0,00017;
июнь 2021;207;0,00016;
июль 2021;200;0,00016;
август 2021;158;0,00010;
сентябрь 2021;234;0,00014;
октябрь 2021;250;0,00014;
ноябрь 2021;207;0,00011;
декабрь 2021;222;0,00013;
январь 2022;303;0,00017;
февраль 2022;630;0,00034;
март 2022;840;0,00047;
апрель 2022;962;0,00056;
май 2022;960;0,00061;
июнь 2022;1 175;0,00083;
июль 2022;1 210;0,00083;
август 2022;857;0,00051;
сентябрь 2022;807;0,00045;
октябрь 2022;754;0,00041;
ноябрь 2022;867;0,00047;
декабрь 2022;480;0,00026;
январь 2023;465;0,00027;
февраль 2023;647;0,00035;
март 2023;513;0,00029;
апрель 2023;499;0,00030;
май 2023;405;0,00026;
июнь 2023;490;0,00034;
июль 2023;446;0,00031;
август 2023;256;0,00016;
сентябрь 2023;295;0,00016;
октябрь 2023;302;0,00017;
ноябрь 2023;290;0,00016;
декабрь 2023;283;0,00016;
январь 2024;234;0,00014;
февраль 2024;457;0,00027;
март 2024;336;0,00020;
апрель 2024;268;0,00017;
май 2024;363;0,00027;
июнь 2024;315;0,00023;
июль 2024;800;0,00060;
август 2024;665;0,00046;
сентябрь 2024;1 105;0,00067;
октябрь 2024;357;0,00021;
ноябрь 2024;303;0,00017;
декабрь 2024;214;0,00012;
