Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Юнистрим», по месяцам, 31.12.2017 — 30.01.2025, Омская область, все устройства
декабрь 2017;812;0,00105;
январь 2018;674;0,00090;
февраль 2018;909;0,00114;
март 2018;716;0,00098;
апрель 2018;734;0,00097;
май 2018;707;0,00109;
июнь 2018;675;0,00108;
июль 2018;853;0,00126;
август 2018;619;0,00082;
сентябрь 2018;557;0,00063;
октябрь 2018;685;0,00085;
ноябрь 2018;796;0,00098;
декабрь 2018;607;0,00074;
январь 2019;438;0,00053;
февраль 2019;483;0,00058;
март 2019;507;0,00064;
апрель 2019;564;0,00075;
май 2019;591;0,00084;
июнь 2019;460;0,00072;
июль 2019;567;0,00083;
август 2019;450;0,00059;
сентябрь 2019;557;0,00063;
октябрь 2019;452;0,00050;
ноябрь 2019;817;0,00089;
декабрь 2019;635;0,00068;
январь 2020;614;0,00069;
февраль 2020;678;0,00070;
март 2020;751;0,00061;
апрель 2020;655;0,00061;
май 2020;530;0,00058;
июнь 2020;642;0,00078;
июль 2020;477;0,00058;
август 2020;493;0,00053;
сентябрь 2020;589;0,00054;
октябрь 2020;636;0,00056;
ноябрь 2020;709;0,00063;
декабрь 2020;442;0,00042;
январь 2021;608;0,00060;
февраль 2021;572;0,00052;
март 2021;617;0,00057;
апрель 2021;484;0,00048;
май 2021;519;0,00051;
июнь 2021;645;0,00067;
июль 2021;549;0,00057;
август 2021;428;0,00040;
сентябрь 2021;412;0,00036;
октябрь 2021;537;0,00045;
ноябрь 2021;548;0,00044;
декабрь 2021;506;0,00042;
январь 2022;630;0,00050;
февраль 2022;1 169;0,00090;
март 2022;1 167;0,00097;
апрель 2022;1 166;0,00100;
май 2022;1 196;0,00111;
июнь 2022;1 245;0,00123;
июль 2022;1 205;0,00120;
август 2022;943;0,00083;
сентябрь 2022;1 066;0,00086;
октябрь 2022;1 056;0,00082;
ноябрь 2022;888;0,00068;
декабрь 2022;742;0,00058;
январь 2023;730;0,00062;
февраль 2023;979;0,00075;
март 2023;801;0,00066;
апрель 2023;749;0,00065;
май 2023;845;0,00081;
июнь 2023;935;0,00094;
июль 2023;807;0,00078;
август 2023;621;0,00057;
сентябрь 2023;719;0,00059;
октябрь 2023;732;0,00060;
ноябрь 2023;585;0,00047;
декабрь 2023;584;0,00047;
январь 2024;533;0,00046;
февраль 2024;694;0,00057;
март 2024;602;0,00054;
апрель 2024;520;0,00048;
май 2024;651;0,00070;
июнь 2024;695;0,00077;
июль 2024;728;0,00081;
август 2024;625;0,00063;
сентябрь 2024;788;0,00069;
октябрь 2024;803;0,00069;
ноябрь 2024;696;0,00057;
декабрь 2024;428;0,00035;
